,z0,z1,z2,z3,z4,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
18,23.9403800882,23.941520862,23.9390163995,23.9393133939,23.9416857387,2.65833333333,0.0,10247.0590484,23.9403864098,21.6250029776,23.94,23.94,23.94,23.94,23.94,23.94,5.09447875788,70674.2740683
19,23.939960887,23.9391234408,23.9393729839,23.9394592994,23.9375753533,2.56666666667,0.0,10247.0590484,23.9395177156,21.6423878,23.94,23.94,23.94,23.94,23.94,23.94,5.09442279326,70564.6029636
20,23.9406349297,23.9390175084,23.9382654884,23.9419837801,23.938430601,2.475,0.0,10247.0590484,23.9401800584,21.6578883788,23.94,23.94,23.94,23.94,23.94,23.94,5.09672516126,70938.401135
21,23.9391782129,23.93970334,23.940657184,23.9417176406,23.9378716488,2.38333333333,0.0,10247.0590484,23.9395063603,21.6712950921,23.94,23.94,23.94,23.94,23.94,23.94,5.09700792443,70871.4661791
22,23.9391602658,23.9393396441,23.9399971389,23.9378937888,23.9415409182,2.29166666667,0.0,10247.0590484,23.9393650431,21.6825524137,23.94,23.94,23.94,23.94,23.94,23.94,5.09970412569,71153.8122251
23,23.9399149555,23.9419048286,23.941914758,23.9381522263,23.9374181695,2.2,0.0,10247.0590484,23.9398237836,21.6920027397,23.94,23.94,23.94,23.94,23.94,23.94,5.10343236866,71429.755881
24,23.9771243867,23.9790092806,23.9756339672,23.9762140839,23.9753213834,2.10833333333,0.0,10247.0590484,23.9768729055,21.7002387441,23.98,23.98,23.98,23.98,23.98,23.98,5.12733879416,75223.9253832
25,23.9796636024,23.9809022976,23.9797446962,23.980450173,23.9801190868,2.01666666667,0.0,10247.0590484,23.9799270011,21.7095364202,23.98,23.98,23.98,23.98,23.98,23.98,5.10978218216,71556.301224
26,23.9803954974,23.9795966254,23.9792588737,23.9803679916,23.9792266051,1.925,0.0,10247.0590484,23.9800896455,21.7176832214,23.98,23.98,23.98,23.98,23.98,23.98,5.12223394649,73651.2217112
27,23.979915989,23.9818518631,23.9779941263,23.9803992677,23.9817806827,1.83333333333,0.0,10247.0590484,23.9801803321,21.7225888347,23.98,23.98,23.98,23.98,23.98,23.98,5.12418737993,73537.8442002
28,23.9790802384,23.9812295893,23.9784017417,23.9790517908,23.9786715392,1.74166666667,0.0,10247.0590484,23.979177396,21.724409067,23.98,23.98,23.98,23.98,23.98,23.98,5.12716874116,73678.828614
29,23.9807649983,23.9789153089,23.9801888998,23.9787925116,23.9794638892,1.65,0.0,10247.0590484,23.9801682744,21.7240968697,23.98,23.98,23.98,23.98,23.98,23.98,5.13131276955,74123.1795722
30,23.9806972363,23.9804678619,23.9822612112,23.9799519772,23.9793476646,1.55833333333,0.0,10247.0590484,23.9805862207,21.7226019124,23.98,23.98,23.98,23.98,23.98,23.98,5.13447272456,74230.161759
31,23.9792533707,23.9789744893,23.9804926836,23.9816386753,23.9795117758,1.46666666667,0.0,10247.0590484,23.9796476707,21.7202151486,23.98,23.98,23.98,23.98,23.98,23.98,5.13730899472,74420.2906662
32,23.9800316072,23.9792145705,23.9817650007,23.9776913463,23.9807738442,1.375,0.0,10247.0590484,23.9799105405,21.7168078079,23.98,23.98,23.98,23.98,23.98,23.98,5.14023906059,74822.2376078
33,23.9792874386,23.9796067248,23.9776074193,23.9799415887,23.9827997621,1.28333333333,0.0,10247.0590484,23.979614918,21.7126853259,23.98,23.98,23.98,23.98,23.98,23.98,5.14641433616,74957.4810291
