,t4,t5
77,23.5294713934,22.37955601
78,23.5299775082,22.3817788542
79,23.5299014862,22.383238244
80,23.7386294893,22.3725675069
81,23.7490809643,22.406843406
82,23.75063503,22.4288702484
83,23.7499128207,22.4334507128
84,23.7500360191,22.4300055063
85,23.7501253193,22.4261863894
86,23.7502249261,22.4236136712
87,23.750233066,22.4214083181
88,23.7499564677,22.4187240226
89,23.7496973028,22.4153996747
90,23.7502535444,22.4117603651
91,23.7501628478,22.4081981465
92,23.2936489802,22.5136380525
93,23.2704468365,22.4667578344
94,23.2698043484,22.3836222571
95,23.2697908088,22.3198359606
96,23.2699394451,22.2870408445
97,23.2697513476,22.2723620033
98,23.2698362489,22.2626405317
99,23.2699560564,22.2524373875
100,23.2700335795,22.2415728344
101,23.2702170164,22.2309580862
102,23.2698566096,22.22096165
103,23.2698828872,22.2113513859
104,23.3263689779,22.1890019451
105,23.3295559624,22.1868193766
106,23.3300366129,22.1841494491
107,23.3298839496,22.1773231159
108,23.3300217303,22.1669076768
109,23.3300828524,22.1548640454
110,23.3300855298,22.1424789039
111,23.3300319295,22.1300240998
112,23.3302244346,22.1174551442
113,23.3300990483,22.1048580819
114,23.3300970744,22.0922662463
115,23.3299220518,22.0796435967
116,23.2637145668,22.0454105584
117,23.2604264321,22.0039459019
118,23.2606613743,21.9741400007
119,23.2604167041,21.9582649755
120,23.2603794903,21.9499434675
121,23.2604851809,21.9437516408
122,23.2599857126,21.9377897588
123,23.2597702161,21.9321632757
124,23.2603078318,21.9275250999
125,23.2603909152,21.924195704
126,23.2605304888,21.9220385163
127,23.2603350774,21.9208692776
128,23.4969025409,21.9164642217
129,23.5095030726,21.9339411151
130,23.5101563445,21.9537657197
131,23.5094103381,21.9627078576
132,23.5099936474,21.9613704563
133,23.5101445339,21.9553753626
134,23.5096728359,21.9485099434
135,23.5109028852,21.9417902472
136,23.510647879,21.9352041723
137,23.5105561041,21.928352837
138,23.509850092,21.9211429784
139,23.5102376757,21.9136264529
140,23.5391896707,21.9079914467
141,23.5403582988,21.9076605464
142,23.5402777505,21.9091683291
143,23.5403446132,21.9099636133
144,23.5408922662,21.9097651263
145,23.5397279539,21.9092472236
146,23.5400868361,21.9087097417
147,23.5405217149,21.908397816
148,23.5403853107,21.9083373233
149,23.5402193735,21.9083830992
150,23.5400347008,21.9084514241
151,23.5406920352,21.9085339306
152,23.7666186707,21.907429583
153,23.7799764952,21.9294415267
154,23.780008548,21.9550532368
155,23.7801750773,21.9703458635
156,23.7806392128,21.975474553
157,23.7803905366,21.9757333471
158,23.7799195861,21.9748055125
159,23.7801429082,21.9737907572
160,23.7801851442,21.9726293716
161,23.7805483509,21.9710567336
162,23.7796877195,21.9690434466
163,23.7797364108,21.9665518261
164,23.3906520183,22.0413091034
165,23.3803341177,22.0044175578
166,23.3805305215,21.9205044761
167,23.3797524682,21.8565887584
168,23.3807216,21.8255535913
169,23.3801063873,21.813049358
170,23.3804672158,21.8049624873
171,23.380444739,21.7959599604
172,23.3796918768,21.7861384168
173,23.3804468269,21.77667545
