,p0,m0
5455,20528.113269999998,18.52562174
5456,18418.385159999998,17.75895039
5457,15972.922819999998,16.71510644
5458,20404.4018,18.38790168
5459,16619.67067,17.02208289
5460,15945.61126,16.72306407
5461,16062.591069999999,16.77513195
5462,14281.880830000002,15.95017191
5463,14578.005119999998,16.0102077
5464,12982.78105,15.27997374
5465,17015.80471,17.0317698
5466,13475.38135,15.552346100000001
5467,14027.24033,15.81909238
5468,12256.22026,14.90699703
5469,16701.31609,16.92391192
5470,12668.70918,15.12525518
5471,16370.08676,16.90266408
5472,13275.654190000001,15.44934231
5473,14183.27766,15.89011703
5474,14195.351319999998,15.90412379
5475,13459.523619999998,15.54584898
5476,15538.691469999998,16.54487614
5477,12924.17518,15.26721825
5478,14545.24771,16.02996786
5479,18459.257840000002,17.53152321
5480,14119.87499,15.87731859
5481,14970.1499,16.28377899
5482,13765.809519999999,15.70178517
5483,14962.20565,16.27893603
5484,15716.92749,16.489002499999998
5485,11515.67607,14.48678987
5486,13915.7213,15.73364784
5487,14054.14501,15.79641903
5488,12616.072740000001,15.10070334
5489,12703.59432,15.14817433
5490,14655.82053,16.06098498
5491,16154.79237,16.78093555
5492,12200.78527,14.8762837
5493,12755.02345,15.17277883
5494,11643.29885,14.55807678
5495,16460.98102,16.8967318
5496,13632.9753,15.61317485
5497,12325.3029,14.94512491
5498,14443.3544,15.97826265
5499,11821.764229999999,14.66232037
5500,11607.00633,14.53946274
5501,14485.180569999999,16.04576488
5502,12703.34554,15.14361624
5503,13281.93385,15.43644125
5504,13180.93261,15.38213412
5505,15368.0502,16.37068247
5506,11614.10485,14.54339169
5507,11790.95616,14.64541101
5508,15052.21171,16.1990793
5509,15354.052959999999,16.45996577
5510,12370.35814,14.97046127
5511,12574.307359999999,15.07422516
5512,13347.13394,15.4822874
5513,15186.958340000001,16.27693317
5514,14305.31951,15.96426961
5515,12714.75603,15.15349423
5516,14093.881609999999,15.84429742
5517,11708.87341,14.59716257
5518,14803.095180000002,16.03991809
5519,11500.48325,14.4778813
5520,12884.131220000001,15.22878458
5521,12935.06258,15.26912333
5522,13995.862669999999,15.75511396
5523,13874.866740000001,15.75482525
5524,12571.39423,15.08018519
5525,14592.942969999998,16.03009638
5526,12882.13905,15.24224803
5527,13690.25075,15.6373695
5528,13174.3525,15.39920718
5529,12253.459159999999,14.89593089
5530,14696.884719999998,16.06514635
5531,12692.87438,15.13330317
5532,13765.3676,15.69886274
5533,14218.247619999998,15.89793439
5534,14267.865280000002,15.94936893
5535,17007.71751,17.15012343
5536,17964.47294,17.57987092
5537,18171.88494,17.65745078
5538,17308.48829,17.29549612
5539,13466.337309999999,15.52441866
5540,18116.05895,17.63618102
5541,15019.94979,16.28581038
5542,15727.0217,16.61496463
5543,13696.692280000001,15.66551497
5544,14176.21773,15.89464553
5545,15320.761019999998,16.42845848
5546,15765.20774,16.64489332
5547,17175.499659999998,17.22966016
5548,16762.11007,17.07735844
5549,16180.2071,16.82932817
5550,13448.021009999999,15.53941132
5551,18015.25334,17.49429281
5552,14384.2727,15.987306
5553,14834.74889,16.21916512
5554,18095.68333,17.59935131
5555,16029.45861,16.76520204
5556,15532.81769,16.53983303
5557,17824.9738,17.50570783
5558,15440.138190000001,16.49230151
5559,16856.602759999998,17.10768428
5560,13638.06233,15.63587139
5561,14706.807030000002,16.15750964
5562,20082.1571,18.35012401
5563,17799.480069999998,17.51025251
5564,15761.27154,16.61995852
