,z0,z1,z2,z3,z4,z5,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp,m,rh
27,20.3096719049,20.3098958035,23.0219595202,20.3098795142,20.3097952828,20.3096633594,1.83333333333,0.0,1247.21197579,20.3098240452,20.206946861,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.48379684793,18475.4985598
28,20.3096840159,20.3099215373,22.9927219343,20.3098846885,20.309803135,20.3096697588,1.74166666667,0.0,1247.21197579,20.309833065,20.2032813541,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.49392558724,18675.8931679
29,20.3096993987,20.3094649217,22.9643418797,20.3098919678,20.3098129291,20.3096799405,1.65,0.0,1247.21197579,20.309783397,20.1977124227,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.50687530228,18933.4759542
30,20.3097143487,20.3094594847,22.9360322614,20.3098989109,20.3098224624,20.3096903524,1.55833333333,0.0,1247.21197579,20.3097905953,20.1916767917,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.52005397756,19196.8901055
31,20.3097286876,20.3094752236,22.9075959349,20.309905421,20.3098316245,20.3097007119,1.46666666667,0.0,1247.21197579,20.3098001326,20.1853823855,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.53307511056,19458.338879
32,20.3097424277,20.3094929553,22.879048561,20.3099115229,20.3098404144,20.3097109674,1.375,0.0,1247.21197579,20.3098095449,20.178701616,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.54616207703,19722.2922512
33,20.3097555563,20.3095103005,22.8504384785,20.3099172339,20.3098488201,20.3097210752,1.28333333333,0.0,1247.21197579,20.3098185524,20.1715686861,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.55921345305,19986.7021149
34,20.3097680893,20.3095272813,22.8217843753,20.3099225786,20.3098568481,20.3097310098,1.19166666667,0.0,1247.21197579,20.3098271696,20.1640129785,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.57223533203,20251.6681297
35,20.3097800449,20.3095438835,22.7930808405,20.3099275804,20.3098645072,20.3097407515,1.1,0.0,1247.21197579,20.3098354088,20.1560975992,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.58522418925,20517.0971433
36,20.3855383474,20.3851204454,22.7669314014,20.3868317976,20.3853131298,20.3853527312,1.1,0.0,1247.21197579,20.3861860764,20.1496337223,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.83921774119,25972.0684287
37,20.3895615567,20.389296979,22.7437436666,20.3898083907,20.3896388758,20.3895028826,1.1,0.0,1247.21197579,20.3896625048,20.1448566486,20.39,20.39,20.39,20.39,20.39,20.39,20.39,1.55366019946,19831.2420676
