,t1,w1,i,s,tout,hsp,m0,csp0
28,22.584279753443,22.96066345196273,0.0,0.0,16.575,15.6,33.6002108693858,0.0
29,22.580334212439,22.954849986796948,0.0,0.0,16.55,15.6,33.6002108693858,0.0
30,22.5753804374935,22.949258813467942,0.0,0.0,16.525,15.6,33.6002108693858,0.0
31,22.5710266364419,22.943252565064167,0.0,0.0,16.5,15.6,33.6002108693858,0.0
32,22.565494439295602,22.937534791789705,0.0,0.0,16.475,15.6,33.6002108693858,0.0
33,22.560909993927897,22.931325579419436,0.0,0.0,16.45,15.6,33.6002108693858,0.0
34,22.5552362674971,22.925545303603897,0.0,0.0,16.425,15.6,33.6002108693858,0.0
35,22.550401724956004,22.919333253564997,0.0,0.0,16.4,15.6,33.6002108693858,0.0
36,22.5399281820828,22.913480940220836,0.0,0.0,16.375,15.6,33.6002108693858,0.0
37,22.530987153937897,22.906845234023407,0.0,0.0,16.35,15.6,33.6002108693858,0.0
38,22.523384563513797,22.90010879182376,0.0,0.0,16.325,15.6,33.6002108693858,0.0
39,22.5165665283315,22.893434960119563,0.0,0.0,16.3,15.6,33.6002108693858,0.0
40,22.510173356559502,22.886849476720034,0.0,0.0,16.275,15.6,33.6002108693858,0.0
41,22.5040137878241,22.88034706467262,0.0,0.0,16.25,15.6,33.6002108693858,0.0
42,22.5010245560423,22.874012953872864,0.0,0.0,16.225,15.6,33.6002108693858,0.0
43,22.4938651849319,22.867961956783446,0.0,0.0,16.2,15.6,33.6002108693858,0.0
44,22.490927967625602,22.86166265520058,0.0,0.0,16.175,15.6,33.6002108693858,0.0
45,22.4867289067312,22.85582182698621,0.0,0.0,16.15,15.6,33.6002108693858,0.0
46,22.4800552580719,22.84989313389877,0.0,0.0,16.125,15.6,33.6002108693858,0.0
47,22.4764335774205,22.844188610608732,0.0,0.0,16.1,15.6,33.6002108693858,0.0
48,22.4726210307103,22.8431493870027,0.0,0.0,16.1,20.0,33.6002108693858,0.0
49,22.4669132058602,22.84046537884109,0.0,0.0,16.1,20.0,33.6002108693858,0.0
50,22.4673111603056,22.838040871774105,0.0,0.0,16.1,20.0,33.6002108693858,0.0
51,22.465341584482797,22.834884779568497,0.0,0.0,16.1,20.0,33.6002108693858,0.0
52,22.463432386718804,22.833178552635992,0.0,10.0833333333333,16.1,20.0,33.6002108693858,0.0
53,22.4627241092106,22.8306967795617,0.0,11.0,16.1,20.0,33.6002108693858,0.0
54,22.462060026556,22.82889109704446,0.0,13.916666666666698,16.1,20.0,33.6002108693858,0.0
55,22.461193034054297,22.827060759798567,0.0,16.8333333333333,16.1,20.0,33.6002108693858,0.0
56,22.4605140933636,22.82497988343548,0.0,19.75,16.1,20.0,33.6002108693858,0.0
57,22.4590690215137,22.822880134561814,0.0,22.6666666666667,16.1,20.0,33.6002108693858,0.0
58,22.457911366631198,22.82073796157703,0.0,25.5833333333333,16.1,20.0,33.6002108693858,0.0
59,22.457466990331103,22.818346470983816,0.0,28.5,16.1,20.0,33.6002108693858,0.0
60,22.467052265818896,22.820990048221887,0.0,31.4166666666667,16.1,21.0,34.5529120604834,0.0
61,22.5138449776483,22.836088663182785,0.0,34.3333333333333,16.1,21.0,33.6002108693858,0.0
62,22.521275051504198,22.84638037447186,0.0,37.25,16.1,21.0,33.6002108693858,0.0
63,22.528317323644398,22.853279940247628,0.0,40.1666666666667,16.1,21.0,33.6002108693858,0.0
64,22.5360562758785,22.857562566598414,0.0,43.0833333333333,16.1,21.0,33.6002108693858,0.0
65,22.5359290081079,22.861741843060454,0.0,46.0,16.1,21.0,36.1098436370159,0.0
66,22.5394132629601,22.86312653383842,0.0,55.1666666666667,16.1,21.0,33.6002108693858,0.0
67,22.546443743990803,22.86722060971252,0.0,64.3333333333333,16.1,21.0,33.6002108693858,0.0
68,22.548340580399103,22.872799879753327,0.0,73.5,16.1,21.0,33.6002108693858,0.0
69,22.5530492757068,22.87815130368042,0.0,82.6666666666667,16.1,21.0,33.6002108693858,0.0
70,22.556399879650897,22.883986054058486,0.0,91.8333333333333,16.1,21.0,33.6002108693858,0.0
71,22.556801693773604,22.889778077131897,0.0,101.0,16.1,21.0,33.6002108693858,0.0
