,tout,q,qt,c,PLRs,PLR,hourindex
91,-10.2,0.0,0.0,0.0,0.0,0.0,7
92,-10.15,0.0,0.0,0.0,0.0,0.0,7
93,-10.1,0.0,0.0,0.0,0.0,0.0,7
94,-10.05,0.0,0.0,0.0,0.0,0.0,7
95,-10.0,0.0,0.0,0.0,0.0,0.0,7
96,-9.908333333,0.0,0.0,0.0,0.0,0.0,8
97,-9.816666667,0.0,0.0,0.0,0.0,0.0,8
98,-9.725,0.0,0.0,0.0,0.0,0.0,8
99,-9.633333333,0.0,0.0,0.0,0.0,0.0,8
100,-9.541666667000001,0.0,0.0,0.0,0.0,0.0,8
101,-9.45,0.0,0.0,0.0,0.0,0.0,8
102,-9.358333333,0.0,0.0,0.0,0.0,0.0,8
103,-9.266666667,0.0,0.0,0.0,0.0,0.0,8
104,-9.175,0.0,0.0,0.0,0.0,0.0,8
105,-9.083333332999999,0.0,0.0,0.0,0.0,0.0,8
106,-8.991666667,0.0,0.0,0.0,0.0,0.0,8
107,-8.9,0.0,0.0,0.0,0.0,0.0,8
108,-8.716666667,0.0,0.0,0.0,0.0,0.0,9
109,-8.533333333,0.0,0.0,0.0,0.0,0.0,9
110,-8.35,0.0,0.0,0.0,0.0,0.0,9
111,-8.166666667000001,0.0,0.0,0.0,0.0,0.0,9
112,-7.983333332999999,0.0,0.0,0.0,0.0,0.0,9
113,-7.8,0.0,0.0,0.0,0.0,0.0,9
114,-7.6166666670000005,0.0,0.0,0.0,0.0,0.0,9
115,-7.433333332999999,0.0,0.0,0.0,0.0,0.0,9
116,-7.25,0.0,0.0,0.0,0.0,0.0,9
117,-7.066666667000001,0.0,0.0,0.0,0.0,0.0,9
118,-6.8833333329999995,0.0,0.0,0.0,0.0,0.0,9
119,-6.7,0.0,0.0,0.0,0.0,0.0,9
120,-6.558333332999999,0.0,0.0,0.0,0.0,0.0,10
121,-6.416666667,0.0,0.0,0.0,0.0,0.0,10
122,-6.275,0.0,0.0,0.0,0.0,0.0,10
123,-6.1333333329999995,0.0,0.0,0.0,0.0,0.0,10
124,-5.9916666670000005,0.0,0.0,0.0,0.0,0.0,10
125,-5.85,0.0,0.0,0.0,0.0,0.0,10
126,-5.708333333,0.0,0.0,0.0,0.0,0.0,10
127,-5.566666667000001,0.0,0.0,0.0,0.0,0.0,10
128,-5.425,0.0,0.0,0.0,0.0,0.0,10
129,-5.283333333,0.0,0.0,0.0,0.0,0.0,10
130,-5.141666667,0.0,0.0,0.0,0.0,0.0,10
131,-5.0,0.0,0.0,0.0,0.0,0.0,10
132,-4.858333333,0.0,0.0,0.0,0.0,0.0,11
133,-4.716666667,0.0,0.0,0.0,0.0,0.0,11
134,-4.575,0.0,0.0,0.0,0.0,0.0,11
135,-4.433333333,0.0,0.0,0.0,0.0,0.0,11
136,-4.291666667,0.0,0.0,0.0,0.0,0.0,11
137,-4.15,0.0,0.0,0.0,0.0,0.0,11
138,-4.008333333,0.0,0.0,0.0,0.0,0.0,11
139,-3.866666667,0.0,0.0,0.0,0.0,0.0,11
140,-3.725,0.0,0.0,0.0,0.0,0.0,11
141,-3.583333333,0.0,0.0,0.0,0.0,0.0,11
142,-3.441666667,0.0,0.0,0.0,0.0,0.0,11
143,-3.3,0.0,0.0,0.0,0.0,0.0,11
144,-3.208333333,0.0,0.0,0.0,0.0,0.0,12
145,-3.116666667,0.0,0.0,0.0,0.0,0.0,12
146,-3.025,0.0,0.0,0.0,0.0,0.0,12
147,-2.933333333,0.0,0.0,0.0,0.0,0.0,12
148,-2.8416666669999997,0.0,0.0,0.0,0.0,0.0,12
149,-2.75,0.0,0.0,0.0,0.0,0.0,12
150,-2.6583333330000003,0.0,0.0,0.0,0.0,0.0,12
151,-2.566666667,0.0,0.0,0.0,0.0,0.0,12
152,-2.475,0.0,0.0,0.0,0.0,0.0,12
153,-2.383333333,0.0,0.0,0.0,0.0,0.0,12
154,-2.291666667,0.0,0.0,0.0,0.0,0.0,12
155,-2.2,0.0,0.0,0.0,0.0,0.0,12
156,-2.108333333,0.0,0.0,0.0,0.0,0.0,13
157,-2.016666667,0.0,0.0,0.0,0.0,0.0,13
158,-1.925,0.0,0.0,0.0,0.0,0.0,13
159,-1.8333333330000001,0.0,0.0,0.0,0.0,0.0,13
160,-1.7416666669999998,0.0,0.0,0.0,0.0,0.0,13
161,-1.65,0.0,0.0,0.0,0.0,0.0,13
162,-1.5583333330000002,0.0,0.0,0.0,0.0,0.0,13
163,-1.466666667,0.0,0.0,0.0,0.0,0.0,13
164,-1.375,0.0,0.0,0.0,0.0,0.0,13
165,-1.283333333,0.0,0.0,0.0,0.0,0.0,13
166,-1.191666667,0.0,0.0,0.0,0.0,0.0,13
167,-1.1,0.0,0.0,0.0,0.0,0.0,13
168,-1.1,0.0,0.0,0.0,0.0,0.0,14
169,-1.1,0.0,0.0,0.0,0.0,0.0,14
170,-1.1,0.0,0.0,0.0,0.0,0.0,14
171,-1.1,0.0,0.0,0.0,0.0,0.0,14
172,-1.1,0.0,0.0,0.0,0.0,0.0,14
