,Unnamed: 0,tout,q,qt,c,PLRs,PLR,hourindex
4336,4336,-6.058333332999999,0.0,0.0,0.0,0.0,0.0,1
4337,4337,-6.15,0.0,0.0,0.0,0.0,0.0,1
4338,4338,-6.2416666670000005,0.0,0.0,0.0,0.0,0.0,1
4339,4339,-6.333333333,0.0,0.0,0.0,0.0,0.0,1
4340,4340,-6.425,0.0,0.0,0.0,0.0,0.0,1
4341,4341,-6.516666667000001,0.0,0.0,0.0,0.0,0.0,1
4342,4342,-6.608333332999999,0.0,0.0,0.0,0.0,0.0,1
4343,4343,-6.7,0.0,0.0,0.0,0.0,0.0,1
4344,4344,-6.7416666670000005,0.0,0.0,0.0,0.0,0.0,2
4345,4345,-6.783333333,0.0,0.0,0.0,0.0,0.0,2
4346,4346,-6.825,0.0,0.0,0.0,0.0,0.0,2
4347,4347,-6.8666666670000005,0.0,0.0,0.0,0.0,0.0,2
4348,4348,-6.908333333,0.0,0.0,0.0,0.0,0.0,2
4349,4349,-6.95,0.0,0.0,0.0,0.0,0.0,2
4350,4350,-6.9916666670000005,0.0,0.0,0.0,0.0,0.0,2
4351,4351,-7.033333333,0.0,0.0,0.0,0.0,0.0,2
4352,4352,-7.075,0.0,0.0,0.0,0.0,0.0,2
4353,4353,-7.1166666670000005,0.0,0.0,0.0,0.0,0.0,2
4354,4354,-7.158333333,0.0,0.0,0.0,0.0,0.0,2
4355,4355,-7.2,0.0,0.0,0.0,0.0,0.0,2
4356,4356,-7.066666667000001,0.0,0.0,0.0,0.0,0.0,3
4357,4357,-6.933333332999999,0.0,0.0,0.0,0.0,0.0,3
4358,4358,-6.8,0.0,0.0,0.0,0.0,0.0,3
4359,4359,-6.666666667,0.0,0.0,0.0,0.0,0.0,3
4360,4360,-6.533333333,0.0,0.0,0.0,0.0,0.0,3
4361,4361,-6.4,0.0,0.0,0.0,0.0,0.0,3
4362,4362,-6.266666667000001,0.0,0.0,0.0,0.0,0.0,3
4363,4363,-6.133333333,0.0,0.0,0.0,0.0,0.0,3
4364,4364,-6.0,0.0,0.0,0.0,0.0,0.0,3
4365,4365,-5.8666666670000005,0.0,0.0,0.0,0.0,0.0,3
4366,4366,-5.733333332999999,0.0,0.0,0.0,0.0,0.0,3
4367,4367,-5.6,0.0,0.0,0.0,0.0,0.0,3
