,t61,t62,t63,t64
353,20.8360215353,20.0294345191,21.2327367458,24.0237408428
354,20.839887693,20.0296358995,21.2369659756,24.0237486429
355,20.8444214636,20.0299020412,21.2418129559,24.0237568713
356,20.847584296,19.8466943245,21.2451450362,23.5993727887
357,20.8578838179,19.6013749323,21.2556856556,23.5331355273
358,20.8643563335,19.5309840103,21.2620734716,23.5274353668
359,20.8678272838,19.5296912994,21.2652798374,23.5258387311
360,20.8737219947,19.5296076728,21.2709666717,23.5253635645
361,20.8809393746,19.5300591068,21.2780120071,23.5252023292
362,20.8876512433,19.5293750051,21.2845742087,23.5251509262
363,20.8933170502,19.5299393113,21.2901307338,23.5251407557
364,20.8981297238,19.5294693651,21.2948838117,23.5251436645
365,20.9023820872,19.5295250979,21.299111611,23.5251489067
366,20.906248013,19.5293712026,21.3030294688,23.5251536366
367,20.9097775932,19.5294073354,21.3066618039,23.5251583035
368,20.9114201001,19.9023345766,21.3083898048,23.7340113547
369,20.9126968513,19.9392928573,21.3096781368,23.8009503453
370,20.9133470296,19.8610001073,21.3101436773,23.7743690186
371,20.9130255597,19.85963597,21.3093927429,23.7443109082
372,20.9146045798,19.8593579502,21.3104070757,23.7362822066
373,20.9147255018,19.8597436642,21.309824579,23.7298324158
374,20.9134316468,19.8594894381,21.3077892822,23.7206797267
375,20.9108373376,19.8592576234,21.3044448002,23.7104185655
376,20.9070391721,19.8592858894,21.2999619378,23.7005576292
377,20.9022618021,19.859283015,21.294561846,23.6913968452
378,20.8964611562,19.8595764649,21.2881683076,23.6822949876
379,20.8898641092,19.8593558049,21.2809980689,23.6734836037
380,21.011999698,19.7121664838,21.3980964427,23.6750868446
381,21.1504613212,19.6801331439,21.5292059142,23.6751844035
382,21.2178219292,19.6792052722,21.5900698988,23.6750917264
383,21.2359073603,19.6794972355,21.6050240543,23.6749893155
384,21.2358639565,19.6798020125,21.6047328397,23.6749514991
385,21.2345508135,19.6791317192,21.6044351858,23.6749423652
386,21.2352842932,19.6795528012,21.6063025205,23.6749337585
387,21.2363546886,19.6798255912,21.6083022832,23.6749206263
388,21.2362590912,19.6792002858,21.6090337626,23.6749070574
