,z0,z1,z2,tout,s,i,t1,sp0,sp1,sp2,sp,m,rh
26,20.3093730483,20.309666653,20.3099283831,1.925,0.0,623.63281589,20.3097278542,20.31,20.31,20.31,20.31,0.238211702136,2793.33229706
27,20.3093477104,20.3096898997,20.3099242694,1.83333333333,0.0,623.63281589,20.3097234237,20.31,20.31,20.31,20.31,0.233529778618,2714.42047625
28,20.3093613577,20.3096966421,20.3099331797,1.74166666667,0.0,623.63281589,20.3097350379,20.31,20.31,20.31,20.31,0.236829080544,2767.25830652
29,20.309381988,20.3097043855,20.3098195499,1.65,0.0,623.63281589,20.3096861426,20.31,20.31,20.31,20.31,0.24044967974,2826.65051769
30,20.309403311,20.3097126706,20.3098355028,1.55833333333,0.0,623.63281589,20.3097028149,20.31,20.31,20.31,20.31,0.244157104085,2888.37214791
31,20.3094246556,20.3097211884,20.3098530955,1.46666666667,0.0,623.63281589,20.3097202874,20.31,20.31,20.31,20.31,0.247731911829,2948.85296905
32,20.3094458287,20.3097298151,20.309868652,1.375,0.0,623.63281589,20.3097366417,20.31,20.31,20.31,20.31,0.251272511128,3009.56300385
33,20.3094666951,20.3097384674,20.3098836665,1.28333333333,0.0,623.63281589,20.3097526278,20.31,20.31,20.31,20.31,0.254844140054,3071.51885222
34,20.3094871676,20.3097470876,20.3098966594,1.19166666667,0.0,623.63281589,20.3097673903,20.31,20.31,20.31,20.31,0.258384675682,3133.67321786
35,20.3095071853,20.3097556328,20.3099080432,1.1,0.0,623.63281589,20.3097811088,20.31,20.31,20.31,20.31,0.261894053569,3195.98180173
36,20.3846020008,20.384657695,20.386349525,1.1,0.0,623.63281589,20.3856009224,20.39,20.39,20.39,20.39,0.29802162188,3880.96055472
37,20.3892234335,20.3894451769,20.3897576128,1.1,0.0,623.63281589,20.3895611902,20.39,20.39,20.39,20.39,0.260674883748,3170.99192803
38,20.3895945699,20.389790691,20.389788608,1.1,0.0,623.63281589,20.3897465881,20.39,20.39,20.39,20.39,0.280356130523,3531.26008728
39,20.3896012726,20.3898021295,20.3897766914,1.1,0.0,623.63281589,20.3897439721,20.39,20.39,20.39,20.39,0.277688747617,3479.95978955
40,20.3896019453,20.3898014687,20.3897817612,1.1,0.0,623.63281589,20.3897468575,20.39,20.39,20.39,20.39,0.278506075605,3494.20653701
