,Unnamed: 0,tout,s,i,t1,t2,t3,sp0,m,rh
1983,1983,2.2,0.0,28800.0610271,24.1749567368,20.1798081463,22.9492963525,24.18,1.73102424984,0.0
1984,1984,2.2,0.0,28800.0610271,24.1680207066,20.1797547326,22.955479476,24.18,1.72945130653,0.0
1985,1985,2.2,0.0,28800.0610271,24.1568938174,20.178999495,22.9642382382,24.18,1.72945130653,0.0
1986,1986,2.2,0.0,28800.0610271,24.1466124594,20.1800945436,22.9770717277,24.18,1.72945130653,0.0
1987,1987,2.2,0.0,28800.0610271,24.1383533078,20.1799164299,22.9904905723,24.18,1.72945130653,0.0
1988,1988,2.2,0.0,28800.0610271,24.1314822019,20.1797753666,23.0025185703,24.18,1.72945130653,0.0
1989,1989,2.2,0.0,28800.0610271,24.1254636187,20.1793711471,23.0131268544,24.18,1.72945130653,0.0
1990,1990,2.2,0.0,28800.0610271,24.1202194032,20.179657192,23.0229908665,24.18,1.72945130653,0.0
1991,1991,2.2,0.0,28800.0610271,24.1156987504,20.1796099055,23.0325322958,24.18,1.72945130653,0.0
1992,1992,2.2,0.0,24940.689626,24.0155643305,20.0134146224,23.0305031988,24.01,1.72945130653,0.0
1993,1993,2.2,0.0,24940.689626,23.9210237274,20.009958143,23.028871012,24.01,1.72945130653,0.0
1994,1994,2.2,0.0,24940.689626,23.8708057757,20.0091316407,23.0296702,24.01,1.72945130653,0.0
1995,1995,2.2,0.0,24940.689626,23.8411321364,20.0097565322,23.0326438383,24.01,1.72945130653,0.0
1996,1996,2.2,0.0,24940.689626,23.812856983,20.0095108224,23.0360018311,24.01,1.72945130653,0.0
1997,1997,2.2,0.0,24940.689626,23.7848447943,20.0093891152,23.0389372875,24.01,1.72945130653,0.0
1998,1998,2.2,0.0,24940.689626,23.7596947187,20.00918087,23.0415318014,24.01,1.72945130653,0.0
1999,1999,2.2,0.0,24940.689626,23.737524708,20.0100897057,23.0440581678,24.01,1.72945130653,0.0
2000,2000,2.2,0.0,24940.689626,23.717361253,20.0101731242,23.0466400158,24.01,1.72945130653,0.0
2001,2001,2.2,0.0,24940.689626,23.6986604346,20.0101604318,23.0492797724,24.01,1.72945130653,0.0
2002,2002,2.2,0.0,24940.689626,23.6812257941,20.009767283,23.0519250704,24.01,1.72945130653,0.0
