,Unnamed: 0,z0,z1,z2,z3,z4,z5,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp,m,rh
7010,7010,20.4597800207,20.4599215064,21.5514183724,20.4600231481,20.4599177344,20.4598198252,-1.425,164.5,1987.09253128,20.4599556628,19.4068808431,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.54249715282,19639.331246
7011,7011,20.4597903136,20.4595397365,21.5498189918,20.4599553547,20.4598826951,20.4598156443,-1.33333333333,177.666666667,1987.09253128,20.4598534471,19.4105179049,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.36155285478,16015.5885921
7012,7012,20.4597832102,20.4595225056,21.5768830604,20.459853953,20.4598570756,20.4597863701,-1.24166666667,190.833333333,1987.09253128,20.4597931893,19.4167537699,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.41163919224,16991.1406044
7013,7013,20.4597616381,20.4595052578,21.6140894425,20.4598452915,20.4598213537,20.4597473598,-1.15,204.0,1987.09253128,20.4597762105,19.424372793,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.3949799937,16682.6407786
7014,7014,20.4597370098,20.4594872734,21.6525081857,20.4598381557,20.4597789771,20.4597007579,-1.05833333333,219.166666667,1987.09253128,20.4597584249,19.4325077533,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.37644174923,16341.7235193
7015,7015,20.4597076818,20.4594663701,21.6912149214,20.4598303021,20.4599198165,20.4596427332,-0.966666666667,234.333333333,1987.09253128,20.4597532099,19.4409947869,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.35604132524,15972.3185825
7016,7016,20.4596728253,20.4599021094,21.7318422648,20.4598213926,20.4598986035,20.4598998189,-0.875,249.5,1987.09253128,20.4598291914,19.4499263759,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.33426622769,15584.4114109
7017,7017,20.4596112405,20.4599202072,21.7840277826,20.459811416,20.4598434325,20.4598898277,-0.783333333333,264.666666667,1987.09253128,20.4598138721,19.4605182781,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.30758049165,15121.8281747
7018,7018,20.4598949149,20.4599162915,21.8414324769,20.4599552001,20.4599216027,20.4598645704,-0.691666666667,279.833333333,1987.09253128,20.4599316893,19.4719930023,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.28362929101,14712.8361182
7019,7019,20.4598917731,20.4599104753,21.8997819105,20.4599570285,20.459879275,20.4598293196,-0.6,295.0,1987.09253128,20.4599258842,19.48376833,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.25661411013,14259.9049041
7020,7020,20.2667883792,20.2684561563,21.9393369946,20.2646493904,20.3012755329,20.2656962939,-0.55,310.166666667,1825.15000215,20.2664155562,19.493712432,20.26,20.26,20.26,20.26,20.26,20.26,20.26,0.4378957047,3092.32202803
7021,7021,20.2602575279,20.2599399415,21.975120906,20.2601232329,20.2611530742,20.2601147733,-0.5,325.333333333,1825.15000215,20.2601597596,19.5016583088,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.45288013176,18371.7641539
7022,7022,20.25992978,20.2598158048,22.0189268089,20.2598905358,20.2599944692,20.2598115038,-0.45,340.5,1825.15000215,20.2598797923,19.5081774866,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.02215388184,10482.2802134
7023,7023,20.2597313624,20.2598380785,22.0726771076,20.2599334937,20.2599793697,20.2598268859,-0.4,355.666666667,1825.15000215,20.2598876449,19.5142566391,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.08683540452,11790.5279064
7024,7024,20.2599098173,20.2598364372,22.1337242199,20.2599341081,20.2599793056,20.2599283256,-0.35,370.833333333,1825.15000215,20.2599151515,19.5202952037,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.05737029409,11587.5901002
7025,7025,20.2599026493,20.2598313766,22.1995055386,20.2599325191,20.2823012954,20.2599168991,-0.3,386.0,1825.15000215,20.2599115087,19.5264160794,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.04587797906,11418.939905
7026,7026,20.2598876005,20.2598244755,22.2657898172,20.2599301608,20.3220954224,20.2599109879,-0.25,389.5,1825.15000215,20.2599067556,19.5322362273,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.03643765016,11261.5509154
7027,7027,20.2598701304,20.2598165034,22.3307791833,20.2599274297,20.3668671841,20.2599073264,-0.2,393.0,1825.15000215,20.2599015506,19.5375451321,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.02694008993,11101.8806228
7028,7028,20.2598503069,20.2598076999,22.3948091777,20.2599243533,20.4093903844,20.2599044166,-0.15,396.5,1825.15000215,20.2598958432,19.54241599,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.01723741042,10938.5161142
7029,7029,20.2598279963,20.2597980886,22.4587289649,20.2599209146,20.4477885463,20.2599025443,-0.1,400.0,1825.15000215,20.2598896415,19.5469907272,20.26,20.26,20.26,20.26,20.26,20.26,20.26,1.00743500807,10773.1063933
7030,7030,20.2598034855,20.2597876749,22.5230769084,20.2599170911,20.4825824949,20.2599017573,-0.05,403.5,1825.15000215,20.2598829634,19.5513674898,20.26,20.26,20.26,20.26,20.26,20.26,20.26,0.997669491349,10607.6840189
