,z0,tout,s,i,t1,t2,sp0,m,rh
2028,19.4797817418,1.7,0.0,692.402571113,19.4797817418,20.0987066726,20.09,1.16736017976,19804.8808277
2029,19.478187105,1.7,0.0,692.402571113,19.478187105,20.0908418746,20.09,1.16736017976,19801.0332871
2030,19.4760571311,1.7,0.0,692.402571113,19.4760571311,20.0899291026,20.09,1.16736017976,19806.5311148
2031,19.4741693436,1.7,0.0,692.402571113,19.4741693436,20.0898963904,20.09,1.16736017976,19803.315827
2032,19.4723163049,1.7,0.0,692.402571113,19.4723163049,20.0899111605,20.09,1.16736017976,19803.9524037
2033,19.470316696,1.7,0.0,692.402571113,19.470316696,20.0898990549,20.09,1.16736017976,19803.9639688
2034,19.468170263,1.7,0.0,692.402571113,19.468170263,20.089902973,20.09,1.16736017976,19803.9953446
2035,19.465954898,1.7,0.0,692.402571113,19.465954898,20.0899066789,20.09,1.16736017976,19803.9573438
2036,19.4637309655,1.7,0.0,692.402571113,19.4637309655,20.0899099691,20.09,1.16736017976,19804.0069523
2037,19.4615290715,1.7,0.0,692.402571113,19.4615290715,20.0899128731,20.09,1.16736017976,19803.9772064
2038,19.4593551419,1.7,0.0,692.402571113,19.4593551419,20.0899154562,20.09,1.16736017976,19803.9952928
2039,19.4572200107,1.7,0.0,692.402571113,19.4572200107,20.0899177445,20.09,1.16736017976,19803.9496076
2040,19.4501749551,1.7,0.0,461.601714075,19.4501749551,20.4697555047,20.45,1.16736017976,19802.8995158
2041,19.438369221,1.7,0.0,461.601714075,19.438369221,20.4498628131,20.45,1.16736017976,19807.9694904
2042,19.4259292924,1.7,0.0,461.601714075,19.4259292924,20.4505348661,20.45,1.16736017976,19806.6170381
2043,19.4151555934,1.7,0.0,461.601714075,19.4151555934,20.44982587,20.45,1.16736017976,19802.9711166
2044,19.4058183516,1.7,0.0,461.601714075,19.4058183516,20.4498410125,20.45,1.16736017976,19804.8510646
2045,19.3972110798,1.7,0.0,461.601714075,19.3972110798,20.4498461862,20.45,1.16736017976,19804.4367339
2046,19.3888188633,1.7,0.0,461.601714075,19.3888188633,20.4498479845,20.45,1.16736017976,19804.3872585
2047,19.3804427967,1.7,0.0,461.601714075,19.3804427967,20.4497810629,20.45,1.16736017976,19804.3903884
2048,19.3720646467,1.7,0.0,461.601714075,19.3720646467,20.4497828452,20.45,1.16736017976,19804.3784085
2049,19.363709447,1.7,0.0,461.601714075,19.363709447,20.4497864827,20.45,1.16736017976,19804.3068317
2050,19.355380841,1.7,0.0,461.601714075,19.355380841,20.449790343,20.45,1.16736017976,19804.3707022
2051,19.3470729881,1.7,0.0,461.601714075,19.3470729881,20.4497941564,20.45,1.16736017976,19804.3421014
2052,19.3454199138,1.74166666667,0.0,461.601714075,19.3454199138,20.825482674,20.82,1.16736017976,19803.0030629
2053,19.3429173735,1.78333333333,0.0,461.601714075,19.3429173735,20.8200859655,20.82,1.16736017976,19805.0585628
2054,19.3399049717,1.825,0.0,461.601714075,19.3399049717,20.8201061347,20.82,1.16736017976,19805.4047324
2055,19.3379813103,1.86666666667,0.0,461.601714075,19.3379813103,20.819887414,20.82,1.16736017976,19804.0442988
2056,19.3375013724,1.90833333333,0.0,461.601714075,19.3375013724,20.8198647677,20.82,1.16736017976,19804.6868518
2057,19.3381208661,1.95,0.0,461.601714075,19.3381208661,20.8198553288,20.82,1.16736017976,19804.1442192
2058,19.3393605336,1.99166666667,0.0,461.601714075,19.3393605336,20.8198490702,20.82,1.16736017976,19804.5138292
2059,19.3409597036,2.03333333333,0.0,461.601714075,19.3409597036,20.8198428726,20.82,1.16736017976,19804.4191209
2060,19.3428278436,2.075,0.0,461.601714075,19.3428278436,20.8198367462,20.82,1.16736017976,19804.2994688
2061,19.3449322364,2.11666666667,0.0,461.601714075,19.3449322364,20.819920969,20.82,1.16736017976,19804.4189401
2062,19.3472667836,2.15833333333,0.0,461.601714075,19.3472667836,20.8199212778,20.82,1.16736017976,19804.2652007
2063,19.3498066733,2.2,0.0,461.601714075,19.3498066733,20.8199187796,20.82,1.16736017976,19804.3723042
2064,19.3486099752,2.2,0.0,461.601714075,19.3486099752,20.403235245,20.38,1.16736017976,19802.6347525
2065,19.345416391,2.2,0.0,461.601714075,19.345416391,20.381035504,20.38,1.16736017976,19803.5406273
