,t2,t27
401,19.4999475078,19.4990760907
402,19.4999347454,19.4994419257
403,19.4999384618,19.4996822138
404,19.4745376966,19.2414502671
405,19.4401281352,19.05189283
406,19.3973221168,19.0494152238
407,19.3543178239,19.0498596919
408,19.317196193,19.0498058732
409,19.2856155273,19.0496383541
410,19.258361075,19.0497678011
411,19.2340539218,19.0499234153
412,19.211591689,19.0500365973
413,19.1903027992,19.0498466587
414,19.0502840274,19.0495489911
415,19.0499878589,19.0499700325
416,19.5930592919,19.255588697
417,19.747904,19.5052418639
418,19.6827633369,19.5096066123
419,19.513018149,19.5093435469
420,19.5106531733,19.5098765529
421,19.5099899161,19.5097339093
422,19.5099653298,19.5093739947
423,19.5099639367,19.5097774101
424,19.5099672978,19.5096963456
425,19.509972159,19.509460394
426,19.5099727824,19.5101218137
427,19.5099708533,19.5095748833
428,19.5489371913,19.5493825016
429,19.5682875882,19.5502595126
430,19.550025077,19.5498280052
431,19.5499791438,19.5501230684
432,19.5499859466,19.550275359
433,19.5499804404,19.5496219306
434,19.5499782882,19.5501100217
435,19.5499802306,19.5500866192
436,19.5499792291,19.5497634985
437,19.5499802471,19.5503907231
438,19.5499799289,19.5500589972
439,19.5499801615,19.5501171127
440,19.8285230411,19.7125337839
441,19.9491423578,19.838141784
442,19.9454213188,19.8397957812
443,19.9039646855,19.8402773722
444,19.8403609426,19.8403671044
445,19.8399906035,19.8403566746
446,19.8399785043,19.8398468371
447,19.8399782854,19.8403438556
448,19.9025459157,19.8400560477
449,19.9194409648,19.8400158052
450,19.9366232288,19.8396430431
451,19.9540883053,19.840393913
452,19.9740069193,19.6003187559
453,19.9911777599,19.5608253954
454,20.0038008047,19.5599159089
455,20.0125983594,19.5597458696
456,20.0189329279,19.5597131958
457,20.0238497816,19.5599531966
458,20.0279197683,19.5602075366
459,20.0314032495,19.5599528072
460,20.0344214734,19.5597553547
461,20.0370483903,19.5601055135
462,20.0393416535,19.5600334837
463,20.0413479183,19.5603503616
464,19.9857167828,19.6387062916
465,19.905018049,19.6396788659
466,19.8333469664,19.6393334382
467,19.7828813086,19.6393019724
468,19.7502197513,19.639490812
469,19.6401559362,19.6399277273
470,19.6399826003,19.6393463449
471,19.6400262027,19.6397904071
472,19.6399822659,19.6397437695
473,19.6399802763,19.6396382083
474,19.6399843061,19.6398528713
475,19.6399776868,19.6393485246
476,19.7843544155,19.786344791
477,19.7898486974,19.7895493619
478,19.7899150313,19.7900923838
479,19.7899361993,19.7893888636
480,19.7899258723,19.7898292466
481,19.7899185049,19.789758584
482,19.7899234106,19.7894498192
483,19.7899279181,19.7892872212
484,19.7899318248,19.7893340261
485,19.78993521,19.7894974618
486,19.7899381625,19.7897010221
487,19.7899100408,19.7899230774
488,19.878852127,19.8641155356
489,19.8799304573,19.8797167364
490,19.8798883708,19.879927362
491,19.8799154799,19.8798002098
492,19.8798964527,19.8795891316
493,19.8798995738,19.8795237737
494,19.8798780104,19.879567306
495,19.8798810122,19.8796157162
496,19.8798844365,19.8796171109
497,19.8798876543,19.8795705821
498,19.8798906253,19.8794906762
499,19.8798933831,19.8802659062
500,19.8702189027,19.8704610311
501,19.8698906464,19.8697672424
502,19.8698931211,19.8697430082
503,19.8698948072,19.8702268635
504,19.8698941049,19.8692335146
505,19.8698930231,19.8702338985
506,19.8698917202,19.869491142
507,19.8698902222,19.8695530737
508,19.8698885372,19.869662458
509,19.8698866725,19.8692698388
510,19.8698846347,19.8693655356
511,19.8698824284,19.8701805989
512,20.3353751797,19.9502078842
513,20.3115447328,20.046378385
514,20.3099594031,20.1159273443
515,20.3098436707,20.1541240544
516,20.3098369825,20.1744483637
517,20.3098770925,20.1888413686
518,20.309873984,20.202510874
519,20.3098694761,20.216292311
520,20.3098650642,20.2297175407
521,20.3099066677,20.2424654269
522,20.3099054486,20.254558784
523,20.3099027581,20.2661566868
524,20.1740423385,20.1712902097
525,20.1700098715,20.1616730265
526,20.1699041771,20.1695629246
527,20.1698689963,20.1701309456
528,20.169836893,20.1695570642
529,20.1698403721,20.1698924136
530,20.1698433944,20.1691830476
531,20.1698462114,20.1702251694
532,20.1698489176,20.1701808881
533,20.1698515455,20.1698224899
534,20.1698541074,20.1698413693
535,20.1698566118,20.1702309951
536,20.4354516268,20.210467002
537,20.4493947016,20.258552774
538,20.4498420645,20.2930990212
539,20.4498031823,20.3130162902
540,20.4497915201,20.3250651897
541,20.4497848412,20.334739043
542,20.4497767172,20.3442542741
543,20.4498214862,20.3538656194
544,20.4498190664,20.3633126668
545,20.4498150159,20.3724465322
546,20.449811022,20.3812846801
547,20.4498071825,20.3899025662
548,20.4785703839,20.4038298358
549,20.4798210567,20.4199401288
550,20.4798477229,20.4348835624
551,20.4798383665,20.447936679
552,20.4798790355,20.4597242933
553,20.4798775762,20.4709032269
554,20.479874718,20.4799232205
555,20.4798718857,20.4805563846
556,20.4798691675,20.4804247507
557,20.4798665974,20.4799147862
558,20.4799095421,20.4800004997
559,20.4799095033,20.4806499804
560,20.4402839474,20.4401873327
561,20.4399417793,20.4399586479
562,20.4398768293,20.4393025689
563,20.4398822272,20.4405451613
564,20.4398795049,20.43967645
565,20.4398772694,20.4399096253
566,20.4398756676,20.439799561
567,20.4398746714,20.4393435285
568,20.4398742168,20.4395949697
569,20.4398742462,20.4405871224
570,20.4398747223,20.4401468177
571,20.4398755689,20.439669982
572,20.4992742315,20.4871120835
573,20.4999351796,20.4998744647
574,20.4999146208,20.5005410492
575,20.4999158677,20.5003461304
576,20.4999185302,20.4997072025
577,20.4999357035,20.4996585297
578,20.4999290575,20.4999757629
579,20.4999349255,20.5002404623
580,20.4999298781,20.5002553582
581,20.499934825,20.500016803
582,20.4999427871,20.4995461732
583,20.4999366228,20.4997556046
584,21.0396453828,20.5641652946
585,21.0018092049,20.6409583367
586,21.0000004058,20.6962948363
587,20.999817327,20.7266332782
588,20.999809447,20.7426863102
589,20.9998029872,20.7538932287
590,20.9997947514,20.764462972
591,20.9998837349,20.7747575456
592,20.999882538,20.7846393363
593,20.9998777689,20.794039164
594,20.9999161066,20.803332373
595,20.9999139781,20.8123424871
596,20.7504592512,20.5592101515
597,20.5039740873,20.500858098
598,20.4999972002,20.5004774439
599,20.4999270724,20.4999684284
600,20.4999169831,20.4999307349
601,20.4999169794,20.499985539
602,20.4999155038,20.5001032497
603,20.4999133056,20.5004576651
604,20.4999105386,20.5002579126
605,20.4999072344,20.5004211904
606,20.4999034023,20.5004481076
607,20.4998991387,20.5001690775
608,20.3253209074,20.2322875876
609,20.2040283052,20.2010884624
610,20.2000584507,20.2001139373
611,20.1999247771,20.2002629731
612,20.1999151144,20.2000874426
613,20.1998988167,20.2008405626
614,20.1998858921,20.1999846382
615,20.1998905707,20.2001769972
616,20.1998954668,20.2005548797
617,20.1998996664,20.2005781079
618,20.1999035815,20.2003883911
619,20.1999069717,20.2003066181
620,20.4746713719,20.3289349943
621,20.4895232631,20.4818955257
622,20.489838771,20.4899987516
623,20.4898559227,20.4908351442
624,20.4898519983,20.4908857348
625,20.4898515597,20.4911718459
626,20.4898519561,20.4909841221
627,20.489858319,20.4908122042
628,20.4898599556,20.4907721513
629,20.4898613449,20.4906826384
630,20.489862822,20.490379473
631,20.4898643976,20.4906894463
632,20.2973068103,20.2486870121
633,20.1711788726,20.1705814822
634,20.1699237203,20.170289207
635,20.169920145,20.1706085351
636,20.1699106213,20.170212685
637,20.1699098916,20.1704396462
638,20.1699108659,20.1707876065
639,20.1699120776,20.1705012481
640,20.1699134323,20.1706894064
641,20.1699148063,20.1707883114
642,20.1699161259,20.1705640664
643,20.1699175258,20.1701825563
644,20.0194234485,19.9440155333
645,19.7840308703,19.7823338173
646,19.7807767044,19.7802951749
647,19.7799820304,19.7800454318
648,19.7799503962,19.7800005308
649,19.7799219182,19.7802678605
650,19.7799255641,19.7804303383
651,19.7799363515,19.7803305198
652,19.7799454392,19.7806140473
653,19.7799301391,19.7799484538
654,19.7799037243,19.7804140849
655,19.7799136185,19.7804631311
656,19.6525535194,19.6516287754
657,19.6501189404,19.6499841615
658,19.6499433108,19.6500201418
