,tout,s,i,t1,t2,m,tret
147,3.66666666667,917.5,0.0,22.7796512436,23.5005232241,6.45040930016,22.766795946
148,3.75833333333,921.25,0.0,22.7951676559,23.4997351291,6.47410733507,22.7796512436
149,3.85,925.0,0.0,22.8120070161,23.5002656082,6.49639395312,22.7951676559
150,3.94166666667,920.416666667,0.0,22.8288689685,23.4996254423,6.50263703038,22.8120070161
151,4.03333333333,915.833333333,0.0,22.8449204954,23.5002674688,6.50621459835,22.8288689685
152,4.125,911.25,0.0,22.860120881,23.5002336682,6.5082832668,22.8449204954
153,4.21666666667,906.666666667,0.0,22.8744105124,23.5001122588,6.50848577216,22.860120881
154,4.30833333333,902.083333333,0.0,22.8876864536,23.4996861424,6.50539049591,22.8744105124
155,4.4,897.5,0.0,22.8947201378,23.5000605388,6.49904036557,22.8921806614
156,4.45,892.916666667,0.0,22.9013926369,23.5820487345,6.40116203552,22.9003838352
157,4.5,888.333333333,0.0,22.9177970395,23.5899454697,6.4000361328,22.9120924023
158,4.55,883.75,0.0,22.9405864651,23.5900217374,6.38696125594,22.9349260763
159,4.6,879.166666667,0.0,22.9508274601,23.5901059376,6.36817189752,22.9482932629
160,4.65,874.583333333,0.0,22.9548973551,23.5900740172,6.3474271719,22.9539321598
161,4.7,870.0,0.0,22.9554628404,23.5900113206,6.32490455047,22.9553998152
162,4.75,865.75,0.0,22.9538323237,23.590147428,6.30211050029,22.9543385857
163,4.8,861.5,0.0,22.9506476659,23.5900062754,6.27891167636,22.9515726995
164,4.85,857.25,0.0,22.9461704483,23.5900633367,6.25442303255,22.9474397341
165,4.9,853.0,0.0,22.9426678654,23.5899405759,6.2285540247,22.9442031165
166,4.95,848.75,0.0,22.9350638138,23.590004171,6.20133390173,22.9376482157
167,5.0,844.5,0.0,22.9271365212,23.5900714402,6.17340649361,22.929835932
168,5.0,840.25,0.0,22.9816916553,23.8747173249,7.31265519889,22.9661219942
169,5.0,836.0,0.0,23.0197596991,23.8800588739,5.99510561227,23.0105154384
170,5.0,831.75,0.0,23.0356869813,23.880037011,5.97883795617,23.0316686804
171,5.0,827.5,0.0,23.0380979218,23.8799754686,5.95354585979,23.0367764527
172,5.0,823.25,0.0,23.0438415015,23.8799471461,5.92817677799,23.0420622129
173,5.0,819.0,0.0,23.0453826455,23.8799843365,5.90068317493,23.0450395285
174,5.0,806.583333333,0.0,23.0430949795,23.8800342703,5.86116437559,23.0440070482
175,5.0,794.166666667,0.0,23.0379914209,23.8800808663,5.81828942445,23.0398235515
176,5.0,781.75,0.0,23.0307813648,23.8799216442,5.77475328779,23.0333072526
177,5.0,769.333333333,0.0,23.0217484664,23.8800591273,5.73032601633,23.0248797365
178,5.0,756.916666667,0.0,23.011009974,23.8800591282,5.68496313952,23.0147222271
179,5.0,744.5,0.0,23.0039892898,23.8799626321,5.64022108601,23.0080695966
180,4.95,732.083333333,0.0,23.026143539,23.4926634362,7.32360668087,23.0210376736
181,4.9,719.666666667,0.0,22.9596486715,23.4803246076,5.61498200444,23.0142010205
182,4.85,707.25,0.0,22.8598596208,23.4794449673,5.68085340504,22.9596486715
183,4.8,694.833333333,0.0,22.7781426905,23.4805437763,5.58774057486,22.8598596208
184,4.75,682.416666667,0.0,22.7246789483,23.4800255587,5.52621570399,22.7781426905
185,4.7,670.0,0.0,22.687887713,23.480387894,5.4707777824,22.7246789483
186,4.65,636.666666667,0.0,22.6552857417,23.4802900531,5.39501328866,22.687887713
187,4.6,603.333333333,0.0,22.6208918272,23.4802229482,5.31687146513,22.6552857417
188,4.55,570.0,0.0,22.5837788153,23.4798833123,5.24064860737,22.6208918272
189,4.5,536.666666667,0.0,22.5446377662,23.4800442773,5.16473762732,22.5837788153
190,4.45,503.333333333,0.0,22.5042182601,23.480049164,5.09523413426,22.5446377662
191,4.4,470.0,0.0,22.4627062991,23.4804240762,5.02812681434,22.5042182601
