,Unnamed: 0,tout,s,i,t1,t2,m,tret
7129,7129,2.8,0.0,0.0,23.8119028256,24.1660709037,32.6582912186,23.8122848102
7130,7130,2.8,0.0,0.0,23.8049524097,24.1448674315,32.6582912186,23.8119028256
7131,7131,2.8,0.0,0.0,23.7948009683,24.1302564016,32.6582912186,23.8049524097
7132,7132,2.8,0.0,0.0,23.7839538614,24.1210766464,32.6582912186,23.7948009683
7133,7133,2.8,0.0,0.0,23.7736690651,24.1154048889,32.6582912186,23.7839538614
7134,7134,2.8,0.0,0.0,23.7643003896,24.1112612527,32.6582912186,23.7736690651
7135,7135,2.8,0.0,0.0,23.7557300121,24.1066017152,32.6582912186,23.7643003896
7136,7136,2.8,0.0,0.0,23.7476045658,24.1036072345,32.6582912186,23.7557300121
7137,7137,2.8,0.0,0.0,23.7397857899,24.1008243046,32.6582912186,23.7476045658
7138,7138,2.8,0.0,0.0,23.7321910159,24.0982940441,32.6582912186,23.7397857899
7139,7139,2.8,0.0,0.0,23.7247583246,24.0958547888,32.6582912186,23.7321910159
7140,7140,2.8,0.0,0.0,23.7192964255,24.0888125052,32.6582912186,23.7247583246
7141,7141,2.8,0.0,0.0,23.7158662934,24.0864612717,32.6582912186,23.7192964255
7142,7142,2.8,0.0,0.0,23.7141640024,24.0845659041,32.6582912186,23.7158662934
7143,7143,2.8,0.0,0.0,23.7136941747,24.0819845462,32.6582912186,23.7141640024
7144,7144,2.8,0.0,0.0,23.7139436869,24.080533725,32.6582912186,23.7136941747
7145,7145,2.8,0.0,0.0,23.7146790887,24.0790902985,32.6582912186,23.7139436869
7146,7146,2.8,0.0,0.0,23.7157641643,24.0777357261,32.6582912186,23.7146790887
7147,7147,2.8,0.0,0.0,23.7171047573,24.076810975,32.6582912186,23.7157641643
7148,7148,2.8,0.0,0.0,23.7186601293,24.0756772801,32.6582912186,23.7171047573
7149,7149,2.8,0.0,0.0,23.7203657963,24.0743957672,32.6582912186,23.7186601293
7150,7150,2.8,0.0,0.0,23.7221565696,24.0733116245,32.6582912186,23.7203657963
7151,7151,2.8,0.0,0.0,23.7240118092,24.0723655098,32.6582912186,23.7221565696
7152,7152,2.8,0.0,0.0,23.7366398111,23.8043411653,45.1660918307,23.7319879521
7153,7153,2.8,0.0,0.0,23.7098956089,23.6992541091,32.6582912186,23.7333155272
7154,7154,2.8,0.0,0.0,23.666848911,23.7239237074,32.6582912186,23.7098956089
7155,7155,2.8,0.0,0.0,23.6335248215,23.7634937906,34.2966135739,23.666848911
7156,7156,2.8,0.0,0.0,23.6179129237,23.7770876572,36.1703499299,23.6335248215
7157,7157,2.8,0.0,0.0,23.6098512936,23.7617532612,33.9936942034,23.6179129237
7158,7158,2.8,0.0,0.0,23.604224614,23.7657427095,34.5252372528,23.6098512936
7159,7159,2.8,0.0,0.0,23.5988416429,23.7652655102,34.4525104817,23.604224614
7160,7160,2.8,0.0,0.0,23.5933657905,23.7647312421,34.3909876967,23.5988416429
7161,7161,2.8,0.0,0.0,23.5879683755,23.7641009622,34.327274236,23.5933657905
7162,7162,2.8,0.0,0.0,23.5827606814,23.763401145,34.2638900996,23.5879683755
7163,7163,2.8,0.0,0.0,23.5777381755,23.7635451474,34.2119941448,23.5827606814
7164,7164,2.8,0.0,0.0,23.5712695688,23.8754331455,32.6582912186,23.5777381755
7165,7165,2.8,0.0,0.0,23.5743705265,23.8938437637,32.6582912186,23.5712695688
7166,7166,2.8,0.0,0.0,23.582012454,23.9023250466,32.6582912186,23.5743705265
7167,7167,2.8,0.0,0.0,23.5884969201,23.9061657014,32.6582912186,23.582012454
7168,7168,2.8,0.0,0.0,23.5917331976,23.9075731709,32.6582912186,23.5884969201
7169,7169,2.8,0.0,0.0,23.592095502,23.9078112379,32.6582912186,23.5917331976
7170,7170,2.8,0.0,0.0,23.5906176887,23.9077210244,32.6582912186,23.592095502
7171,7171,2.8,0.0,0.0,23.5881206627,23.907684278,32.6582912186,23.5906176887
7172,7172,2.8,0.0,0.0,23.5850723714,23.9073285126,32.6582912186,23.5881206627
7173,7173,2.8,0.0,0.0,23.5816683328,23.9069491065,32.6582912186,23.5850723714
7174,7174,2.8,0.0,0.0,23.5780056755,23.9056051974,32.6582912186,23.5816683328
7175,7175,2.8,0.0,0.0,23.5740776795,23.9052456801,32.6582912186,23.5780056755
7176,7176,2.8,0.0,0.0,23.5937501901,23.6097334697,50.4843019289,23.5857497938
