,t1,t2,w1,i,s,tout,hsp,m0,csp0
41,22.516751620955898,22.5188573294237,22.88860758357362,0.0,0.0,16.25,15.6,33.6002108693858,0.0
42,22.512674211841997,22.515874965279302,22.882167964537647,0.0,0.0,16.225,15.6,33.6002108693858,0.0
43,22.505629709970897,22.510350114081398,22.87623808949531,0.0,0.0,16.2,15.6,33.6002108693858,0.0
44,22.501414435423197,22.5048155592522,22.87036533964719,0.0,0.0,16.175,15.6,33.6002108693858,0.0
45,22.496392171033396,22.499230623915402,22.864145135752572,0.0,0.0,16.15,15.6,33.6002108693858,0.0
46,22.491106965704603,22.4934488788856,22.857920523022546,0.0,0.0,16.125,15.6,33.6002108693858,0.0
47,22.486482126455,22.4900967746717,22.851693816953635,0.0,0.0,16.1,15.6,33.6002108693858,0.0
48,22.4770963457372,22.482811286310803,22.85077586273113,0.0,0.0,16.1,20.0,33.6002108693858,0.0
49,22.4757001517562,22.476570442649898,22.84749980633325,0.0,0.0,16.1,20.0,33.6002108693858,0.0
50,22.4749906385053,22.4744854730563,22.845064376154042,0.0,0.0,16.1,20.0,33.6002108693858,0.0
51,22.4734593503752,22.4749906385053,22.842193983343087,0.0,0.0,16.1,20.0,33.6002108693858,0.0
52,22.4716910088732,22.472318956075203,22.84047209697252,0.0,10.0833333333333,16.1,20.0,33.6002108693858,0.0
53,22.470501111463104,22.4714524320754,22.837859325322437,0.0,11.0,16.1,20.0,33.6002108693858,0.0
54,22.467939852001802,22.4694972845068,22.836011230884942,0.0,13.916666666666698,16.1,20.0,33.6002108693858,0.0
55,22.466084046400297,22.4672043401016,22.83384865592381,0.0,16.8333333333333,16.1,20.0,33.6002108693858,0.0
56,22.464725572097397,22.4655540828395,22.831502411412128,0.0,19.75,16.1,20.0,33.6002108693858,0.0
57,22.463613038677696,22.464296655155696,22.829098840115478,0.0,22.6666666666667,16.1,20.0,33.6002108693858,0.0
58,22.4631521045075,22.4634352041145,22.826837886886448,0.0,25.5833333333333,16.1,20.0,33.6002108693858,0.0
59,22.4625239884033,22.4627477606003,22.824466468288097,0.0,28.5,16.1,20.0,33.6002108693858,0.0
60,22.472127024830602,22.4646649712534,22.82707421963195,0.0,31.4166666666667,16.1,21.0,34.5421902697122,0.0
61,22.4945591550106,22.482662699695602,22.842151057133783,0.0,34.3333333333333,16.1,21.0,33.6002108693858,0.0
62,22.5090213382048,22.502503479141897,22.850168345227864,0.0,37.25,16.1,21.0,33.6002108693858,0.0
63,22.534201752278598,22.526166017223396,22.85661476225409,0.0,40.1666666666667,16.1,21.0,33.6002108693858,0.0
64,22.5378207144502,22.533799297540998,22.862748273709606,0.0,43.0833333333333,16.1,21.0,33.6002108693858,0.0
65,22.5443393732997,22.5415293932049,22.866567661947236,0.0,46.0,16.1,21.0,33.6002108693858,0.0
66,22.554366554504398,22.5511902190321,22.87129921372009,0.0,55.1666666666667,16.1,21.0,33.6002108693858,0.0
67,22.559945071483398,22.558181519693303,22.876635373613837,0.0,64.3333333333333,16.1,21.0,33.6002108693858,0.0
68,22.560002188685,22.5595591849922,22.882062810141544,0.0,73.5,16.1,21.0,33.6002108693858,0.0
69,22.561656183611003,22.560951355474803,22.887093411903503,0.0,82.6666666666667,16.1,21.0,33.6002108693858,0.0
70,22.564209869878603,22.5633831852608,22.89232359056066,0.0,91.8333333333333,16.1,21.0,33.6002108693858,0.0
71,22.5645971055489,22.564170854474696,22.89760523080339,0.0,101.0,16.1,21.0,33.6002108693858,0.0
72,22.566217773215605,22.5654085664336,22.92009907125989,0.0,110.166666666667,16.1,21.0,33.6002108693858,0.0
73,22.5692307880653,22.566958306532698,22.93740417090869,0.0,119.333333333333,16.1,21.0,33.6002108693858,0.0
74,22.5741569336823,22.572318882283696,22.951312337484566,0.0,128.5,16.1,21.0,33.6002108693858,0.0
