,Unnamed: 0,tout,m,gas,q,dt
1143,1143,-6.46666666667,0.0,0.0,0.0,0.0
1144,1144,-6.55833333333,0.0,0.0,0.0,0.0
1145,1145,-6.65,0.0,0.0,0.0,0.0
1146,1146,-6.74166666667,0.0,0.0,0.0,0.0
1147,1147,-6.83333333333,0.0,0.0,0.0,0.0
1148,1148,-6.925,0.0,0.0,0.0,0.0
1149,1149,-7.01666666667,0.0,0.0,0.0,0.0
1150,1150,-7.10833333333,0.0,0.0,0.0,0.0
1151,1151,-7.2,0.0,0.0,0.0,0.0
1152,1152,-7.2,0.000545477499371,51.5499478542,25.2074594237,11.0027930761
1153,1153,-7.2,0.00184756903332,174.6141847,142.306879877,18.3390118777
1154,1154,-7.2,0.00340725896816,363.996468569,262.474095833,18.3413802488
1155,1155,-7.2,0.00546415107942,655.114439983,421.013980892,18.3452877794
1156,1156,-7.2,0.00812638788079,974.602881701,626.328986174,18.3508283479
1157,1157,-7.2,0.0105492267433,1265.70162982,813.418213393,18.3587866581
1158,1158,-7.2,0.0128455345304,1541.99601261,990.985683239,18.3681707943
1159,1159,-7.2,0.0150357314184,1805.96948161,1160.63356585,18.3789745582
1160,1160,-7.2,0.0171754578991,2064.3353296,1326.67846931,18.3911152694
1161,1161,-7.2,0.0193092427482,2322.48318573,1492.58436191,18.4045140279
1162,1162,-7.2,0.0214601014228,2583.22706472,1660.15922399,18.4191117239
1163,1163,-7.2,0.0235912482051,2842.18177885,1826.58567773,18.4348597437
1164,1164,-7.15833333333,0.0241683070688,2914.29422075,1872.93445759,18.4513037817
1165,1165,-7.11666666667,0.0247150431075,2982.91496412,1917.03982015,18.4680257458
1166,1166,-7.075,0.0252003222717,3044.2715134,1956.47705628,18.4849965616
1167,1167,-7.03333333333,0.0256106642643,3096.71050747,1990.18300298,18.5021790555
1168,1168,-6.99166666667,0.0260348731719,3150.95256229,2025.04735944,18.5195499135
1169,1169,-6.95,0.0263633096609,3193.71701638,2052.53698786,18.5370990634
1170,1170,-6.90833333333,0.0266670290289,3233.58409684,2078.16447738,18.5547878434
1171,1171,-6.86666666667,0.0269233802702,3267.79343391,2100.15533261,18.5725930005
1172,1172,-6.825,0.0271723670964,3301.18705714,2121.6219559,18.5905071481
1173,1173,-6.78333333333,0.0273538096898,3326.44070316,2137.8577693,18.6085141473
1174,1174,-6.74166666667,0.0275252988735,3350.53819413,2153.34991418,18.6265865041
1175,1175,-6.7,0.0275633727315,3358.42632894,2158.42559479,18.6447014634
1176,1176,-6.74166666667,0.0277904220805,3389.38053997,2178.325213,18.6628637282
1177,1177,-6.78333333333,0.0276493919832,3375.45462585,2169.38079859,18.6810342185
1178,1178,-6.825,0.0276914264234,3383.85859486,2174.78680834,18.6991589029
1179,1179,-6.86666666667,0.0276207069825,3378.47609091,2171.33549106,18.7172848638
1180,1180,-6.90833333333,0.0275363456379,3371.39913179,2166.79190839,18.73534136
1181,1181,-6.95,0.027428968836,3361.47118419,2160.41604697,18.7533398052
1182,1182,-6.99166666667,0.0272823108683,3346.68644027,2150.91950375,18.7712724864
1183,1183,-7.03333333333,0.0270847958754,3325.60567972,2137.37658204,18.7891091571
1184,1184,-7.075,0.0269098241504,3307.23238978,2125.57333584,18.806844915
1185,1185,-7.11666666667,0.0267179148614,3286.71759283,2112.39354692,18.8244796465
1186,1186,-7.15833333333,0.0264690991777,3259.13127996,2094.66900112,18.8419980296
1187,1187,-7.2,0.0262096520132,3230.15536403,2076.05081028,18.8593809533
1188,1188,-7.34166666667,0.0278884409159,3440.27224789,2211.10031878,18.8770845398
1189,1189,-7.48333333333,0.0295029527225,3642.98422926,2341.39241094,18.8955454323
1190,1190,-7.625,0.0312410785158,3861.51216268,2481.84955501,18.9147298618
1191,1191,-7.76666666667,0.0329450083554,4076.40136569,2619.96828319,18.9346430106
1192,1192,-7.90833333333,0.0351799854651,4357.73613362,2800.79665589,18.9555606071
1193,1193,-8.05,0.0371665706666,4609.13667616,2962.38495445,18.9775311096
1194,1194,-8.19166666667,0.0392408786788,4872.24193536,3131.49883986,19.0004655088
1195,1195,-8.33333333333,0.0462679099435,5752.66547807,3697.32877788,19.0264997222
1196,1196,-8.475,0.0518968031386,6463.32466969,4154.11459533,19.0584938538
1197,1197,-8.61666666667,0.0568414056923,7092.46155565,4558.54632209,19.0946750649
1198,1198,-8.75833333333,0.0616211874649,7704.68677208,4952.07699909,19.134099823
1199,1199,-8.9,0.0751621804279,9420.31714343,6054.51995892,19.1792250167
1200,1200,-9.175,5.89417725175,577785.84439,472829.494535,19.0999432612
1201,1201,-9.45,1.85812479691,206343.748731,150892.103099,19.3349183402
1202,1202,-9.725,1.75545189826,201007.863315,145911.158211,19.7902044422
1203,1203,-10.0,1.78052555227,206941.27622,151299.362274,20.2320363436
1204,1204,-10.275,1.81813737931,214001.24801,157711.013058,20.6531374536
1205,1205,-10.55,1.88392609338,223789.369171,166568.60433,21.0513520921
1206,1206,-10.825,1.93722429814,232334.165784,174319.493409,21.4247990425
1207,1207,-11.1,1.99845991742,241706.467649,182755.291527,21.7733487021
1208,1208,-11.375,2.0645557686,251368.777708,191603.556383,22.0967120727
1209,1209,-11.65,2.13556996315,261623.333949,200856.873572,22.3935838963
1210,1210,-11.925,2.20601253104,271554.06931,209991.253018,22.6643850304
1211,1211,-12.2,2.28356869041,282328.832575,219706.153917,22.9075609801
1212,1212,-12.3833333333,10.0605889674,1071520.64097,947166.059078,22.4157580717
1213,1213,-12.5666666667,8.52497512286,890392.142171,776187.410127,21.6782481541
1214,1214,-12.75,6.8393096009,720498.0651,611642.609002,21.2929668516
1215,1215,-12.9333333333,6.50943117791,678241.516444,576316.422921,21.0799057834
1216,1216,-13.1166666667,6.42679056751,664494.327809,564368.16603,20.9083167489
1217,1217,-13.3,6.27093108497,644702.150485,547370.757444,20.7826188893
1218,1218,-13.4833333333,6.17906887681,632748.27543,537054.10971,20.6940606539
1219,1219,-13.6666666667,6.11681674707,624634.221534,530008.554697,20.6304223653
1220,1220,-13.85,6.05574513373,617151.850638,523523.185087,20.5834913209
1221,1221,-14.0333333333,6.00300056646,610943.79188,518160.503921,20.551646995
1222,1222,-14.2166666667,5.95895594942,605988.845667,513883.073271,20.5326425841
1223,1223,-14.4,5.92340246915,602110.072414,510536.65033,20.5213719564
1224,1224,-14.45,12.4330500934,1096332.50314,1010507.14232,19.3514010512
1225,1225,-14.5,7.10111270064,686948.388818,596636.412314,20.0047928592
1226,1226,-14.55,6.8756475929,672168.404006,581596.626835,20.1399774306
1227,1227,-14.6,6.61607396072,652367.887771,563287.690644,20.2712541631
1228,1228,-14.65,6.44296912132,640285.492552,552529.710885,20.4183336271
1229,1229,-14.7,6.32230173424,632931.755295,545889.999017,20.5579889656
1230,1230,-14.75,6.21876371754,626753.510581,540299.070777,20.6862073786
1231,1231,-14.8,6.13430287934,622065.968959,536039.32714,20.8056911656
1232,1232,-14.85,6.06139932997,618165.864677,532467.534483,20.9156297909
1233,1233,-14.9,6.00294395399,615382.431347,529881.633254,21.0167368876
1234,1234,-14.95,5.93946676092,611756.425765,526575.677489,21.1088244709
1235,1235,-15.0,5.88598687595,608919.583734,523964.025308,21.1949740949
1236,1236,-14.9083333333,29.0824115022,2227813.40861,1871604.33779,15.322666086
1237,1237,-14.8166666667,29.8755083026,2221736.87009,1869316.78834,14.8976687288
1238,1238,-14.725,29.0021279087,2161959.58066,1819886.61013,14.9405015076
1239,1239,-14.6333333333,28.1338953443,1998417.7551,1682189.78593,14.2362574645
1240,1240,-14.5416666667,27.1492998537,1874305.10687,1577776.26417,13.8368583095
1241,1241,-14.45,27.3802522467,1846023.76047,1552575.52056,13.5010019228
1242,1242,-14.3583333333,27.2096973276,1798070.40531,1511279.76016,13.2242747867
1243,1243,-14.2666666667,27.0379704182,1761224.68394,1479487.14938,13.0283020376
1244,1244,-14.175,26.5405413765,1717066.85938,1441924.90334,12.9355105575
1245,1245,-14.0833333333,26.4177612886,1699761.32229,1426220.00173,12.8540865813
1246,1246,-13.9916666667,26.0751519805,1673168.24483,1403110.64475,12.8119660926
1247,1247,-13.9,24.7043433211,1591755.43837,1334475.1561,12.8613894284
1248,1248,-13.9,25.3896873768,1625348.48346,1349218.2398,12.6524770975
1249,1249,-13.9,24.0703622476,1508875.8309,1249823.79895,12.3628008555
1250,1250,-13.9,25.196916152,1551898.0275,1286303.60735,12.1547717112
1251,1251,-13.9,23.9160386695,1459435.94603,1205881.7754,12.0051113981
1252,1252,-13.9,25.1263152133,1529624.47909,1251861.13263,11.8625501553
1253,1253,-13.9,23.7756576173,1435820.76155,1172789.99553,11.7446052478
1254,1254,-13.9,24.811811749,1491537.07945,1215091.12678,11.6600679573
1255,1255,-13.9,24.5890892709,1467841.7039,1193899.2897,11.560482477
1256,1256,-13.9,24.7866754278,1473686.81184,1192608.21722,11.455926724
1257,1257,-13.9,24.3965994175,1442575.81604,1167752.71116,11.3965210906
1258,1258,-13.9,24.6297767517,1453846.47472,1171265.26976,11.3225826644
1259,1259,-13.9,24.4925211401,1436467.79582,1156611.68985,11.2435846887
1260,1260,-13.7166666667,18.25268094,1140748.78719,913639.684594,11.9178798419
1261,1261,-13.5333333333,17.7952541531,1136030.38875,917810.511838,12.2800332304
1262,1262,-13.35,23.185280412,1500464.74816,1207688.97095,12.4020494026
1263,1263,-13.1666666667,22.765536437,1430102.36816,1147143.03909,11.997489968
1264,1264,-12.9833333333,15.9255555438,1059285.57345,838513.880443,12.5362133498
1265,1265,-12.8,20.7029407572,1357091.38056,1085195.9647,12.4803521696
1266,1266,-12.6166666667,20.7236127339,1342157.94324,1067646.19853,12.266272252
1267,1267,-12.4333333333,20.8906577357,1347529.61161,1069378.43806,12.1879318997
1268,1268,-12.25,19.5404964298,1262983.89622,997503.164352,12.1542845275
1269,1269,-12.0666666667,18.1639664654,1188910.38725,937783.646229,12.2925695198
1270,1270,-11.8833333333,11.9547569796,865783.422902,666158.947073,13.2674610938
1271,1271,-11.7,15.4863874255,1140875.05717,901107.554884,13.8540649885
1272,1272,-11.5083333333,19.0665245993,1397431.49941,1102037.45771,13.7618090552
1273,1273,-11.3166666667,18.5690188675,1331037.57252,1044529.00252,13.3931352716
1274,1274,-11.125,17.3843080377,1236153.09587,964080.545359,13.204033574
1275,1275,-10.9333333333,14.8266358166,1078563.63317,837088.893444,13.4424883606
1276,1276,-10.7416666667,13.8183622332,1038876.12177,805792.282913,13.8840842509
1277,1277,-10.55,7.92417858751,651678.587365,493165.207123,14.8179759092
1278,1278,-10.3583333333,10.8090145585,922866.773184,716765.680399,15.7885341359
1279,1279,-10.1666666667,14.4480108384,1234762.74427,961634.002615,15.8471971937
1280,1280,-9.975,11.2074409958,980442.609147,759259.586657,16.1300061386
1281,1281,-9.78333333333,11.8851931408,1061305.06765,820723.406941,16.4414942753
1282,1282,-9.59166666667,13.2150624381,1173769.77329,905673.859898,16.3174887988
1283,1283,-9.4,10.5042168314,954676.089211,734826.912792,16.6560526661
1284,1284,-9.26666666667,15.2458897191,1373169.71979,1054011.13098,16.4605041627
1285,1285,-9.13333333333,12.2249399598,1095699.11449,833560.470544,16.2345810576
1286,1286,-9.0,14.0958603597,1243835.20279,943692.752118,15.9400522402
1287,1287,-8.86666666667,11.644150636,1034889.90343,778751.601017,15.9236215382
1288,1288,-8.73333333333,9.8854074848,913017.702111,682427.996681,16.436637195
1289,1289,-8.6,10.8961296486,1019445.30456,765867.238367,16.7352397914
1290,1290,-8.46666666667,9.26382414519,899168.090018,671553.991225,17.2600218796
1291,1291,-8.33333333333,7.82808185163,813480.109174,592835.572647,18.0314066071
1292,1292,-8.2,10.1804992269,1049897.00054,782319.212189,18.2963993161
1293,1293,-8.06666666667,8.64029594256,905050.887472,671737.353279,18.510646641
1294,1294,-7.93333333333,8.52827463529,917307.773288,680298.356582,18.9927982051
1295,1295,-7.8,12.3923225045,1306658.11588,972894.961406,18.6923522522
1296,1296,-7.70833333333,5.90630381337,656377.225529,461685.166746,18.6114773596
1297,1297,-7.61666666667,7.95623686005,869871.414139,640986.219334,19.1819033536
1298,1298,-7.525,8.1952389652,911839.52142,674207.7712,19.5876728539
1299,1299,-7.43333333333,4.53932641702,538452.811517,383534.269099,20.1170118052
1300,1300,-7.34166666667,8.36412712403,974315.566014,722039.522927,20.5537493125
1301,1301,-7.25,4.06730636684,483592.067269,357950.971519,20.9540206966
1302,1302,-7.15833333333,8.42000800447,1016695.67225,750641.770933,21.2261355428
1303,1303,-7.06666666667,11.1579306035,1301127.09541,963869.334873,20.5676757577
1304,1304,-6.975,8.27507052348,961615.762659,704890.117729,20.281516627
1305,1305,-6.88333333333,8.05553877174,954419.287002,692326.073177,20.4628822359
1306,1306,-6.79166666667,7.61692360443,913100.736024,659748.001303,20.622874222
1307,1307,-6.7,7.6650429101,930920.342428,669508.879113,20.796605818
1308,1308,-6.60833333333,2.87202085913,397452.651806,255546.200738,21.1851990266
1309,1309,-6.51666666667,7.84457580756,1006211.40621,702264.045677,21.3148204904
1310,1310,-6.425,6.09936163022,821531.284905,548666.531048,21.4177968556
1311,1311,-6.33333333333,10.0812830332,1274778.08225,886402.58661,20.9346602225
1312,1312,-6.24166666667,7.48142402466,955321.734411,648663.801448,20.6436317124
1313,1313,-6.15,9.93341728796,1237275.65803,841963.668646,20.1811254216
1314,1314,-6.05833333333,3.72401506879,491623.478962,315588.132049,20.1771555841
1315,1315,-5.96666666667,6.87629132437,917888.318864,595045.636517,20.6037711058
1316,1316,-5.875,9.57824195592,1231470.00619,813493.897522,20.2217718148
1317,1317,-5.78333333333,9.54132119971,1196093.06491,784646.386203,19.5801571117
1318,1318,-5.69166666667,6.7542276768,865625.865361,556197.271308,19.6066712697
1319,1319,-5.6,7.17327633356,932267.601214,599192.079163,19.8883709646
1320,1320,-5.45833333333,4.5409518237,601649.531377,385983.116031,20.238211168
1321,1321,-5.31666666667,10.3196625594,1346983.53234,865879.609763,19.9775729742
1322,1322,-5.175,8.93634780979,1129504.04606,725853.070985,19.3392382925
1323,1323,-5.03333333333,8.36585364883,1050012.99438,674889.209805,19.2075924157
1324,1324,-4.89166666667,2.87875638199,366489.726625,235472.66022,19.4753955043
1325,1325,-4.75,6.25925464272,817558.174081,525501.28973,19.9894974465
1326,1326,-4.60833333333,6.00847816643,798786.605969,513421.399582,20.3451168483
1327,1327,-4.46666666667,5.57318118549,753300.574122,484035.45499,20.678770897
1328,1328,-4.325,8.6946460441,1166657.46315,749501.100648,20.5244287239
1329,1329,-4.18333333333,6.08969034163,819003.755369,526513.051536,20.5856526905
1330,1330,-4.04166666667,8.79322324497,1173329.16672,754374.829097,20.4263043873
1331,1331,-3.9,8.92587573398,1158671.8247,744829.894619,19.8681290649
1332,1332,-3.85,5.81425290277,755913.511863,485844.760729,19.8954751225
1333,1333,-3.8,8.72856952152,1133700.88146,728747.370869,19.8785469201
1334,1334,-3.75,1.8210621299,237134.688526,152293.366192,19.9116354617
1335,1335,-3.7,3.89590345061,521649.94813,334555.054451,20.4460830088
1336,1336,-3.65,3.62028341004,495899.541619,318917.163673,20.9742303066
1337,1337,-3.6,5.89930857496,823592.668909,529442.823999,21.3682355544
1338,1338,-3.55,3.24670308749,458904.799027,295048.735426,21.6372415395
1339,1339,-3.5,7.42428149048,1046810.89527,672405.719743,21.5639183595
1340,1340,-3.45,8.56032685023,1186731.56061,762955.54426,21.2206946236
1341,1341,-3.4,8.81354899609,1191159.20786,765793.950379,20.6876813221
1342,1342,-3.35,7.20866959193,959785.601373,616986.336112,20.3784494108
1343,1343,-3.3,8.74632967848,1151807.12022,740452.422164,20.156820316
1344,1344,-3.39166666667,8.41388222507,1087307.95551,698915.334888,19.7778396009
1345,1345,-3.48333333333,3.33436085844,433749.603627,278828.084459,19.9101542921
1346,1346,-3.575,8.81318004881,1151845.96546,740502.84798,20.00528764
1347,1347,-3.66666666667,8.59777848466,1102038.61276,708401.532079,19.6175130295
1348,1348,-3.75833333333,8.74404742066,1100237.98699,707174.743243,19.2559498785
1349,1349,-3.85,8.91794100487,1104723.45233,710035.336446,18.9568458005
1350,1350,-3.94166666667,9.02644118625,1108296.9874,712346.052177,18.7899305385
1351,1351,-4.03333333333,3.65279303735,454885.504937,292321.083476,19.05398342
1352,1352,-4.125,9.74665010168,1223905.69842,786653.41504,19.2166980653
1353,1353,-4.21666666667,9.78819351148,1207458.73664,776054.821061,18.877329834
1354,1354,-4.30833333333,9.40439042023,1145506.16761,736234.27783,18.639578733
1355,1355,-4.4,3.7688167863,466198.401115,299641.960826,18.9298997674
1356,1356,-4.45,10.1764944826,1269370.94216,817943.91798,19.1370960042
1357,1357,-4.5,10.419546335,1253369.35381,824809.674141,18.8475821724
1358,1358,-4.55,7.54232322401,937816.117407,601940.775012,19.0020008277
1359,1359,-4.6,10.0256242545,1189127.64607,794788.585394,18.8751715276
1360,1360,-4.65,10.5853723635,1226550.59536,827958.687806,18.6231541166
1361,1361,-4.7,10.6887227701,1214263.7502,826683.648007,18.4146828611
1362,1362,-4.75,10.0865329964,1127990.98196,772766.303827,18.2413498442
1363,1363,-4.8,5.04237653256,608021.24283,394795.209749,18.6417771178
1364,1364,-4.85,10.6746093745,1227819.01697,848760.048923,18.9314399098
1365,1365,-4.9,7.01121336344,835910.988335,563839.946578,19.1475568306
1366,1366,-4.95,10.8672050747,1240821.14372,875057.109995,19.1720805413
1367,1367,-5.0,10.4080316227,1156122.41531,822043.515931,18.8051548789
1368,1368,-5.05,11.2775098531,1210822.79222,876905.581987,18.5135766716
1369,1369,-5.1,11.2066137642,1184476.15605,861967.831115,18.3133317788
1370,1370,-5.15,11.4528016648,1196334.76963,873499.935085,18.1594147097
1371,1371,-5.2,11.5276129243,1189916.04137,872874.700596,18.0286509471
1372,1372,-5.25,11.1392718758,1140961.96689,839111.635788,17.9355066416
1373,1373,-5.3,11.4856347106,1168720.60065,862045.587321,17.8700572091
1374,1374,-5.35,7.01378570796,728196.811347,540863.389255,18.3605548849
1375,1375,-5.4,11.8184108294,1239902.17249,926537.407181,18.6661428301
1376,1376,-5.45,11.8934033302,1225273.94656,918197.16994,18.3814815428
1377,1377,-5.5,11.6468133936,1182886.59923,889404.030666,18.1820432154
1378,1378,-5.55,11.9401331649,1202002.62008,903724.470591,18.0209458325
1379,1379,-5.6,12.1045815819,1207711.382,909844.270331,17.8964953648
1380,1380,-5.69166666667,11.5437425271,1141589.14553,862609.785895,17.7917414455
1381,1381,-5.78333333333,11.8288174499,1161611.02978,880560.084449,17.7242707356
1382,1382,-5.875,12.4420468822,1214086.2403,922070.29327,17.6450505368
1383,1383,-5.96666666667,11.9840068693,1160962.45477,883984.765962,17.5627872731
1384,1384,-6.05833333333,12.4042519324,1194854.70109,912302.710961,17.5113285642
1385,1385,-6.15,12.7834078169,1224186.4332,936413.410747,17.4410123796
1386,1386,-6.24166666667,10.3833221223,1015466.20341,774039.747961,17.7491534901
1387,1387,-6.33333333333,13.0097808872,1254089.38827,965389.478051,17.6678331191
1388,1388,-6.425,13.1282842202,1249253.95644,963505.4789,17.4741849397
1389,1389,-6.51666666667,13.0051792165,1224806.53228,947386.612265,17.3444930869
1390,1390,-6.60833333333,13.3554217129,1248378.42116,965604.351011,17.2144169463
1391,1391,-6.7,13.4714918187,1247080.2172,967195.645566,17.0942224228
1392,1392,-6.79166666667,13.6156666352,1250291.1061,971683.520365,16.9916923888
1393,1393,-6.88333333333,13.7438468982,1253741.00605,975756.456902,16.903780117
1394,1394,-6.975,11.1516594986,1040736.56771,809217.653784,17.2773271972
1395,1395,-7.06666666667,13.1762031332,1216291.61845,954042.715682,17.2396421979
1396,1396,-7.15833333333,13.9973611555,1274621.47517,1003043.32194,17.0617758522
1397,1397,-7.25,14.2472154673,1286578.91433,1011108.54894,16.8973460992
1398,1398,-7.34166666667,14.3311222934,1280073.06194,1008313.94807,16.7519852684
1399,1399,-7.43333333333,14.3659201677,1274183.93439,1005212.07674,16.6599985211
1400,1400,-7.525,14.2318800455,1253060.05183,992204.991561,16.5993026185
1401,1401,-7.61666666667,14.7683114888,1296680.80203,1025056.8829,16.5260031778
1402,1402,-7.70833333333,14.8996656463,1298317.54231,1027609.20223,16.4210971898
1403,1403,-7.8,15.0314307174,1300343.28898,1030995.69103,16.3307917353
