,p0,m0
8021,17772.133159999998,17.50234872
8022,22341.93758,19.1799816
8023,19173.70295,18.05568042
8024,20288.615469999997,18.47213283
8025,20297.65533,18.47606877
8026,20446.630719999997,18.53009643
8027,22004.94212,19.08026118
8028,16232.68886,16.78974378
8029,18885.99968,17.94220763
8030,20414.71653,18.51590291
8031,20350.05903,18.49521653
8032,18586.661969999997,17.826815399999997
8033,19593.766180000002,18.21390224
8034,20020.34934,18.32878656
8035,19477.2184,18.17111426
8036,25168.22444,20.11124861
8037,16402.171580000002,16.91989217
8038,23114.800880000003,19.44325652
8039,16955.24598,17.15897016
8040,24103.01601,19.76165513
8041,16978.04054,17.13944881
8042,20221.06107,18.43680289
8043,19111.63393,18.01098732
8044,16891.46223,17.131158600000003
8045,21160.92291,18.78312156
8046,15252.963580000001,16.36754472
8047,19188.748880000003,18.0560924
8048,15022.386690000001,16.29392236
8049,14979.2815,16.27770567
8050,17517.24126,17.39314287
8051,19779.499219999998,18.26971126
8052,15828.58315,16.67444211
8053,12374.58332,14.96701206
8054,19547.613859999998,18.12914494
8055,12454.84167,15.00849559
8056,17323.92327,17.261761899999996
8057,14504.98671,16.061413199999997
8058,14593.5915,16.10465983
8059,19087.71084,18.016254800000002
8060,18266.9957,17.69485654
8061,14860.848030000001,16.23229685
8062,13704.6143,15.65455327
8063,16307.270569999999,16.87433241
8064,14008.94125,15.81955878
8065,14196.62054,15.88853898
8066,14548.066669999998,16.03566563
8067,12524.93396,15.04949528
8068,16879.7236,17.04262355
8069,12728.440540000001,15.15529644
8070,14894.534,16.23638864
8071,15366.56954,16.45445255
8072,13465.387209999999,15.54297812
8073,13036.24827,15.32110054
8074,13711.81104,15.67184523
8075,13177.49034,15.39431523
8076,14286.737630000001,15.93037051
8077,11768.680409999999,14.63324428
8078,12831.93258,15.21390137
8079,12110.82546,14.82577427
8080,14896.28514,16.16026033
8081,12040.99708,14.78575821
8082,12909.127779999999,15.25405504
8083,12312.31863,14.935089699999999
8084,12075.84999,14.80635343
8085,11822.837,14.66398331
8086,13219.58707,15.39274841
8087,13174.985859999999,15.35135328
8088,15453.72053,16.38912638
8089,13371.13292,15.49681606
8090,12182.78733,14.86343484
8091,11772.89255,14.63566479
8092,12552.57342,15.07012925
8093,11707.17447,14.59802732
8094,12566.812409999999,15.06730503
8095,12873.900679999999,15.21653822
8096,13695.5332,15.6036234
8097,12095.38529,14.81546884
8098,13276.4357,15.444556200000001
8099,12230.936529999999,14.88695526
