,tout,m,gas,q,dt
8372,-16.55,0.16101550769601308,16180.2186065982,10393.163895844207,15.368475172066496
8373,-16.6,0.16789799656795942,17011.4886013786,10927.434518527687,15.496135609967595
8374,-16.65,0.17507690316699315,17888.8923223628,11491.253331442917,15.627490825291304
8375,-16.7,0.1913115355787122,19721.9887898857,12669.17877414275,15.767324890137502
8376,-16.7416666666667,0.20230107074783743,21052.187501815,13524.030013523941,15.916906095325501
8377,-16.783333333333303,0.21303599626322708,22386.445118078398,14381.583376752218,16.073276715374504
8378,-16.825,0.2235765701538135,23731.0851202846,15245.880715293928,16.2359213059857
8379,-16.8666666666667,0.2341522452950623,25110.806585413502,16132.801301349178,16.4044686487954
8380,-16.908333333333303,0.24440809256211832,26487.962534822003,17018.167207749895,16.578602331851798
8381,-16.95,0.2547505769622464,27906.2857896305,17930.030951296372,16.7577833946832
8382,-16.9916666666667,0.264978266506003,29344.6617082405,18854.817405143825,16.9419262134778
8383,-17.033333333333303,0.2748648701736381,30777.6879532987,19776.18792984479,17.130658315113294
8384,-17.075,0.2849598701247946,32266.609446244904,20733.451302726306,17.323618312630302
8385,-17.1166666666667,0.2945788348339557,33734.004003854505,21677.02968935096,17.52059868114
8386,-17.158333333333303,0.3045632574044268,35275.7174283572,22668.406017380727,17.721243113645997
8387,-17.2,0.32298502426960063,37842.1069516253,24318.22626005835,17.926694541135802
8388,-17.2,0.32213841675009025,38180.1734697452,24536.344068487706,18.135020162793502
8389,-17.2,0.33094270117714175,39675.1104346918,25497.73934652789,18.344233908190496
8390,-17.2,0.33924619510861276,41138.1879178812,26438.78944389099,18.55569777452539
8391,-17.2,0.34685789310087467,42543.5240036465,27342.745833722314,18.7690051428767
8392,-17.2,0.3549331325481884,44031.2942906425,28299.841419905213,18.984019419531094
8393,-17.2,0.3626615163668518,45501.7899621503,29245.827835784305,19.2005272895006
8394,-17.2,0.37037415941818674,46995.192000612595,30206.64134182939,19.4183564901995
8395,-17.2,0.3778342963330906,48480.7634910498,31162.556323038443,19.6373286898474
8396,-17.2,0.3856462672493455,50035.7621749935,32163.060197370745,19.8572425715018
8397,-17.2,0.39249834984107257,51488.9935849688,33098.236996340325,20.0778745219367
8398,-17.2,0.40022720459268357,53079.6950506587,34121.90689676113,20.299128728933
8399,-17.2,0.4112397144832927,55137.3985640772,35445.82190073201,20.5220485952824
8400,-17.2,6.902086957180951,715290.27590039,591452.8724884964,20.40283082072
8401,-17.2,2.576338027743546,284318.342824326,221392.22038716942,20.460216345012796
8402,-17.2,2.2488127147018075,257305.854349025,197044.25825846163,20.862252902891903
8403,-17.2,2.451779404812333,281274.68334019696,218827.88667187252,21.2506384859715
8404,-17.2,2.398291799130237,279317.276830871,217036.9689941494,21.5467812660959
8405,-17.2,2.356137337270356,278227.534725341,216070.87230170472,21.8346549550974
8406,-17.2,2.3227569910744505,277871.120686809,215723.6878452159,22.1128525358696
8407,-17.2,2.2979385080756827,278213.861848159,216004.3656180052,22.380760268688604
8408,-17.2,2.275773320251575,278639.407370651,216382.1172949818,22.638261587144896
8409,-17.2,2.2579257584360235,279373.721375615,217028.73678391287,22.885388753378102
8410,-17.2,2.244361749029502,280417.794479459,217955.8118329776,23.122048366335605
8411,-17.2,2.232089516367915,281369.593677647,218888.0655914671,23.3486182839166
8412,-17.0666666666667,11.72669717123881,1221753.29272769,1123414.024522776,22.809451437384006
