,z0,z1,z2,z3,z4,z5,z6,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp6,sp,m,rh
10,21.2077667199,22.788599849,20.02576991,21.3619904015,23.233433239,22.3108394119,24.0003784049,2.79166666667,0.0,80924.9755838,23.1429883707,22.0797773735,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.48948895017,0.0
11,21.2020129786,22.7792940402,20.0339811281,21.3556680122,23.2321058466,22.3201687565,24.0004623796,3.3,0.0,80924.9755838,23.1433435094,22.0776841001,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.48701335103,0.0
12,21.1969978806,22.7718018889,20.139808193,21.3502576647,23.2317551193,22.328046852,24.0951392413,3.20833333333,0.0,80924.9755838,23.1688221062,22.076429344,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.43098917423,274.184143015
13,21.1917794274,22.7634575721,20.1496516314,21.3445611747,23.2286971008,22.3268565985,24.1297055054,3.11666666667,0.0,80924.9755838,23.1787479768,22.0747840347,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.43907140714,0.0
14,21.1866603343,22.7552606359,20.1497502815,21.3389664397,23.2244384201,22.3219931462,24.1424965821,3.025,0.0,80924.9755838,23.1777410226,22.0730952186,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42705965668,134.296310816
15,21.1820152973,22.748330635,20.1514767139,21.3339520861,23.2207833785,22.3184670032,24.1471800786,2.93333333333,0.0,80924.9755838,23.1769176472,22.0718519398,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42862325898,117.828193609
16,21.1775697046,22.7418631814,20.15025931,21.3291718446,23.217028379,22.3148370813,24.1488620318,2.84166666667,0.0,80924.9755838,23.174434268,22.0707407686,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42615618057,112.32043936
17,21.1732967652,22.7357748253,20.1502736718,21.3245946535,23.2132619666,22.3109506869,24.1494673256,2.75,0.0,80924.9755838,23.171985595,22.0697429497,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42591635544,123.345934765
18,21.1691714702,22.729992303,20.1511176165,21.3201903339,23.2094958163,22.3066091138,24.1496745467,2.65833333333,0.0,80924.9755838,23.1693211125,22.0688326095,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42518742457,128.824748145
19,21.1651715961,22.7244536003,20.1496045048,21.3159313242,23.2057056281,22.3017405722,24.1497385135,2.56666666667,0.0,80924.9755838,23.1664303848,22.0679841468,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42436727475,128.825448906
20,21.1612973133,22.7191608287,20.1490185024,21.3118182275,23.2019268546,22.296488693,24.1497521208,2.475,0.0,80924.9755838,23.1635399544,22.0672008776,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6.42368554679,139.711984382
