,t1,t18
249,22.7115491496,21.9128156719
250,22.7103096005,21.9108153288
251,22.7119547836,21.9088557491
252,22.7133112605,21.9069444164
253,22.7146992212,21.9050700793
254,22.7159225339,21.9032170543
255,22.7173488218,21.9013833005
256,22.7188600533,21.8995674865
257,22.7204996903,21.8977690837
258,22.7221768339,21.8959878251
259,22.7240699827,21.8942229709
260,22.7977964098,21.9118031705
261,22.8158647935,21.9376924518
262,22.8306928805,21.9609474371
263,22.8397184267,21.9778675159
264,22.8452540035,21.9891815365
265,22.848971342,21.9967649471
266,22.8520552152,22.0021075488
267,22.8547863342,22.0060647515
268,22.8570030221,22.009065052
269,22.8589594098,22.0113448946
270,22.8606853573,22.0130686162
271,22.8621534857,22.0143564287
272,22.8337607011,22.0217828875
273,22.7539905244,22.0373736809
274,22.7156696029,22.0525990522
275,22.7046649095,22.0646651027
276,22.7060525759,22.0736380609
277,22.7098472943,22.0804820754
278,22.7127405331,22.0859919323
279,22.7147004326,22.0906311235
280,22.7164093699,22.0946324866
281,22.7183305697,22.0981044306
282,22.7204412284,22.1011596893
283,22.7226474491,22.1038513141
284,22.7210127699,22.0806661038
285,22.6114102102,22.0445662449
286,22.5344975134,22.016619418
287,22.5017185983,22.0000757265
288,22.4926562275,21.9916309107
289,22.4898229376,21.9874935802
290,22.4865392728,21.9853519998
291,22.482098944,21.9841849563
292,22.4779472672,21.9836202441
293,22.4748799145,21.9835019042
294,22.4724552897,21.9837185802
295,22.4701983465,21.9841698969
296,22.4753276261,21.9663061603
297,22.4836356347,21.9398204408
298,22.461497321,21.9157734307
299,22.4527592143,21.8983770705
300,22.4465423931,21.8869247153
301,22.441896926,21.8793618607
302,22.4381598479,21.8740012678
303,22.4351381828,21.8698893285
304,22.4330292458,21.866575162
305,22.4311685681,21.8638396523
306,22.4297947914,21.8615637441
307,22.4287855722,21.8596420198
308,22.4494940814,21.8315513642
309,22.4297841617,21.7912314567
310,22.3723560134,21.7553083473
311,22.3489946061,21.7298747642
312,22.3357700999,21.7133692728
313,22.3289174424,21.7024943975
314,22.3238549659,21.6947001089
315,22.3198011592,21.6886005277
316,22.3163093948,21.6835764369
317,22.3134157725,21.6793322268
318,22.3111283618,21.6756858583
319,22.3095176898,21.6725025615
320,22.0529739592,21.6445249677
321,21.9475290894,21.6023666244
322,21.9311546574,21.5624309304
323,21.9074844587,21.5325957191
324,21.8914166288,21.5124210132
325,21.879624254,21.4985758049
326,21.8699641075,21.488181173
327,21.8606605545,21.4796171443
328,21.85233259,21.4721699793
329,21.8442276787,21.4655444858
330,21.8372459291,21.4595779852
331,21.8304570802,21.4541592328
332,21.8036683327,21.449266137
333,21.7690748707,21.4445902504
334,21.7619993337,21.4401704859
335,21.7560791204,21.4359681412
336,21.7533967542,21.4319555571
337,21.7514955664,21.4281081666
338,21.7495882283,21.4244037752
339,21.7477202463,21.420802667
340,21.7460835251,21.4173147073
341,21.7448330296,21.4139350528
342,21.7439052706,21.4106645454
343,21.7434694209,21.4074804777
344,21.7535499847,21.4043731441
345,21.7650956483,21.4013320886
346,21.7609826405,21.3983120007
347,21.7591934757,21.3953577562
348,21.7572375186,21.3924705913
349,21.7552125256,21.3896334334
350,21.7531658316,21.386836894
351,21.7514234599,21.3840752332
352,21.7506603239,21.3813374199
353,21.7509981486,21.3786251852
354,21.7523638765,21.3759455591
355,21.7542835771,21.3732995244
356,21.701593439,21.3723209746
357,21.6551217563,21.3709334883
358,21.6701143987,21.3680976226
359,21.6695988247,21.3645610307
360,21.6744770661,21.3613420263
361,21.6807872429,21.3584759342
362,21.6867578901,21.3558379872
363,21.6913405675,21.3533224673
364,21.6946639645,21.3508595954
365,21.6972312016,21.3484215743
366,21.6994053888,21.3460087803
367,21.7012995986,21.3436213383
368,21.7456104433,21.3427743995
369,21.7788236053,21.3408828768
370,21.7626192021,21.3380776686
371,21.764727078,21.334997021
372,21.7663703012,21.332392132
373,21.7655259915,21.3299478174
374,21.7639954207,21.3276336334
375,21.7604807862,21.3253728054
376,21.7555084405,21.3231190947
377,21.7494255578,21.3208811358
378,21.7423517527,21.3186476082
379,21.7347186256,21.316439633
380,21.7571646249,21.3283962922
381,21.7837221403,21.3465668117
382,21.8068263958,21.3605315991
383,21.817172103,21.3690386111
384,21.8162174542,21.3733438601
385,21.8119488154,21.3752519818
386,21.8071402822,21.3759657141
387,21.8028629505,21.3760776102
388,21.7987785509,21.3758178614
389,21.7947451768,21.3752719513
390,21.7905561426,21.374504634
391,21.7864686047,21.3735716761
392,21.8562162531,21.4019271564
393,21.9377598078,21.4414478639
394,22.0009317373,21.4743169734
395,22.0339020904,21.4969261742
396,22.0464429931,21.5110396755
397,22.052051384,21.5198143153
398,22.0563443734,21.5255882961
399,22.0607419616,21.5296448158
400,22.0650262696,21.5326024716
401,22.0689932312,21.5347590859
402,22.0723792383,21.5363095283
403,22.0750928827,21.5373959872
404,21.9856925908,21.5272401634
405,21.9242692579,21.5152409206
406,21.8912714626,21.5027847361
407,21.8677462961,21.492109815
408,21.8548736614,21.4844697553
409,21.8475899384,21.479424494
410,21.8429011573,21.4760415175
411,21.8389253257,21.4735511687
412,21.8350345483,21.4715064709
413,21.8310821177,21.4696770217
414,21.8271209307,21.4679552289
415,21.8231663181,21.4662865949
416,22.2251222066,21.5404179657
417,22.3601109378,21.6502195518
418,22.4147260523,21.7495334742
419,22.4607981643,21.8243451133
420,22.4837720881,21.8758301386
421,22.5021426195,21.9119875791
422,22.5170765048,21.9392031664
423,22.5302619633,21.961073877
424,22.5419462353,21.9794404536
425,22.5523162705,21.994923319
426,22.56153028,22.0079260987
427,22.569803299,22.0188791179
