,Unnamed: 0,tout,s,i,t1,t2,m,tret
130,130,2.75,868.916666667,0.0,22.8541918117,23.2962014294,44.5291153888,22.850908387
131,131,2.8,870.5,0.0,22.8661715058,23.2973166023,44.9919677843,22.8628824438
132,132,2.84166666667,872.083333333,0.0,22.8719285809,23.5265842592,43.6461148074,22.8640130034
133,133,2.88333333333,873.666666667,0.0,22.9070570292,23.566051634,45.1149394292,22.8820026609
134,134,2.925,875.25,0.0,22.9466755373,23.543919627,43.9847134557,22.9070570292
135,135,2.96666666667,876.833333333,0.0,22.9758937102,23.5460444253,44.5640597792,22.9466755373
136,136,3.00833333333,878.416666667,0.0,22.9941369318,23.5480882586,44.9322423955,22.9758937102
137,137,3.05,880.0,0.0,23.0061978232,23.55045835,45.2707423446,22.9941369318
138,138,3.09166666667,883.75,0.0,23.0159835908,23.5535153522,45.6350973384,23.0061978232
139,139,3.13333333333,887.5,0.0,23.0251745372,23.5557531947,45.967755095,23.0159835908
140,140,3.175,891.25,0.0,23.0340382079,23.5576109369,46.2822813982,23.0251745372
141,141,3.21666666667,895.0,0.0,23.042491826,23.5592549243,46.5910042251,23.0340382079
142,142,3.25833333333,898.75,0.0,23.0505135551,23.5617427164,46.8928897271,23.042491826
143,143,3.3,902.5,0.0,23.0582830145,23.5631082573,47.1872445314,23.0505135551
144,144,3.39166666667,906.25,0.0,23.0579918203,23.4650164858,48.8000771837,23.0588757976
145,145,3.48333333333,910.0,0.0,23.0502015296,23.4542415475,48.720354454,23.0521796646
146,146,3.575,913.75,0.0,23.047164006,23.4485486373,48.9391806182,23.0478753481
147,147,3.66666666667,917.5,0.0,23.0474725833,23.4456595179,49.20258781,23.0473062794
148,148,3.75833333333,921.25,0.0,23.0499619758,23.4440834155,49.4555803595,23.0492253915
149,149,3.85,925.0,0.0,23.0538578905,23.4433460094,49.7016262153,23.0527545762
150,150,3.94166666667,920.416666667,0.0,23.0583863635,23.4422073101,49.7710746622,23.0571376621
151,151,4.03333333333,915.833333333,0.0,23.0630678546,23.441104858,49.791348847,23.0617815234
152,152,4.125,911.25,0.0,23.067814763,23.4401048856,49.7967383452,23.0665107654
153,153,4.21666666667,906.666666667,0.0,23.0725978495,23.4392067656,49.7858309886,23.0712842866
154,154,4.30833333333,902.083333333,0.0,23.0753696273,23.4387246236,49.7415119782,23.0741312474
155,155,4.4,897.5,0.0,23.0811529585,23.438185007,49.6622876922,23.0792212654
