,Unnamed: 0,z0,z1,z2,z3,z4,tout,s,i,t1,t2,t3,sp0,sp1,sp2,sp3,sp4,sp,m,rh
69,69,23.0745812669,24.2514542802,24.2510840997,24.2491992893,21.4747403921,1.7,0.0,10247.0590484,22.8127817572,22.8313166322,22.853204379,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,88916.4370987
70,70,23.0743051593,24.2486678404,24.2490625231,24.2494591919,21.4773154082,1.7,0.0,10247.0590484,22.813041176,22.8338558477,22.8526615396,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,88781.2205305
71,71,23.0740227068,24.2502112349,24.2490115163,24.2496691168,21.4799201523,1.7,0.0,10247.0590484,22.8135156382,22.836369002,22.8521215075,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,88773.6574327
72,72,23.078811025,24.1544183086,24.1550650203,24.1547954403,21.4835943451,1.74166666667,0.0,11385.9571778,22.808722403,22.8374510365,22.8584366551,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,86390.4793249
73,73,23.0853721562,24.1512132559,24.1511866629,24.1505895612,21.484621889,1.78333333333,0.0,11385.9571778,22.8130367126,22.8357360632,22.8671378287,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,88798.4258715
74,74,23.0898774204,24.1488933523,24.1503936072,24.1491494352,21.4834215044,1.825,0.0,11385.9571778,22.815648101,22.8343874716,22.8742985866,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,87642.0037725
75,75,23.0917448395,24.14891454,24.1480539905,24.1503996547,21.481675666,1.86666666667,0.0,11385.9571778,22.8164672389,22.8341286719,22.8788386759,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,87958.3382893
76,76,23.0920669035,24.1505816442,24.1487253513,24.1508224289,21.4800958068,1.90833333333,0.0,11385.9571778,22.8164087519,22.8339689371,22.881309178,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,88013.1405431
77,77,23.0918956527,24.1498465719,24.1491583558,24.1492917279,21.4786299735,1.95,0.0,11385.9571778,22.8158965918,22.8331891457,22.8825745873,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,88013.2010469
78,78,23.0917078558,24.1488904485,24.1522069499,24.1503177737,21.4771383932,1.99166666667,0.0,11385.9571778,22.8155085744,22.8317555545,22.8832416807,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,88101.8991298
79,79,23.0915788052,24.1493061088,24.1493444088,24.1513117077,21.4756038452,2.03333333333,0.0,11385.9571778,22.8150223102,22.8300229709,22.8836120354,24.15,24.15,24.15,24.15,24.15,24.15,13.6657285421,88100.8430581
