,t4,t5,t6
180,23.24982994,23.5906895964,23.8626862298
181,23.2500108217,23.5871059481,23.8883554445
182,23.2500544621,23.5851515832,23.9024571258
183,23.2500014982,23.5836582195,23.9107799691
184,23.2498273577,23.5823263973,23.9159558414
185,23.2500800986,23.5811300721,23.9190839541
186,23.2499725535,23.5801243244,23.9207208518
187,23.2499440537,23.5792411171,23.921261932
188,23.5336343008,23.5880907984,23.9176295265
189,23.5489954819,23.6269050398,23.9117721353
190,23.5497720053,23.6728868284,23.906009682
191,23.5498244471,23.7058772538,23.9012320847
192,23.5500961535,23.7240995607,23.8973719221
193,23.5499385048,23.733419329,23.8940755078
194,23.5500446216,23.739032796,23.8910553725
195,23.5499424882,23.7434522513,23.8881626209
196,23.5500291425,23.7473614496,23.8853404968
197,23.5497545314,23.7508649577,23.8825705365
198,23.5498821467,23.753969912,23.8798435869
199,23.5497634588,23.756810892,23.8771511358
200,23.274745493,23.7457289484,23.8684467672
201,23.2509137562,23.7139806368,23.8577408421
202,23.2499043739,23.6657628856,23.8484693572
203,23.2498853145,23.6280944869,23.841528459
204,23.2499178141,23.606528851,23.8363950254
205,23.2498582379,23.595664582,23.832305207
206,23.2498611743,23.5892553576,23.8287219073
207,23.2498137262,23.5839724371,23.8253763619
208,23.2500175657,23.5788880799,23.8221639781
209,23.2502371,23.5740380342,23.8190468972
210,23.2499189302,23.5695147856,23.8160047595
211,23.2500053094,23.5652079472,23.8130203517
212,23.5452816611,23.5475604441,23.8119142619
213,23.659775701,23.5926330139,23.8096317859
214,23.6599216111,23.6563081413,23.8063045185
215,23.6600397763,23.7039515915,23.8027111686
216,23.6601906772,23.729696335,23.799301977
217,23.6598066952,23.7409709358,23.7961745892
218,23.6602618231,23.7456705155,23.7932566011
219,23.659875952,23.7481293413,23.7904847035
220,23.6603718399,23.7497083259,23.7877982643
221,23.6598946211,23.7507298793,23.7851534506
222,23.6597141543,23.7511548238,23.7825314458
223,23.6601049781,23.7510796267,23.7799279448
224,23.7514409992,23.7451528559,23.7789464834
225,23.9832187927,23.7621256904,23.7769002125
226,23.9897454925,23.8052955707,23.7739091466
227,23.9898070725,23.8469567745,23.770692709
228,23.990116478,23.8747599779,23.7676459084
229,23.9906343436,23.8899947561,23.7648481783
230,23.9901402973,23.8980783343,23.7622356912
231,23.9902009459,23.9030133736,23.7597296581
232,23.9892994809,23.9067206447,23.7572824681
233,23.9902671412,23.9097001243,23.75487436
234,23.9901821886,23.9122814225,23.7524988253
235,23.9902279277,23.9145074321,23.7501531326
