,Unnamed: 0,t1,w1,i,s,tout,hsp,m0,csp0
71,71,22.556801693773604,22.889778077131897,0.0,101.0,16.1,21.0,33.6002108693858,0.0
72,72,22.5586986865418,22.912540719903284,0.0,110.166666666667,16.1,21.0,33.6002108693858,0.0
73,73,22.562069420717894,22.929921952812897,0.0,119.333333333333,16.1,21.0,33.6002108693858,0.0
74,74,22.566830983212103,22.94407786178582,0.0,128.5,16.1,21.0,33.6002108693858,0.0
75,75,22.5727214765261,22.956858764599247,0.0,137.666666666667,16.1,21.0,33.6002108693858,0.0
76,76,22.5778130796991,22.968784391113285,0.0,146.833333333333,16.1,21.0,33.6002108693858,0.0
77,77,22.584508098336002,22.97912852506357,0.0,156.0,16.1,21.0,33.6002108693858,0.0
78,78,22.590687757922396,22.98907452209624,0.0,161.58333333333334,16.1,21.0,33.6002108693858,0.0
79,79,22.596532858020396,22.9978983277668,0.0,167.16666666666666,16.1,21.0,33.6002108693858,0.0
80,80,22.601719691639104,23.00596440140676,0.0,172.75,16.1,21.0,33.6002108693858,0.0
81,81,22.61304275939811,23.013321835990592,0.0,178.33333333333337,16.1,21.0,33.6002108693858,0.0
82,82,22.617610716863602,23.02157243546718,0.0,183.91666666666663,16.1,21.0,33.6002108693858,0.0
83,83,22.62237055435,23.029175216113643,0.0,189.5,16.1,21.0,33.6002108693858,0.0
84,84,22.605159574362105,23.118881506024362,0.0,195.08333333333331,16.15,21.0,57.84046768023421,0.0
85,85,22.6301422503829,23.16572475372548,0.0,200.66666666666663,16.2,21.0,33.6002108693858,0.0
86,86,22.661604077129894,23.229830847970838,0.0,206.25,16.25,21.0,33.6002108693858,0.0
87,87,22.698995531944604,23.278826877614037,0.0,211.83333333333331,16.3,21.0,33.6002108693858,0.0
88,88,22.7326967199755,23.325456164306512,0.0,217.41666666666663,16.35,21.0,51.8776481937523,0.0
89,89,22.7597684003907,23.348157970159587,0.0,223.0,16.4,21.0,33.6002108693858,0.0
90,90,22.783124918024,23.383323523043014,0.0,229.583333333333,16.45,21.0,57.460851581894296,0.0
91,91,22.809586672574802,23.391952679673306,0.0,236.166666666667,16.5,21.0,33.6002108693858,0.0
92,92,22.845066605303696,23.428360881468958,0.0,242.75,16.55,21.0,33.6002108693858,0.0
93,93,22.8776523618115,23.463980227982898,0.0,249.333333333333,16.6,21.0,33.6002108693858,0.0
94,94,22.8962892968639,23.496646597565714,0.0,255.916666666667,16.65,21.0,72.2505479212779,0.0
95,95,22.9044298109304,23.483527555784374,0.0,262.5,16.7,21.0,48.260975448265704,0.0
96,96,22.9229945953512,23.503848354593124,0.0,269.08333333333303,16.7416666666667,21.0,38.1666043887146,0.0
97,97,22.9507209047012,23.532932031383176,0.0,275.66666666666697,16.783333333333303,21.0,33.6002108693858,0.0
98,98,22.97996377119,23.566231037106704,0.0,282.25,16.825,21.0,34.5830645938933,0.0
99,99,23.0404498150454,23.598819963706628,0.0,288.83333333333303,16.8666666666667,21.0,37.2283024325181,0.0
100,100,23.066167407348104,23.63254600938133,0.0,295.41666666666697,16.908333333333303,21.0,33.6002108693858,0.0
101,101,23.095563957062602,23.664648345308226,0.0,302.0,16.95,21.0,71.64817889872259,0.0
102,102,23.0772470613162,23.655452861351428,0.0,306.91666666666697,16.9916666666667,21.0,55.410608433427704,0.0
103,103,23.091374903549,23.661381350672265,0.0,311.83333333333303,17.033333333333303,21.0,33.6002108693858,0.0
104,104,23.102942138278,23.68995909432721,0.0,316.75,17.075,21.0,35.4452092235854,0.0
105,105,23.1311878844727,23.713255677665014,0.0,321.66666666666697,17.1166666666667,21.0,38.6516290367759,0.0
106,106,23.1722636257124,23.740680272268783,0.0,326.58333333333303,17.158333333333303,21.0,35.912683020603396,0.0
107,107,23.20165069479,23.772033524357795,0.0,331.5,17.2,21.0,48.6590985921539,0.0
108,108,23.2153933682873,23.78818256316192,0.0,336.41666666666697,17.25,21.0,40.86006267269449,0.0
109,109,23.2352777783662,23.80974230827263,0.0,341.33333333333303,17.3,21.0,58.983610591862494,0.0
110,110,23.2405342992552,23.80480238158244,0.0,346.25,17.35,21.0,33.6002108693858,0.0
111,111,23.2568537109533,23.833401359288853,0.0,351.166666666667,17.4,21.0,33.6002108693858,0.0
112,112,23.270450187912502,23.857718539156178,0.0,356.083333333333,17.45,21.0,38.5728349052931,0.0
113,113,23.2916464589598,23.87859794054888,0.0,361.0,17.5,21.0,35.027837075882,0.0
114,114,23.339820509650195,23.903257776853305,0.0,367.083333333333,17.55,21.0,34.198862815906104,0.0
115,115,23.391517003492304,23.933384351730126,0.0,373.166666666667,17.6,21.0,39.881036655097105,0.0
116,116,23.3975317050653,23.95657482319028,0.0,379.25,17.65,21.0,51.872081183899404,0.0
117,117,23.388221999412604,23.962792504338776,0.0,385.333333333333,17.7,21.0,39.910818286667286,0.0
118,118,23.389623318679,23.98048671068025,0.0,391.416666666667,17.75,21.0,77.05928788147,0.0
119,119,23.3444780461243,23.949580909735843,0.0,397.5,17.8,21.0,35.121831211902496,0.0
120,120,23.296477581939,23.96598088265355,0.0,403.583333333333,17.841666666666697,21.0,80.3449264941398,0.0
121,121,23.242354024850602,23.926871636054965,0.0,409.666666666667,17.8833333333333,21.0,67.9966807108526,0.0
