,b4,b5
72,30.4669744267,-0.0383324697492
73,30.4669486103,-0.0381454019106
74,30.4669240746,-0.0383742976441
75,30.4669043824,-0.0386006503129
76,30.4668804227,-0.0388337207265
77,30.4668595794,-0.039062013467
78,30.4668448708,-0.0392854501449
79,30.4668203348,-0.0395156865311
80,30.7471299773,-0.0374779947572
81,30.7446896641,-0.0420249743881
82,30.7463776868,-0.0381533240018
83,30.7461704404,-0.038653441503
84,30.746168008,-0.0389979608793
85,30.7461387003,-0.0394215103395
86,30.7461283786,-0.0395580346941
87,30.7461105641,-0.0397032250043
88,30.7460975607,-0.0398443240145
89,30.746083882,-0.0399809132696
90,30.7460722381,-0.0401220935964
91,30.7460580025,-0.0402559376979
92,30.1331077422,-0.0569388585042
93,30.1390707075,-0.0397411754173
94,30.1355436099,-0.0482649910226
95,30.1365551748,-0.0454619747242
96,30.1365637926,-0.0453918680592
97,30.1365648793,-0.0453486990476
98,30.1365677794,-0.0454715801754
99,30.1366313793,-0.0455954740985
100,30.136689536,-0.0457307673013
101,30.1366857683,-0.0458645517871
102,30.1366774795,-0.0460017702009
103,30.1366748683,-0.0461450426434
104,30.2135799322,-0.0435570502756
105,30.2124466808,-0.0470125082986
106,30.2130263802,-0.0454965908313
107,30.2128780489,-0.0460018850584
108,30.2128955215,-0.0461342880105
109,30.2129194316,-0.0462688668179
110,30.2129079676,-0.046307423099
111,30.2129322029,-0.0463516233897
112,30.2129434132,-0.0463963068075
113,30.2129290959,-0.0464346249317
114,30.2129165538,-0.0464774868992
115,30.2129087025,-0.0465224531391
116,30.1224339278,-0.0418805400821
117,30.123021528,-0.0418245340263
118,30.1228078338,-0.0426897996208
119,30.1228692618,-0.0426897996208
120,30.122887384,-0.0426897996208
121,30.1229001478,-0.0426897996208
122,30.1229032671,-0.0426897996208
123,30.1229134901,-0.0426897996208
124,30.1229242314,-0.0426897996208
125,30.1229263146,-0.0426897996208
126,30.1229324336,-0.0426897996208
127,30.1229338941,-0.0426897996208
128,30.4399636803,-0.0426897996208
129,30.4382268968,-0.0426897996208
130,30.4390848323,-0.0426897996208
131,30.4389228574,-0.0426897996208
132,30.4389348981,-0.0426897996208
133,30.4389399128,-0.0426897996208
134,30.4389487163,-0.0426897996208
135,30.4389698,-0.0426897996208
136,30.4389686586,-0.0426897996208
137,30.4389834126,-0.0426897996208
138,30.438987461,-0.0426897996208
139,30.4390047085,-0.0426897996208
140,30.4771591222,-0.0426897996208
141,30.4769512269,-0.0426897996208
142,30.4770606943,-0.0426897996208
143,30.4770431589,-0.0426897996208
144,30.4770493295,-0.0426897996208
145,30.4770416084,-0.0426897996208
146,30.4770565848,-0.0426897996208
147,30.4770588932,-0.0426897996208
148,30.4770574106,-0.0426897996208
149,30.4770645074,-0.0426897996208
150,30.4770656188,-0.0426897996208
151,30.4770746361,-0.0426897996208
152,30.7820164136,-0.0426897996208
153,30.7803651892,-0.0426897996208
154,30.7811586939,-0.0426897996208
155,30.7810133288,-0.0426897996208
156,30.781005708,-0.0426897996208
157,30.7810061905,-0.0426897996208
158,30.7810104464,-0.0426897996208
159,30.7810181254,-0.0426897996208
160,30.7810180244,-0.0426897996208
161,30.7810298305,-0.0426897996208
162,30.781021539,-0.0426897996208
163,30.7810373714,-0.0426897996208
164,30.2713957982,-0.051516306325
165,30.2752565703,-0.0426897996208
166,30.2738245743,-0.0426897996208
167,30.2741352519,-0.0426897996208
168,30.2741714829,-0.0426897996208
169,30.2741680815,-0.0426897996208
170,30.2741915144,-0.0426897996208
171,30.2741954621,-0.0426897996208
172,30.2742021312,-0.0426897996208
173,30.2742245571,-0.0426897996208
174,30.2742197708,-0.0426897996208
175,30.2742354872,-0.0426897996208
176,30.1089953521,-0.0426897996208
177,30.1099274058,-0.0426897996208
