,tout,q,qt,c,PLRs,PLR,hourindex
78,16.1,110694.42285,223610.378573,56814.5235868,0.0401131458066,0.0810313246918,6
79,16.1,109618.629729,221500.424196,56808.6770065,0.0397233028026,0.0802667251267,6
80,16.1,131168.068202,275796.62347,56938.8641457,0.0475323300801,0.0999424350871,6
81,16.1,108822.200521,219188.278633,56805.6586562,0.0394346949383,0.079428856066,6
82,16.1,107567.204859,216925.043954,56799.3803818,0.038979913002,0.0786087111994,6
83,16.1,107478.868177,217009.717808,56797.3594942,0.0389479017938,0.078639395082,6
84,16.15,207361.075871,458610.259142,72758.4033773,0.0751429462918,0.166189946337,7
85,16.2,116072.556368,236855.398491,56866.9407571,0.0420620592968,0.0858310192157,7
86,16.25,136289.837506,290672.498067,56997.4645568,0.0493883429991,0.105333114322,7
87,16.3,122641.334069,255225.023803,56911.4498747,0.0444424352083,0.0924877543936,7
88,16.35,203744.986373,453740.63494,72467.8327534,0.0738325575518,0.164425305079,7
89,16.4,143141.476747,308299.931985,57345.9517024,0.0518712215111,0.111720896188,7
90,16.45,218323.702697,492060.312252,76404.2622932,0.079115553375,0.178311486186,7
91,16.5,133795.287782,282798.026347,57013.5773008,0.0484843748115,0.102479584541,7
92,16.55,145512.321046,313791.084075,58149.7313885,0.0527303616613,0.113710765043,7
93,16.6,162717.433958,364848.400338,63073.1793749,0.0589651039824,0.132212777331,7
94,16.65,307326.303111,724916.063978,101629.336711,0.111368075188,0.262693124217,7
95,16.7,204470.904808,446016.847456,71486.0967516,0.0740956139126,0.161626379844,7
96,16.7416666667,176131.953676,384815.695035,65170.8453205,0.0638262213856,0.139448471622,8
97,16.7833333333,147579.69195,315686.524459,58140.5976319,0.0534795299423,0.114397629607,8
98,16.825,153558.477699,327866.46589,59356.547032,0.0556461061649,0.118811363867,8
99,16.8666666667,176223.424087,381010.515187,64756.0695048,0.0638593681861,0.138069560833,8
100,16.9083333333,159081.340471,340025.49911,60570.3150457,0.0576474662508,0.123217521466,8
101,16.95,356078.361643,854961.073758,116679.419311,0.129034714409,0.309818483421,8
102,16.9916666667,278818.948567,613984.084433,88324.7854412,0.101037657088,0.222493893257,8
103,17.0333333333,198502.514437,421682.699314,69005.974651,0.0719328047391,0.152808237002,8
104,17.075,199777.977957,425720.302868,69416.9414954,0.0723950037624,0.154271372867,8
105,17.1166666667,191593.453881,395588.937402,66344.4464463,0.0694291180463,0.143352450077,8
106,17.1583333333,184946.689118,381418.978301,64824.6880222,0.0670204813939,0.138217578592,8
107,17.2,267615.036697,579720.612429,86111.8952162,0.0969776137826,0.210077588867,8
108,17.25,228237.912831,475217.795142,74540.2029908,0.0827082380505,0.172208140352,9
109,17.3,316647.766137,543297.581063,74686.2017638,0.114745961769,0.196878709192,9
110,17.35,194834.641943,329501.817244,59545.5874295,0.070603651017,0.119403978071,9
111,17.4,182961.527987,333608.591028,59943.5394977,0.0663011040679,0.120892179657,9
112,17.45,208669.567679,379548.819739,64608.3122984,0.075617114017,0.137539875586,9
113,17.5,217203.030878,406572.971299,67363.6719528,0.0787094473499,0.147332814597,9
114,17.55,235707.890505,453086.987969,72180.3072604,0.0854151883731,0.164188438256,9
115,17.6,235807.421016,447914.059388,71650.7330046,0.0854512559707,0.162313886377,9
116,17.65,294308.077426,547000.934038,82216.8848653,0.106650565745,0.198220720235,9
117,17.7,229901.667566,462110.958611,73160.2369313,0.0833111449953,0.167458520351,9
118,17.75,483108.79078,1112570.27736,156116.814236,0.175067658027,0.403170210448,9
119,17.8,228287.200032,416682.497941,68593.686424,0.0827260986133,0.150996277541,9
120,17.8416666667,535650.769621,1065873.49226,147600.501953,0.194107678327,0.386248355658,10
121,17.8833333333,432153.071033,820033.308456,117751.602891,0.15660246201,0.297161454221,10
122,17.925,530331.01599,1156353.22746,161066.965964,0.192179920383,0.419036157583,10
123,17.9666666667,265715.001994,470917.10034,74247.2005998,0.0962890843417,0.170649666192,10
124,18.0083333333,387831.053143,643330.404126,92880.4287473,0.140541168945,0.23312833328,10
125,18.05,500889.358029,1099823.05909,152625.98689,0.181510931935,0.398550907939,10
126,18.0916666667,334313.45932,598379.713402,87848.2987172,0.121147607924,0.216839223453,10
127,18.1333333333,407412.899409,879662.421138,126149.135644,0.147637185476,0.31876969093,10
128,18.175,375527.776588,641578.814086,92579.4525622,0.136082740836,0.232493596815,10
129,18.2166666667,486359.592679,1214627.52246,169432.425467,0.176245674834,0.440153439121,10
130,18.2583333333,286977.381608,505387.980206,77845.5767716,0.103994088006,0.183141130483,10
131,18.3,519324.026128,1235149.86359,172915.13604,0.188191237142,0.447590269641,10
132,18.3,482407.979838,962733.60902,136870.80068,0.174813700051,0.348872803499,11
133,18.3,323666.60922,558015.400867,83509.7159123,0.117289431157,0.202212112959,11
134,18.3,470621.711036,1044423.21213,147959.302601,0.170542623815,0.378475261113,11
135,18.3,351119.892077,719207.875249,106925.298036,0.127237877608,0.260624606211,11
136,18.3,297254.009221,515577.537907,78903.0826749,0.107718104548,0.186833594866,11
137,18.3,279605.688232,526303.77333,80027.2072431,0.101322753682,0.190720539071,11
138,18.3,290638.630923,558154.498341,83414.4053683,0.105320841638,0.202262518725,11
