,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
28,1.74166666667,0.0,586.818269708,21.5253776717,23.9816113661,23.9810592642,23.0856480033,22.8517681342,23.98,3.17547123626,13450.911385
29,1.65,0.0,586.818269708,21.520745333,23.9818266519,23.9802814752,23.0854035971,22.8491138593,23.98,3.17547123626,13450.9020977
30,1.55833333333,0.0,586.818269708,21.5161555821,23.9811970308,23.9807259101,23.0851601973,22.8464309851,23.98,3.17547123626,13450.8917807
31,1.46666666667,0.0,586.818269708,21.5115788053,23.9799664531,23.9790400429,23.0849164269,22.8437062342,23.98,3.17547123626,13450.8805027
32,1.375,0.0,586.818269708,21.506984485,23.9783663785,23.9814063819,23.0846715326,22.8409310663,23.98,3.17547123626,13450.8683268
33,1.28333333333,0.0,586.818269708,21.5023684943,23.980242554,23.9801487039,23.0844251262,22.838169427,23.98,3.17547123626,13450.8553142
34,1.19166666667,0.0,586.818269708,21.4977362351,23.9789757711,23.9797698528,23.0841770887,22.8354181618,23.98,3.17547123626,13450.8415244
35,1.1,0.0,586.818269708,21.4930905681,23.9790783347,23.9809601123,23.0839274765,22.832640856,23.98,3.17547123626,13450.827011
36,1.1,0.0,586.818269708,21.4905715647,24.0355301477,24.0387392489,23.0836626992,22.8306204512,24.04,3.17547123626,13450.8246153
37,1.1,0.0,586.818269708,21.4895891097,24.0392789481,24.0400485091,23.083384655,22.8308562931,24.04,3.17547123626,13450.8168234
38,1.1,0.0,586.818269708,21.4889673006,24.0413284908,24.0405971895,23.0831032597,22.8317086741,24.04,3.17547123626,13450.8078498
39,1.1,0.0,586.818269708,21.4882706902,24.0418334365,24.0414527698,23.0828244032,22.8321466672,24.04,3.17547123626,13450.8018605
40,1.1,0.0,586.818269708,21.4875661154,24.0413315988,24.0396834202,23.0825528135,22.832131867,24.04,3.17547123626,13450.7910224
41,1.1,0.0,586.818269708,21.4869212854,24.0403233208,24.0399126434,23.0822803605,22.8319283548,24.04,3.17547123626,13450.7906327
42,1.1,0.0,586.818269708,21.4863422406,24.0391091884,24.0403340674,23.0820037319,22.8317313935,24.04,3.17547123626,13450.7883377
43,1.1,0.0,586.818269708,21.4858137124,24.0413583515,24.0412223829,23.0817248076,22.8315468443,24.04,3.17547123626,13450.7832795
44,1.1,0.0,586.818269708,21.485321959,24.0407321217,24.0392817679,23.081444742,22.8314267695,24.04,3.17547123626,13450.7779992
45,1.1,0.0,586.818269708,21.4848621359,24.0415132021,24.0409670243,23.0811636054,22.8313017596,24.04,3.17547123626,13450.7722173
46,1.1,0.0,586.818269708,21.4844299255,24.0391528886,24.0412639101,23.0808800071,22.8312201627,24.04,3.17547123626,13450.7675896
47,1.1,0.0,586.818269708,21.4840241788,24.0388173025,24.0411488452,23.0805935855,22.8311263602,24.04,3.17547123626,13450.7626794
48,1.15,0.0,586.818269708,21.4821686537,24.1053732998,24.1061093504,23.0803059835,22.8300570233,24.11,3.17547123626,13450.7556457
49,1.2,0.0,586.818269708,21.4793930919,24.1111073243,24.1097740153,23.0800159595,22.8296051774,24.11,3.17547123626,13450.7519585
50,1.25,0.0,586.818269708,21.4765112322,24.1084962496,24.1099341861,23.0797270199,22.828685451,24.11,3.17547123626,13450.7484251
51,1.3,0.0,586.818269708,21.4737734613,24.1112394628,24.1091391564,23.0794446996,22.826728287,24.11,3.17547123626,13450.7451152
52,1.35,0.0,586.818269708,21.4711119675,24.1105380239,24.1110769071,23.0791709049,22.8241234564,24.11,3.17547123626,13450.7419997
53,1.4,0.0,586.818269708,21.4684589759,24.1112209037,24.1102653011,23.0789033791,22.8212878826,24.11,3.17547123626,13450.7390351
54,1.45,0.0,586.818269708,21.465811264,24.1098317681,24.1086635713,23.0786384272,22.8184672569,24.11,3.17547123626,13450.7362076
55,1.5,0.0,586.818269708,21.4631843144,24.11111334,24.1099443238,23.0783731345,22.8156435898,24.11,3.17547123626,13450.7335098
56,1.55,0.0,586.818269708,21.4605842657,24.1105490927,24.1106123732,23.0781058536,22.8128399716,24.11,3.17547123626,13450.730938
57,1.6,0.0,586.818269708,21.4580098191,24.109171685,24.1089263233,23.0778359041,22.8100350534,24.11,3.17547123626,13450.7284808
58,1.65,0.0,586.818269708,21.455459306,24.1082879612,24.1091698025,23.0775631066,22.8072199511,24.11,3.17547123626,13450.7261293
59,1.7,0.0,586.818269708,21.45293248,24.1112603063,24.1089513135,23.0772874132,22.8044126216,24.11,3.17547123626,13450.7238739
60,1.7,0.0,586.818269708,21.4531775105,24.2421851378,24.2447404094,23.0770017911,22.8033185803,24.25,3.17547123626,13450.7283161
61,1.7,0.0,586.818269708,21.4552842959,24.2504587652,24.2504080711,23.0767063393,22.8072898561,24.25,3.17547123626,13450.7304159
62,1.7,0.0,586.818269708,21.4577502582,24.2488303648,24.2494583495,23.0764138357,22.8124497504,24.25,3.17547123626,13450.7329255
63,1.7,0.0,586.818269708,21.4600810661,24.2507334326,24.2497932234,23.0761359733,22.8163838812,24.25,3.17547123626,13450.7361181
64,1.7,0.0,586.818269708,21.4623755082,24.2489083336,24.2485710733,23.075873898,22.8191577244,24.25,3.17547123626,13450.7400391
65,1.7,0.0,586.818269708,21.4647456465,24.2509078922,24.2509182873,23.0756209502,22.8214511235,24.25,3.17547123626,13450.7445572
66,1.7,0.0,586.818269708,21.4671911232,24.2511489221,24.2510166143,23.0753691276,22.8237984304,24.25,3.17547123626,13450.7495635
67,1.7,0.0,586.818269708,21.4696792691,24.2495561277,24.2499517711,23.0751130988,22.8262872425,24.25,3.17547123626,13450.7550121
