,tout,s,i,t1,t2,t3,t4,t5,t6,sp0,m,rh
91,2.2,133.5,633.375677358,23.9811206387,23.9797079338,23.9798127473,23.0875387428,22.8199399407,22.8816878861,23.98,0.407139510915,6096.00018861
92,2.2,172.75,614.711812591,23.9798582472,23.9801146593,23.979372092,23.0877689877,22.8222115559,22.8813661173,23.98,0.407139510915,5778.38895499
93,2.2,212.0,596.047947824,23.9818922664,23.9794811422,23.9790653017,23.088559022,22.8247828115,22.8810429405,23.98,0.407139510915,5505.18733251
94,2.2,251.25,596.047947824,23.9816444915,23.9796280047,23.9789594388,23.0899822257,22.8275254612,22.8807248417,23.98,0.407139510915,5136.9258675
95,2.2,290.5,596.047947824,23.9807054389,23.980940977,23.9785769377,23.092039929,22.8304703887,22.8804180539,23.98,0.407139510915,4790.8240997
96,2.2,329.75,596.047947824,23.775139853,23.772603864,23.769642125,23.0947101432,22.8316967155,22.8801281967,23.76,0.407139510915,3330.16491212
97,2.2,369.0,596.047947824,23.7617495914,23.7611190738,23.7605788194,23.0979537322,22.825926232,22.8798602579,23.76,0.407139510915,4310.34810235
98,2.2,408.25,596.047947824,23.7593604134,23.7611944643,23.7600957685,23.1017110617,22.8189663929,22.8796183463,23.76,0.407139510915,3477.25005982
99,2.2,447.5,596.047947824,23.7590336592,23.7592989465,23.7593510881,23.1059016456,22.8143973242,22.8794055218,23.76,0.407139510915,3404.23046902
100,2.2,486.75,596.047947824,23.7610297607,23.7602413652,23.7592109537,23.1104357494,22.8121907529,22.8792240511,23.76,0.407139510915,3236.05324168
101,2.2,526.0,596.047947824,23.7616086826,23.7606535438,23.7611697485,23.1152300096,22.8111772889,22.8790760647,23.76,0.407139510915,2983.10551413
102,2.2,533.25,596.047947824,23.7613857783,23.7595097275,23.7605266572,23.1201876532,22.8105098516,22.8789642179,23.76,0.407139510915,2821.16079536
103,2.2,540.5,596.047947824,23.7602196309,23.7604835202,23.7613310615,23.1251410176,22.8098902278,22.8788922172,23.76,0.407139510915,2696.3620016
104,2.2,547.75,596.047947824,23.7614759092,23.7609855277,23.760193759,23.1298598642,22.8093509423,22.8788646049,23.76,0.407139510915,2590.07483214
105,2.2,555.0,596.047947824,23.7594994445,23.7600479741,23.7602607721,23.1341374695,22.8087612046,22.8788861754,23.76,0.407139510915,2481.62355197
106,2.2,562.25,596.047947824,23.7600008349,23.7595598068,23.7607568909,23.1378520889,22.8079908703,22.8789611846,23.76,0.407139510915,2437.61735948
107,2.2,569.5,596.047947824,23.7588292636,23.7598319727,23.7607525961,23.1409668029,22.8070786547,22.87909305,23.76,0.407139510915,2370.92144141
108,2.2,576.75,596.047947824,23.8822026,23.8821686052,23.8853322424,23.1435005293,22.8069972586,22.8792840802,23.89,0.407139510915,3062.23064124
109,2.2,584.0,596.047947824,23.8896410683,23.8895320806,23.8899448261,23.1456764518,22.8112249671,22.8795356593,23.89,0.407139510915,2280.62764243
110,2.2,591.25,596.047947824,23.891008742,23.8903938623,23.889399618,23.1470704115,22.8157493498,22.8798483039,23.89,0.407139510915,2611.53654138
111,2.2,598.5,596.047947824,23.8898268851,23.8899935085,23.889249986,23.1484071995,22.8192845997,22.8802221823,23.89,0.407139510915,2503.37873238
112,2.2,605.75,596.047947824,23.8912861898,23.889968063,23.89075905,23.1494992738,22.8222422366,22.8806569797,23.89,0.407139510915,2503.37397665
113,2.2,613.0,596.047947824,23.8910371448,23.8899640751,23.8906040724,23.1501455066,22.8251474522,22.8811518887,23.89,0.407139510915,2481.50545013
114,2.2,633.666666667,596.047947824,23.8899043775,23.8899609624,23.8907174695,23.1504603322,22.8282867845,22.8817052196,23.89,0.407139510915,2437.46505781
115,2.2,654.333333333,596.047947824,23.8903573044,23.8899579708,23.8893943155,23.1504867478,22.8315693602,22.8823147119,23.89,0.407139510915,2426.39276714
