,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,t7,sp0,m,rh
50,50,1.25,0.0,7252.22431484,23.0797270199,24.1084962496,24.1105528471,24.1099341861,21.4765112322,22.828685451,22.8640434381,24.11,9.21265353455,52492.8967626
51,51,1.3,0.0,7252.22431484,23.0794446996,24.1112394628,24.111737328,24.1091391564,21.4737734613,22.826728287,22.8634535278,24.11,9.21265353455,52492.8784254
52,52,1.35,0.0,7252.22431484,23.0791709049,24.1105380239,24.1081696312,24.1110769071,21.4711119675,22.8241234564,22.8628652818,24.11,9.21265353455,52492.8611369
53,53,1.4,0.0,7252.22431484,23.0789033791,24.1112209037,24.1110147559,24.1102653011,21.4684589759,22.8212878826,22.8622789765,24.11,9.21265353455,52492.8447082
54,54,1.45,0.0,7252.22431484,23.0786384272,24.1098317681,24.109760617,24.1086635713,21.465811264,22.8184672569,22.8616948072,24.11,9.21265353455,52492.8290625
55,55,1.5,0.0,7252.22431484,23.0783731345,24.11111334,24.1092302148,24.1099443238,21.4631843144,22.8156435898,22.8611128511,24.11,9.21265353455,52492.8141508
56,56,1.55,0.0,7252.22431484,23.0781058536,24.1105490927,24.1079162966,24.1106123732,21.4605842657,22.8128399716,22.8605331007,24.11,9.21265353455,52492.7999396
57,57,1.6,0.0,7252.22431484,23.0778359041,24.109171685,24.1093428938,24.1089263233,21.4580098191,22.8100350534,22.8599554949,24.11,9.21265353455,52492.786367
58,58,1.65,0.0,7252.22431484,23.0775631066,24.1082879612,24.1096669845,24.1091698025,21.455459306,22.8072199511,22.8593799576,24.11,9.21265353455,52492.7733824
59,59,1.7,0.0,7252.22431484,23.0772874132,24.1112603063,24.1117097317,24.1089513135,21.45293248,22.8044126216,22.8588064091,24.11,9.21265353455,52492.7609323
60,60,1.7,0.0,7252.22431484,23.0770017911,24.2421851378,24.2429466433,24.2447404094,21.4531775105,22.8033185803,22.8582348226,24.25,9.21265353455,52492.7810397
61,61,1.7,0.0,7252.22431484,23.0767063393,24.2504587652,24.2504459337,24.2504080711,21.4552842959,22.8072898561,22.8576635135,24.25,9.21265353455,52492.7924291
