,t1,w0,w1,w2,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2,m3,rh3,m4,rh4,m5,rh5
35,22.814766310184282,23.598727244117235,23.5784673291901,22.289167268897415,1089.3882562000001,0.0,16.4,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,3.024001676,0.0,0.0726,0.0
36,22.553208716154913,23.561638280515727,23.57736109311497,22.27977131889068,1089.3882562000001,0.0,16.375,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,3.458933953,0.0,0.0726,0.0
37,22.802656708945243,23.503417378922844,23.57598180578349,22.270420571397857,1089.3882562000001,0.0,16.35,21.11,21.11,0.0726,0.0,2.6580491120000005,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
38,22.343916628939805,23.487548493550857,23.51857730142225,22.2607878534879,1089.3882562000001,0.0,16.325,21.11,21.11,0.0726,0.0,4.982751968,0.0,0.0726,0.0,0.0726,0.0,1.850557153,0.0,0.0726,0.0
39,22.482759884668123,23.43274485858163,23.3473414742747,22.251552575830456,1089.3882562000001,0.0,16.3,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
40,22.541942671519838,23.39367485037255,23.275439735673377,22.243225033989983,1089.3882562000001,0.0,16.275,21.11,21.11,0.0726,0.0,2.2483527930000005,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
41,22.426434918907088,23.421938273600762,23.312002521556067,22.23417311403568,1089.3882562000001,0.0,16.25,21.11,21.11,0.0726,0.0,3.1355204280000004,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
42,22.51080003748663,23.419645611161023,23.276600295992534,22.224796988698518,1089.3882562000001,0.0,16.225,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,2.7169883500000003,0.0,0.0726,0.0
43,22.288429620585973,23.398896219865467,23.300240449828802,22.216079905744042,1089.3882562000001,0.0,16.2,21.11,21.11,0.0726,0.0,3.7565211870000006,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
44,22.64650762874678,23.376365089729493,23.265449112363832,22.207033797189055,1089.3882562000001,0.0,16.175,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
45,22.85030514831176,23.394000708531685,23.24428446800221,22.197303850690723,1089.3882562000001,0.0,16.15,21.11,21.11,0.0726,0.0,1.511220524,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
46,22.921581283724805,23.427778973397007,23.31435451018761,22.187361476608764,1089.3882562000001,0.0,16.125,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
47,22.52744126406955,23.441004849549742,23.337444719755563,22.177757025522,1089.3882562000001,0.0,16.1,21.11,21.11,0.0726,0.0,3.3315579800000004,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
48,22.809438760986406,23.422121793440184,23.27538666565452,22.178514999376063,1189.8539280999998,0.0,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
49,22.6234458906511,23.418948973775905,23.25942753509758,22.181222913261177,1189.8539280999998,0.0,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,3.334029987,0.0,0.0726,0.0
50,22.820212482748882,23.409744096496944,23.342999965724523,22.176545690156132,1189.8539280999998,0.0,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
51,22.87939512681091,23.404206294581122,23.363993297495966,22.17228038529205,1189.8539280999998,0.0,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
52,22.89462998731255,23.43732063879954,23.37719485648638,22.177792543243896,1189.8539280999998,10.08333333,16.1,21.11,21.11,0.0726,0.0,1.6620557310000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
