,t1,w0,w1,w2,i,s,tout,hsp,m0,rh0,csp0,m1,rh1,csp1,m2,rh2,csp2,m3,rh3,csp3,m4,rh4,csp4,m5,rh5,csp5,m6,rh6,csp6,m7,rh7,csp7,m8,rh8,csp8,m9,rh9,csp9,m10,rh10,csp10,m11,rh11,csp11
11,22.32285616028482,23.75920939487965,23.53276255709492,27.142918096836237,159127.2694696,0.0,17.0,21,2.261294135,0.0,22.69,2.207559924,0.0,22.3,0.209477606,0.0,23.19,1.028502405,4446.0817747416,24.83,3.794979407,0.0,24.5,1.420351088,0.0,25.23,0.152557902,0.0,25.58,0.13210839300000002,0.0,23.81,0.0961,0.0,22.95,0.271475717,0.0,22.16,1.6716511669999998,1707.6519110489999,24.1,1.092249056,0.0,24.86
12,22.278542071589783,23.773867143734574,23.522304499415934,26.99470677396541,153252.98362886003,0.0,16.975,21,2.261294135,0.0,24.64,2.207559924,0.0,22.42,0.209477606,0.0,24.11,1.028502405,4509.740766762001,25.52,3.794979407,0.0,23.36,1.420351088,0.0,24.34,0.152557902,0.0,24.45,0.13210839300000002,0.0,23.37,0.0961,0.0,23.73,0.0543,0.0,24.45,1.6716511669999998,1757.4439224005998,22.73,0.7865499970000001,0.0,25.22
13,22.27909033422276,23.74152149408528,23.50994261339692,26.834268493719303,153252.98362886003,0.0,16.95,21,2.261294135,0.0,24.09,2.207559924,0.0,24.85,0.209477606,0.0,23.06,1.028502405,4559.3144396856005,24.57,3.794979407,0.0,25.96,1.420351088,0.0,24.33,0.22577208699999998,0.0,22.23,0.13210839300000002,0.0,23.34,0.0961,0.0,23.92,0.199082192,0.0,22.72,1.6716511669999998,1775.098890201,25.42,0.990257465,0.0,24.47
14,22.319113895246094,23.72580316113965,23.500289250791113,26.87473506547451,153252.98362886003,0.0,16.925,21,2.261294135,0.0,24.51,2.207559924,0.0,23.65,0.209477606,0.0,24.09,1.028502405,4584.8004243888,25.77,3.794979407,0.0,23.41,2.533451634,0.0,22.93,0.152557902,0.0,23.33,0.13210839300000002,0.0,22.23,0.0961,0.0,24.32,0.0543,0.0,23.5,1.6716511669999998,1747.564850766,22.27,0.847087021,0.0,24.89
15,22.218251255650916,23.699560614288878,23.491984845031897,26.941190142255977,153252.98362886003,0.0,16.9,21,2.261294135,0.0,22.53,2.207559924,0.0,23.17,0.209477606,0.0,25.47,1.028502405,4600.071718032,24.97,3.794979407,0.0,24.17,1.420351088,0.0,23.95,0.152557902,0.0,24.93,0.13210839300000002,0.0,22.12,0.0961,0.0,24.87,0.0543,0.0,25.61,1.6716511669999998,1748.2175519759996,22.81,1.2588595409999999,0.0,23.54
16,22.227298568280514,23.627051690153692,23.483846640850267,27.0592763808443,153252.98362886003,0.0,16.875,21,2.261294135,0.0,25.19,2.207559924,0.0,24.65,0.209477606,0.0,24.02,1.028502405,4626.8560811423995,24.58,3.794979407,0.0,25.74,1.420351088,0.0,24.22,0.152557902,0.0,23.05,0.13210839300000002,0.0,25.6,0.0961,0.0,24.99,0.0543,0.0,23.27,1.6716511669999998,1766.1707579375998,22.04,0.7865499970000001,0.0,25.04
17,22.202722855153237,23.638565234516133,23.474325503850153,26.89517914424716,153252.98362886003,0.0,16.85,21,2.348365665,0.0,22.17,2.207559924,0.0,23.22,0.209477606,0.0,23.85,1.028502405,4645.754451324,24.6,3.794979407,0.0,25.26,2.533451634,0.0,22.23,0.152557902,0.0,25.92,0.13210839300000002,0.0,22.65,0.0961,0.0,22.74,0.271475717,0.0,22.29,1.6716511669999998,1756.9355196246001,25.72,1.496037254,0.0,22.68
18,22.19758142102211,23.677019160997375,23.46171397213948,26.966156663165766,153252.98362886003,0.0,16.825,21,2.261294135,0.0,22.51,2.207559924,0.0,25.08,0.209477606,0.0,22.64,1.028502405,4655.9762338908,23.27,3.794979407,0.0,23.29,2.533451634,0.0,22.82,0.152557902,0.0,24.12,0.13210839300000002,0.0,25.01,0.0961,0.0,23.07,0.114417075,0.0,22.52,1.6716511669999998,1764.7624177344,23.05,0.803753391,0.0,24.64
19,22.214308959084516,23.637053756452165,23.45067710909007,27.135095775571884,153252.98362886003,0.0,16.8,21,2.261294135,0.0,22.99,2.207559924,0.0,25.72,0.209477606,0.0,24.22,1.028502405,4680.8849855628,24.94,3.794979407,0.0,22.29,2.533451634,0.0,22.51,0.152557902,0.0,24.99,0.13210839300000002,0.0,23.16,0.0961,0.0,23.86,0.0543,0.0,23.93,1.6716511669999998,1781.6287440419999,23.91,0.920090752,0.0,24.18
20,22.10895056527642,23.627730221138123,23.442423462737885,27.087954081898765,153252.98362886003,0.0,16.775,21,2.261294135,0.0,23.22,2.207559924,0.0,25.2,0.209477606,0.0,25.57,1.028502405,4701.369427234201,24.85,3.794979407,0.0,25.26,1.420351088,0.0,23.98,0.22006043600000003,0.0,22.12,0.13210839300000002,0.0,24.48,0.0961,0.0,23.21,0.0846,0.0,22.72,1.6716511669999998,1765.0921192127998,24.7,1.51099165,0.0,22.61
21,22.13200664100961,23.65897356949931,23.43363889295403,27.132140646941437,153252.98362886003,0.0,16.75,21,2.261294135,0.0,23.89,2.207559924,0.0,22.85,0.209477606,0.0,23.38,1.028502405,4722.393594009001,23.55,3.794979407,0.0,22.27,1.420351088,0.0,24.56,0.152557902,0.0,24.53,0.13210839300000002,0.0,25.49,0.0961,0.0,23.62,0.0543,0.0,23.82,1.6716511669999998,1764.5428597103999,22.42,1.230160843,0.0,22.99
22,22.179408497544284,23.583731623705496,23.425132906901567,26.91556338669606,153252.98362886003,0.0,16.725,21,2.261294135,0.0,23.93,2.207559924,0.0,22.74,0.209477606,0.0,23.5,1.028502405,4736.9113044119995,25.19,3.794979407,0.0,25.72,1.420351088,0.0,25.67,0.19115451600000002,0.0,22.21,0.13210839300000002,0.0,23.4,0.0961,0.0,24.97,0.0543,0.0,23.14,1.6716511669999998,1772.4760145273997,23.89,0.7865499970000001,0.0,25.62
23,22.203628483798404,23.55093417820791,23.416791989449067,26.918810552482125,153252.98362886003,0.0,16.7,21,2.261294135,0.0,25.81,2.207559924,0.0,24.32,0.209477606,0.0,25.75,1.028502405,4756.1068474668,24.67,3.794979407,0.0,25.02,1.420351088,0.0,25.73,0.152557902,0.0,24.02,0.13210839300000002,0.0,25.55,0.0961,0.0,25.86,0.0543,0.0,25.7,1.6716511669999998,1780.4917475940001,24.74,0.7865499970000001,0.0,25.14
