,tout,s,i,t1,t2,t3,t4,sp0,m,rh
19,2.56666666667,0.0,19522.5282766,24.1497385135,23.2057056281,22.3017405722,22.0679841468,24.15,1.9105678867,0.0
20,2.475,0.0,19522.5282766,24.1497521208,23.2019268546,22.296488693,22.0672008776,24.15,1.90988615874,0.0
21,2.38333333333,0.0,19522.5282766,24.1497471041,23.198143069,22.2908830549,22.066471587,24.15,1.90908334708,0.0
22,2.29166666667,0.0,19522.5282766,24.1497370192,23.1943130614,22.2848851286,22.0657760754,24.15,1.90818272553,0.0
23,2.2,0.0,19522.5282766,24.1497271589,23.1904846974,22.2786132177,22.0651244134,24.15,1.90744864502,0.0
24,2.10833333333,0.0,14805.6981267,24.2592488647,23.1658317467,22.2587726673,22.0449763321,24.31,1.51672486006,0.0
25,2.01666666667,0.0,14805.6981267,24.2937141249,23.133170376,22.2351574536,22.0161403365,24.31,1.51500568554,0.0
26,1.925,0.0,14805.6981267,24.3047127883,23.1063588233,22.2176766407,21.9905991776,24.31,1.4929479902,0.0
27,1.83333333333,0.0,14805.6981267,24.308143856,23.0876183726,22.2047670966,21.9720963369,24.31,1.48379551437,0.0
28,1.74166666667,0.0,14805.6981267,24.3092108034,23.0744514657,22.1935814558,21.9596735403,24.31,1.47668829109,0.0
29,1.65,0.0,14805.6981267,24.3095373958,23.0639045374,22.1823326619,21.9511217643,24.31,1.47027695094,0.0
30,1.55833333333,0.0,14805.6981267,24.3096349475,23.054353236,22.1707119062,21.944745783,24.31,1.46468320604,0.0
31,1.46666666667,0.0,14805.6981267,24.3096611447,23.0452330563,22.1589626457,21.9396029382,24.31,1.45968285726,0.0
32,1.375,0.0,14805.6981267,24.3096652845,23.0364489859,22.147289064,21.9352477305,24.31,1.45518708634,0.0
33,1.28333333333,0.0,14805.6981267,24.3096631075,23.0280184882,22.1357571055,21.9314719843,24.31,1.45115256601,0.0
34,1.19166666667,0.0,14805.6981267,24.3096591574,23.0199228949,22.1243285075,21.9281479817,24.31,1.44747928286,0.0
35,1.1,0.0,14805.6981267,24.3096550973,23.0121150031,22.1129624441,21.9251782051,24.31,1.44412734948,0.0
36,1.1,0.0,14805.6981267,24.3653621278,23.0051395573,22.103285785,21.9225493546,24.39,1.41212363783,0.0
37,1.1,0.0,14805.6981267,24.3822473403,22.9984818731,22.0942341991,21.9199862388,24.39,1.42166192389,0.0
38,1.1,0.0,14805.6981267,24.3874399491,22.9926423299,22.08665762,21.9176734609,24.39,1.41379915534,0.0
39,1.1,0.0,14805.6981267,24.3890166446,22.9872012168,22.0794841485,21.9154999024,24.39,1.41207174874,0.0
40,1.1,0.0,14805.6981267,24.3894999746,22.9820330851,22.0724725537,21.9134422289,24.39,1.41065718548,0.0
41,1.1,0.0,14805.6981267,24.3896487005,22.9770723246,22.0655987276,21.9114809881,24.39,1.40914374092,0.0
42,1.1,0.0,14805.6981267,24.3896956507,22.9722920303,22.0589042874,21.9096021695,24.39,1.40766761441,0.0
43,1.1,0.0,14805.6981267,24.3897114106,22.9676863138,22.052424578,21.9077985719,24.39,1.40626211091,0.0
44,1.1,0.0,14805.6981267,24.3897168769,22.9632171872,22.0461064311,21.9060543492,24.39,1.40485152167,0.0
45,1.1,0.0,14805.6981267,24.3897197529,22.9588738953,22.0399456813,21.9043643282,24.39,1.40352613522,0.0
46,1.1,0.0,14805.6981267,24.3897215858,22.9546594084,22.0339570457,21.9027281938,24.39,1.40226856659,0.0
47,1.1,0.0,14805.6981267,24.389722316,22.9505448461,22.0280862938,21.9011340839,24.39,1.40099501957,0.0
48,1.15,0.0,14805.6981267,24.4317483259,22.9464056867,22.0222000823,21.8996331852,24.45,1.37785610379,0.0
49,1.2,0.0,14805.6981267,24.4443052991,22.9417439358,22.0154199668,21.8980590348,24.45,1.3855694647,0.0
50,1.25,0.0,14805.6981267,24.4481019427,22.9371259338,22.0089969034,21.8965742297,24.45,1.37991334547,0.0
51,1.3,0.0,14805.6981267,24.4492359235,22.9325029508,22.0027234425,21.8951246314,24.45,1.37887499214,0.0
52,1.35,0.0,14805.6981267,24.4495764525,22.9279118305,21.9965815664,21.8936992861,24.45,1.37788215576,0.0
