,Unnamed: 0,tout,s,i,t1,t2,t3,t4,sp0,m,rh
45,45,1.1,0.0,1538.278632,22.4329839895,20.391587051,22.9588738953,21.9043643282,24.39,0.145483329227,0.0
46,46,1.1,0.0,1538.278632,22.4276902425,20.3902317235,22.9546594084,21.9027281938,24.39,0.145483329227,0.0
47,47,1.1,0.0,1538.278632,22.4225307165,20.3898137548,22.9505448461,21.9011340839,24.39,0.145483329227,0.0
48,48,1.15,0.0,1538.278632,22.417300401,20.4459511538,22.9464056867,21.8996331852,24.45,0.145483329227,0.0
49,49,1.2,0.0,1538.278632,22.4115633383,20.4488016019,22.9417439358,21.8980590348,24.45,0.145483329227,0.0
50,50,1.25,0.0,1538.278632,22.4058182625,20.45079552,22.9371259338,21.8965742297,24.45,0.145483329227,0.0
51,51,1.3,0.0,1538.278632,22.4000712325,20.4511280195,22.9325029508,21.8951246314,24.45,0.145483329227,0.0
52,52,1.35,0.0,1538.278632,22.394378452,20.4519930844,22.9279118305,21.8936992861,24.45,0.145483329227,0.0
53,53,1.4,0.0,1538.278632,22.3887710009,20.4513713093,22.9233844824,21.892298966,24.45,0.145483329227,0.0
54,54,1.45,0.0,1538.278632,22.3832512074,20.4514384682,22.9189302214,21.8909240924,24.45,0.145483329227,0.0
55,55,1.5,0.0,1538.278632,22.3778004366,20.4502935854,22.9145343677,21.8895690011,24.45,0.145483329227,0.0
56,56,1.55,0.0,1538.278632,22.3724092067,20.4500861777,22.9101909485,21.8882309784,24.45,0.145483329227,0.0
57,57,1.6,0.0,1538.278632,22.3670832801,20.4488600543,22.9059104899,21.8869133136,24.45,0.145483329227,0.0
58,58,1.65,0.0,1538.278632,22.3618133869,20.4515263193,22.9016838192,21.8856123607,24.45,0.145483329227,0.0
59,59,1.7,0.0,1538.278632,22.3566003345,20.4507256275,22.8975135083,21.8843288146,24.45,0.145483329227,0.0
60,60,1.7,0.0,1538.278632,22.3518462843,20.3968114074,22.8937355131,21.8829974876,24.39,0.145483329227,0.0
61,61,1.7,0.0,1538.278632,22.3480621372,20.3899517337,22.8909407191,21.8817948788,24.39,0.145483329227,0.0
62,62,1.7,0.0,1538.278632,22.3446390486,20.3915001093,22.8884487883,21.8805451505,24.39,0.145483329227,0.0
63,63,1.7,0.0,1538.278632,22.3414942609,20.3922880735,22.8862342319,21.8793116197,24.39,0.145483329227,0.0
64,64,1.7,0.0,1538.278632,22.3384783494,20.3904288033,22.8841553081,21.8780906995,24.39,0.145483329227,0.0
65,65,1.7,0.0,1538.278632,22.3355312779,20.3901383177,22.8821462569,21.8768786961,24.39,0.145483329227,0.0
66,66,1.7,0.0,1538.278632,22.3326517857,20.3901892965,22.8801991179,21.8756779474,24.39,0.145483329227,0.0
67,67,1.7,0.0,1538.278632,22.3298370358,20.3893986177,22.8783034803,21.874485469,24.39,0.145483329227,0.0
68,68,1.7,0.0,1538.278632,22.3270932337,20.3906330281,22.8764636954,21.8733032871,24.39,0.145483329227,0.0
69,69,1.7,0.0,1538.278632,22.3244114493,20.3918100346,22.8746684294,21.8721283622,24.39,0.145483329227,0.0
70,70,1.7,0.0,1538.278632,22.321793707,20.3916510968,22.8729208461,21.8709628897,24.39,0.145483329227,0.0
71,71,1.7,0.0,1538.278632,22.3192308684,20.390281912,22.8712103742,21.8698039722,24.39,0.145483329227,0.0
72,72,1.74166666667,0.0,1738.92367096,22.3422632619,20.4886601615,22.8905892692,21.8884538822,24.5,0.145483329227,0.0
73,73,1.78333333333,0.0,1738.92367096,22.3723389013,20.499804309,22.9156826139,21.9150895422,24.5,0.145483329227,0.0
74,74,1.825,0.0,1738.92367096,22.3954291215,20.5006498857,22.9352742215,21.9386957574,24.5,0.145483329227,0.0
75,75,1.86666666667,0.0,1738.92367096,22.4086083234,20.4998991205,22.9467164326,21.9554873326,24.5,0.145483329227,0.0
76,76,1.90833333333,0.0,1738.92367096,22.4151716196,20.5005363616,22.9525661305,21.9664351028,24.5,0.145483329227,0.0
77,77,1.95,0.0,1738.92367096,22.4187577942,20.5020274407,22.9557343398,21.9736418661,24.5,0.145483329227,0.0
78,78,1.99166666667,0.0,1738.92367096,22.4213482229,20.5004150346,22.9578733343,21.9787160068,24.5,0.145483329227,0.0
79,79,2.03333333333,0.0,1738.92367096,22.4235717288,20.5005942196,22.9595654733,21.9825484677,24.5,0.145483329227,0.0
80,80,2.075,0.0,1738.92367096,22.4254546711,20.5017260951,22.9608856004,21.9855535939,24.5,0.145483329227,0.0
81,81,2.11666666667,0.0,1738.92367096,22.4269481621,20.4995521219,22.9618320149,21.987945738,24.5,0.145483329227,0.0
82,82,2.15833333333,0.0,1738.92367096,22.4280422839,20.4989549024,22.9624141554,21.9898578504,24.5,0.145483329227,0.0
83,83,2.2,0.0,1738.92367096,22.428810283,20.4992919144,22.9627058324,21.9914046102,24.5,0.145483329227,0.0
84,84,2.2,0.0,1939.56870992,22.4532200697,20.9893256954,22.982045915,22.009827722,25.0,0.145483329227,0.0
85,85,2.2,0.0,1939.56870992,22.487337445,21.0003944688,23.009463175,22.0376557577,25.0,0.145483329227,0.0
86,86,2.2,0.0,1939.56870992,22.5163973552,21.0006166828,23.032926916,22.0639897442,25.0,0.145483329227,0.0
87,87,2.2,0.0,1939.56870992,22.5362021529,21.0002355223,23.0488846934,22.0842062363,25.0,0.145483329227,0.0
88,88,2.2,0.0,1939.56870992,22.5491748451,20.9995178633,23.0590534232,22.0985116044,25.0,0.145483329227,0.0
89,89,2.2,0.0,1939.56870992,22.5587602184,21.0014692624,23.0660983402,22.1086872566,25.0,0.145483329227,0.0
90,90,2.2,94.25,1939.56870992,22.5670430363,21.0008083582,23.0814211412,22.1162892447,25.0,0.145483329227,0.0
91,91,2.2,133.5,1939.56870992,22.5752852928,20.9997779161,23.1041583307,22.1223034291,25.0,0.145483329227,0.0
92,92,2.2,172.75,1939.56870992,22.5843203073,21.001750253,23.1311119675,22.1272552962,25.0,0.145483329227,0.0
93,93,2.2,212.0,1939.56870992,22.5946980149,21.0016103782,23.1603832536,22.1314061047,25.0,0.145483329227,0.0
94,94,2.2,251.25,1939.56870992,22.6066124869,21.0011441822,23.1912101354,22.1349317117,25.0,0.145483329227,0.0
95,95,2.2,290.5,1939.56870992,22.6199655261,21.0016444386,23.2241692503,22.1379676217,25.0,0.145483329227,0.0
96,96,2.2,329.75,1638.60115148,22.5797967069,20.8188906162,23.147387365,22.1108480763,24.5,0.145483329227,0.0
97,97,2.2,369.0,1638.60115148,22.5335561339,20.6524998196,23.0586465049,22.0723989597,24.5,0.145483329227,0.0
98,98,2.2,408.25,1638.60115148,22.5055941498,20.6067874886,23.0075765935,22.0385619582,24.5,0.145483329227,0.0
99,99,2.2,447.5,1638.60115148,22.4972749901,20.666272584,22.9967717637,22.0150857006,24.5,0.145483329227,0.0
100,100,2.2,486.75,1638.60115148,22.5001956129,20.7794066523,23.0107854977,22.0006501936,24.5,0.145483329227,0.0
101,101,2.2,526.0,1638.60115148,22.5070756695,20.9126377627,23.0358294115,21.9919988432,24.5,0.145483329227,0.0
102,102,2.2,533.25,1638.60115148,22.5146846797,21.0415501882,23.0624857661,21.9865500205,24.5,0.145483329227,0.0
103,103,2.2,540.5,1638.60115148,22.522451737,21.1589658062,23.0873539047,21.9828515449,24.5,0.145483329227,0.0
104,104,2.2,547.75,1638.60115148,22.5306192672,21.2711720701,23.1113453514,21.9802185758,24.5,0.145483329227,0.0
105,105,2.2,555.0,1638.60115148,22.5393590582,21.381149011,23.1351666414,21.9783269552,24.5,0.145483329227,0.0
106,106,2.2,562.25,1638.60115148,22.5486338475,21.4891411467,23.1589626914,21.976984906,24.5,0.145483329227,0.0
107,107,2.2,569.5,1638.60115148,22.5583079669,21.5950039488,23.1827096475,21.9760498279,24.5,0.145483329227,0.0
108,108,2.2,576.75,1437.95611252,22.5429405847,21.6761536901,23.1859577973,21.9557884796,24.49,0.145483329227,0.0
109,109,2.2,584.0,1437.95611252,22.5204169444,21.7526887288,23.1831056299,21.9275361767,24.49,0.145483329227,0.0
110,110,2.2,591.25,1437.95611252,22.5055512311,21.8369510363,23.1859760711,21.902649606,24.49,0.145483329227,0.0
111,111,2.2,598.5,1437.95611252,22.5006940612,21.9279917174,23.1967322951,21.8848294928,24.49,0.145483329227,0.0
112,112,2.2,605.75,1437.95611252,22.5022149156,22.020531814,23.2128263229,21.8730278174,24.49,0.145483329227,0.0
113,113,2.2,613.0,1437.95611252,22.5064629799,22.1118035408,23.2314798881,21.8650366606,24.49,0.145483329227,0.0
114,114,2.2,633.666666667,1437.95611252,22.5116733726,22.2102001735,23.2527981264,21.8591732642,24.49,0.145483329227,0.0
115,115,2.2,654.333333333,1437.95611252,22.5175048666,22.320093125,23.2771937679,21.8545244568,24.49,0.145483329227,0.0
116,116,2.2,675.0,1437.95611252,22.5241499802,22.4397402657,23.3044492736,21.8506714492,24.49,0.145483329227,0.0
117,117,2.2,695.666666667,1437.95611252,22.5318158927,22.5659404271,23.334044267,21.8474148008,24.49,0.145483329227,0.0
118,118,2.2,716.333333333,1437.95611252,22.5405888658,22.6936571671,23.3647827199,21.8446290244,24.49,0.145483329227,0.0
119,119,2.2,737.0,1437.95611252,22.5504587631,22.8242664687,23.39681037,21.8422151319,24.49,0.145483329227,0.0
120,120,2.25,757.666666667,1437.95611252,22.5616001703,22.96112152,23.4307872069,21.8400009546,24.49,0.145483329227,0.0
121,121,2.3,778.333333333,1437.95611252,22.5743770654,23.1052329222,23.467250721,21.8380569654,24.49,0.145483329227,0.0
122,122,2.35,799.0,1437.95611252,22.5888113147,23.2554208704,23.5060746897,21.8364302062,24.49,0.145483329227,0.0
123,123,2.4,819.666666667,1437.95611252,22.6044087945,23.4096424829,23.5464484775,21.8349532649,24.49,0.145483329227,0.0
124,124,2.45,840.333333333,1437.95611252,22.6210172713,23.5599560115,23.5862758746,21.8335714401,24.49,0.145483329227,0.0
125,125,2.5,861.0,1437.95611252,22.6386201858,23.7104889442,23.6263540374,21.8322845926,24.49,0.145483329227,0.0
126,126,2.55,862.583333333,1437.95611252,22.6571282693,23.8506602639,23.6647565381,21.8310773452,24.49,0.145483329227,0.0
127,127,2.6,864.166666667,1437.95611252,22.6764673372,23.9755203222,23.7003175879,21.8299397183,24.49,0.145483329227,0.0
128,128,2.65,865.75,1437.95611252,22.6964705161,24.0884490732,23.7332254514,21.8288616325,24.49,0.145483329227,0.0
129,129,2.7,867.333333333,1437.95611252,22.7170231664,24.1945057335,23.7642963299,21.8278674417,24.49,0.145483329227,0.0
130,130,2.75,868.916666667,1437.95611252,22.7379060424,24.2964886966,23.7940839432,21.8269280087,24.49,0.145483329227,0.0
131,131,2.8,870.5,1437.95611252,22.7590337631,24.3954150901,23.8229917487,21.8260523635,24.49,0.145483329227,0.0
132,132,2.84166666667,872.083333333,1136.98855409,22.7323319797,24.426537259,23.7593113541,21.7954748293,24.43,0.145483329227,0.0
133,133,2.88333333333,873.666666667,1136.98855409,22.6962754526,24.4293402948,23.6735163937,21.7548547587,24.43,0.145483329227,0.0
134,134,2.925,875.25,1136.98855409,22.6758529681,24.4295662984,23.6155324791,21.7201574886,24.43,0.145483329227,0.0
135,135,2.96666666667,876.833333333,1136.98855409,22.6741147954,24.4295758106,23.5932403434,21.6963298931,24.43,0.145483329227,0.0
136,136,3.00833333333,878.416666667,1136.98855409,22.6830225625,24.4295650678,23.5933441959,21.681232523,24.43,0.145483329227,0.0
137,137,3.05,880.0,1136.98855409,22.6953494213,24.4295605843,23.6027503003,21.6713896766,24.43,0.145483329227,0.0
138,138,3.09166666667,883.75,1136.98855409,22.707765318,24.4295607549,23.6151182061,21.664323526,24.43,0.145483329227,0.0
139,139,3.13333333333,887.5,1136.98855409,22.7196460432,24.4295645479,23.6286805908,21.6587712239,24.43,0.145483329227,0.0
140,140,3.175,891.25,1136.98855409,22.7312583451,24.4295704684,23.6432329093,21.6541822223,24.43,0.145483329227,0.0
