,t11,t12,t13,t14,t15,t16,t17,t18
62,21.4082598411,20.4901350333,21.3521047999,20.4889098966,20.4904127525,21.3943822912,20.4888415602,21.3521047999
63,21.4056124864,20.4902774992,21.3414219457,20.4918450028,20.4899607194,21.3829807243,20.4901480767,21.3414219457
64,21.402996775,20.4903401116,21.3310018189,20.4901324726,20.4899190055,21.3730877887,20.4921224333,21.3310018189
65,21.4004115491,20.4902772275,21.3208847224,20.4895583845,20.4902061601,21.3637558718,20.4896794258,21.3208847224
66,21.3978569049,20.4901488369,21.3111022784,20.491220012,20.4897308491,21.3546798366,20.4897380273,21.3111022784
67,21.395329338,20.4900289733,21.3016582501,20.4918594345,20.4898015733,21.3458910401,20.488723008,21.3016582501
68,21.3927986762,20.470446777,21.2925894982,20.4721729522,20.4733839641,21.3376164656,20.4720064793,21.2925894982
69,21.3903349453,20.4699136469,21.2840680221,20.4707214577,20.4698904596,21.3301368875,20.4700209541,21.2840680221
70,21.3878788386,20.4699007418,21.2759077105,20.4698633224,20.4701079308,21.3232164045,20.4723432169,21.2759077105
71,21.3854503859,20.4702867995,21.2681024084,20.4700839608,20.4700700137,21.3168132635,20.4698027528,21.2681024084
72,21.3830616094,20.4701915574,21.2606494467,20.4710837377,20.4700353451,21.3108767546,20.471637852,21.2606494467
73,21.3807085801,20.470012061,21.2535207796,20.4700069491,20.4699231261,21.3053542312,20.4717863259,21.2535207796
74,21.3783545126,20.4701140441,21.2466221657,20.4710005403,20.4700953478,21.2992599656,20.4702994997,21.2466221657
75,21.3759971985,20.4699038118,21.2399259484,20.4695826313,20.4698974249,21.2921224491,20.4709151895,21.2399259484
76,21.3736513634,20.4697960754,21.2334180058,20.4714937041,20.4698641746,21.2840733536,20.4708139057,21.2334180058
77,21.371325835,20.4700829859,21.2270569529,20.4707035446,20.4703430781,21.2754156571,20.4714933689,21.2270569529
78,21.3690183427,20.4700895116,21.2207818771,20.4695262588,20.4696988159,21.2663687617,20.4701430068,21.2207818771
79,21.3667327729,20.4701788164,21.2145597916,20.4697303816,20.4697385237,21.2570652023,20.4722775599,21.2145597916
80,21.3658159564,20.6904676046,21.2117944383,20.8688055138,20.7189125447,21.2526949596,20.8698530321,21.2117944383
81,21.3637976133,20.877818484,21.2060477662,20.8784800336,20.8791484161,21.2436787053,20.8825118307,21.2060477662
82,21.3609735751,20.8798493121,21.1983913921,20.879241818,20.8798927002,21.2314699578,20.8809911326,21.1983913921
83,21.3583116072,20.8804029141,21.1914422462,20.8798736267,20.8797566618,21.219729262,20.8798306605,21.1914422462
84,21.3558171078,20.8800842571,21.1852252894,20.8820789644,20.8797037813,21.2087504042,20.8814883936,21.1852252894
85,21.3534821846,20.8799663573,21.1795539522,20.8808107994,20.87986561,21.1983887672,20.8794028358,21.1795539522
86,21.3512400511,20.8799054139,21.1741122095,20.8799740516,20.8799244843,21.1887030068,20.8805951187,21.1741122095
87,21.3490455045,20.8804710599,21.1687183012,20.8820813802,20.8801112232,21.1796764446,20.8829613395,21.1687183012
88,21.3468672318,20.879935323,21.1632955973,20.8804929601,20.880458601,21.1711339579,20.8817077141,21.1632955973
89,21.3447080978,20.8802003537,21.1578755425,20.881533003,20.8803086102,21.1629420101,20.8814253118,21.1578755425
90,21.3425641772,20.8800438845,21.1524736743,20.8818740212,20.8803860338,21.1549837781,20.8793001245,21.1524736743
91,21.3404362888,20.8804017004,21.1471069574,20.8794458219,20.880000926,21.1472053856,20.8792749429,21.1471069574
92,21.3535635117,20.7770865525,21.1692434882,20.5053573979,20.7953662452,21.194316352,20.6566599039,21.1692434882
93,21.3712409292,20.633411167,21.1957997089,20.3913545045,20.679399355,21.2536573148,20.4112840872,21.1957997089
94,21.3852375331,20.5098993301,21.2127194913,20.3887542184,20.5806787985,21.2961749871,20.3924093007,21.2127194913
95,21.393646924,20.4276001683,21.2190776075,20.3885636976,20.5149523727,21.3177098574,20.3925985298,21.2190776075
96,21.3979450377,20.3909218661,21.2194368414,20.3916285364,20.4758297533,21.3258759229,20.390695651,21.2194368414
97,21.3999129925,20.3901339539,21.2175134781,20.3910508147,20.4519812979,21.3279416697,20.3894008637,21.2175134781
98,21.4007215545,20.3901223356,21.2150700943,20.3889701715,20.4354236863,21.3274696785,20.3913427672,21.2150700943
99,21.4009280038,20.3900588331,21.2125391654,20.3901844508,20.4223186771,21.3256047312,20.3924949464,21.2125391654
100,21.4007513376,20.3901349016,21.2098646132,20.3903238037,20.4112572378,21.3225791454,20.3908298605,21.2098646132
101,21.400285423,20.3899009079,21.2069555263,20.3897122224,20.401743647,21.3190019562,20.3905147912,21.2069555263
102,21.3995951273,20.3900182817,21.2038035574,20.3892946309,20.3934861266,21.3148745864,20.3911529222,21.2038035574
103,21.3987334242,20.3901434529,21.2004395663,20.389359334,20.3901622213,21.3100891534,20.3906030179,21.2004395663
104,21.4272126961,20.4784624587,21.2478620045,20.4732348783,20.4778983756,21.4088341409,20.501321245,21.2478620045
105,21.465911999,20.479775575,21.3073029117,20.478651226,20.4997618267,21.5350088402,20.6242351086,21.3073029117
106,21.4992781061,20.4797872959,21.3505702361,20.4812387902,20.4807359054,21.6306735476,20.6969528981,21.3505702361
107,21.5222975426,20.4800673664,21.3735180334,20.4808395571,20.4799051724,21.6850921763,20.721437285,21.3735180334
108,21.5366683459,20.4799748557,21.3836898132,20.4783745114,20.4802959034,21.7113819511,20.7219079374,21.3836898132
109,21.5456001281,20.4797078091,21.3885927507,20.4796883968,20.4799597118,21.7240899491,20.7162626485,21.3885927507
110,21.5515051883,20.4801895031,21.392100526,20.479564726,20.4798169584,21.7317953831,20.7118768517,21.392100526
111,21.5557116852,20.4797585786,21.3953320932,20.4804724991,20.4798459252,21.7377433691,20.7092721088,21.3953320932
112,21.5588030543,20.4802086381,21.3981894539,20.4815398334,20.479836395,21.7429162734,20.7068707226,21.3981894539
113,21.5610728352,20.4799014862,21.400499246,20.479540615,20.4796978645,21.7470604652,20.7051086188,21.400499246
114,21.5627105163,20.4798346801,21.4022452666,20.4789551052,20.4802060714,21.7499465381,20.7029565412,21.4022452666
115,21.5638720926,20.4800535988,21.4035247539,20.4799528269,20.4800956978,21.7507307916,20.6954924809,21.4035247539
116,21.5639474046,20.6956774399,21.4040951788,20.9077632269,20.7232877141,21.7503283266,20.9405845864,21.4040951788
117,21.564142602,20.9170507941,21.4053356628,20.9206915241,20.9178432268,21.7501999433,20.9620838177,21.4053356628
118,21.5643542702,20.920094514,21.4068151734,20.9209470952,20.9200774798,21.7485655563,20.9274413471,21.4068151734
119,21.5648051867,20.9201609142,21.4090482243,20.918428023,20.9199474232,21.7472791331,20.922861247,21.4090482243
120,21.5651568968,20.919401653,21.4112168599,20.9213529879,20.919738237,21.7465525118,20.9212254962,21.4112168599
121,21.5653138955,20.9193725496,21.4130669273,20.9187011956,20.9200800891,21.7463631882,20.920616193,21.4130669273
122,21.5653029008,20.9193869616,21.4146356031,20.921877101,20.920159657,21.7465247764,20.9197218561,21.4146356031
123,21.5651761774,20.9195980823,21.4160187205,20.9197702272,20.9193245168,21.7468542219,20.9220007161,21.4160187205
124,21.5649694731,20.9200261466,21.4172717268,20.9193118229,20.9194591415,21.7472323679,20.920845004,21.4172717268
125,21.5647035136,20.9196081382,21.4184180023,20.9206682861,20.9193194649,21.7476116196,20.9213610766,21.4184180023
126,21.5643870163,20.9197206216,21.4194600073,20.9184101474,20.9200011797,21.7479601853,20.9225033595,21.4194600073
127,21.5640341939,20.9197700495,21.4204189101,20.9191786938,20.919961536,21.7482891105,20.9230164691,21.4204189101
128,21.6268359758,20.8359098267,21.5030576977,20.5459888236,20.8790647196,21.814495446,20.8717310093,21.5030576977
129,21.7210227681,20.7227606095,21.6183059101,20.4221221556,20.8316227423,21.9096645201,20.8222939923,21.6183059101
130,21.8081084809,20.6284670885,21.7147146781,20.4218322049,20.7981475332,21.9909468302,20.7949553232,21.7147146781
131,21.8734365154,20.5688353128,21.7781837731,20.4207240397,20.7822577303,22.0454449508,20.7879475744,21.7781837731
132,21.9191608629,20.5373751069,21.817645224,20.4203122031,20.7788841446,22.0796225406,20.7912903017,21.817645224
133,21.9518729545,20.5223013755,21.8449450351,20.4206022792,20.7820337652,22.1028050631,20.7966382429,21.8449450351
134,21.9769055644,20.5150864202,21.8673836765,20.4185368744,20.7879402332,22.1210390186,20.8008893546,21.8673836765
135,21.9973882638,20.511476161,21.8877473693,20.4217207973,20.7948907251,22.1368358246,20.8039538288,21.8877473693
136,22.0145271171,20.5098278277,21.9065881435,20.421373042,20.8022614594,22.1508895767,20.8064433514,21.9065881435
137,22.0288740694,20.509543962,21.9238999942,20.4190228314,20.8098201458,22.1633689273,20.808706273,21.9238999942
138,22.0408931672,20.5102883178,21.9397349637,20.4198631529,20.8174212291,22.1744180037,20.8107466714,21.9397349637
