,Unnamed: 0,tout,s,i,t1,t2,t3,t4,sp0,m,rh
7016,7016,-0.875,249.5,7782.3755674,21.072082058,22.2397280257,24.4597050962,21.8829788924,24.46,0.939069510456,0.0
7017,7017,-0.783333333333,264.666666667,7782.3755674,21.1335355587,22.2526249482,24.4596943565,21.880284668,24.46,0.939069510456,0.0
7018,7018,-0.691666666667,279.833333333,7782.3755674,21.1989093178,22.267293842,24.4596921599,21.8780470178,24.46,0.939069510456,0.0
7019,7019,-0.6,295.0,7782.3755674,21.2638499027,22.2828081176,24.4596928865,21.876164498,24.46,0.939069510456,0.0
7020,7020,-0.55,310.166666667,4367.11635263,21.1134817088,22.1995188121,24.3394018613,21.8455657296,24.26,0.939069510456,0.0
7021,7021,-0.5,325.333333333,4367.11635263,20.939394407,22.0898374156,24.2912100654,21.8046872,24.26,0.939069510456,0.0
7022,7022,-0.45,340.5,4367.11635263,20.8597910368,22.0099775628,24.2720755738,21.7696025865,24.26,0.939069510456,0.0
7023,7023,-0.4,355.666666667,4367.11635263,20.8697812372,21.9703815486,24.2644800034,21.7452846108,24.26,0.939069510456,0.0
7024,7024,-0.35,370.833333333,4367.11635263,20.9210491181,21.957770575,24.2614755949,21.7296979239,24.26,0.939069510456,0.0
7025,7025,-0.3,386.0,4367.11635263,20.9807664059,21.9579653866,24.2603077088,21.7194195561,24.26,0.939069510456,0.0
7026,7026,-0.25,389.5,4367.11635263,21.0328075979,21.9619005064,24.2598657116,21.7119889851,24.26,0.939069510456,0.0
7027,7027,-0.2,393.0,4367.11635263,21.0761310897,21.9662458843,24.2597066127,21.7061318268,24.26,0.939069510456,0.0
7028,7028,-0.15,396.5,4367.11635263,21.1154933275,21.9707318649,24.2596567529,21.7012971044,24.26,0.939069510456,0.0
7029,7029,-0.1,400.0,4367.11635263,21.1543358652,21.975756411,24.2596476694,21.6972239924,24.26,0.939069510456,0.0
7030,7030,-0.05,403.5,4367.11635263,21.193616278,21.9815034839,24.2596535,21.6937447894,24.26,0.939069510456,0.0
7031,7031,0.0,407.0,4367.11635263,21.232890451,21.9879004468,24.2596644828,21.690725277,24.26,0.939069510456,0.0
7032,7032,0.0916666666667,410.5,4048.28665824,21.2388020751,21.9631199398,24.5910685284,21.6627549292,24.64,0.939069510456,0.0
7033,7033,0.183333333333,414.0,4048.28665824,21.2579352898,21.9295702903,24.6338734404,21.6204322874,24.64,0.939069510456,0.0
7034,7034,0.275,417.5,4048.28665824,21.2949108046,21.9051990303,24.6379748972,21.5806325962,24.64,0.939069510456,0.0
7035,7035,0.366666666667,421.0,4048.28665824,21.3380066863,21.8930093798,24.6392688356,21.550987469,24.64,0.939069510456,0.0
7036,7036,0.458333333333,424.5,4048.28665824,21.379335443,21.888673215,24.6396502153,21.5308927862,24.64,0.939069510456,0.0
7037,7037,0.55,428.0,4048.28665824,21.418263131,21.8881686299,24.639757652,21.5170777942,24.64,0.939069510456,0.0
7038,7038,0.641666666667,408.5,4048.28665824,21.4408509299,21.8864473999,24.639788934,21.5067253243,24.64,0.939069510456,0.0
7039,7039,0.733333333333,389.0,4048.28665824,21.441996667,21.8810408646,24.6398014159,21.4982348319,24.64,0.939069510456,0.0
7040,7040,0.825,369.5,4048.28665824,21.4140560842,21.8684798087,24.6398088953,21.4908849285,24.64,0.939069510456,0.0
7041,7041,0.916666666667,350.0,4048.28665824,21.369317095,21.8511264123,24.6398132664,21.4843733015,24.64,0.939069510456,0.0
7042,7042,1.00833333333,330.5,4048.28665824,21.3199067628,21.8319975746,24.6398166999,21.4785372696,24.64,0.939069510456,0.0
7043,7043,1.1,311.0,4048.28665824,21.26916735,21.8122692034,24.6398193673,21.4732384242,24.64,0.939069510456,0.0
7044,7044,1.1,291.5,4048.28665824,21.2163859843,21.7922648831,24.4716654252,21.4684270852,24.39,0.939069510456,0.0
7045,7045,1.1,272.0,4048.28665824,21.144555879,21.7678324211,24.4161106059,21.4639719878,24.39,0.939069510456,0.0
7046,7046,1.1,252.5,4048.28665824,21.0532519505,21.7382388587,24.3983222781,21.4595990265,24.39,0.939069510456,0.0
