,Unnamed: 0,tout,m,gas,q,dt
4117,4117,22.56666667,0.111357,15669.4477,-9962.056861027488,-21.30012752
4118,4118,22.75,0.109107,15334.52228,-9747.923528637126,-21.272092290000003
4119,4119,22.93333333,0.108195,15191.9761,-9654.677871182192,-21.24620201
4120,4120,23.11666667,0.10599000000000001,14877.67708,-9447.227713890541,-21.22219013
4121,4121,23.3,0.104359,14620.02568,-9292.020183660314,-21.19976004
4122,4122,23.48333333,0.102,14280.26841,-9073.219745519997,-21.179317799999996
4123,4123,23.66666667,0.09914400000000001,13870.67067,-8811.242940020975,-21.16028187
4124,4124,23.85,0.095381,13330.21756,-8470.091618632643,-21.14350322
4125,4125,24.03333333,0.09357599999999999,13061.45194,-8304.065198489088,-21.12890464
4126,4126,24.21666667,0.088031,12293.15059,-7807.148861030148,-21.11579974
4127,4127,24.4,0.083841,11686.93179,-7431.8197926116345,-21.10519797
4128,4128,24.5,0.188410351,26247.5459,-16673.719285771473,-21.070674420000003
4129,4129,24.6,0.188331979,26164.5271,-16620.26192226664,-21.011860230000003
4130,4130,24.7,0.187604095,25990.0421,-16512.25647067434,-20.95631034
4131,4131,24.8,0.186623,25805.06633,-16387.721727959022,-20.907597170000006
4132,4132,24.9,0.182843,25229.4313,-16023.539524943744,-20.86559758
4133,4133,25.0,0.17857,24588.61555,-15621.821284429925,-20.82926168
4134,4134,25.1,0.175798,24160.05079,-15355.00409815873,-20.79633077
4135,4135,25.2,0.171483,23553.12198,-14956.765909119218,-20.766692560000006
4136,4136,25.3,0.16653900000000002,22850.11425,-14506.603756160923,-20.739606190000003
4137,4137,25.4,0.159572,21855.16915,-13883.888087401077,-20.71596295
4138,4138,25.5,0.15603899999999998,21351.16793,-13562.687269145195,-20.69489842
4139,4139,25.6,0.150573,20579.81485,-13075.700318873389,-20.67609718
4140,4140,25.78333333,0.161804,22100.15137,-14042.992588895591,-20.66432019
4141,4141,25.96666667,0.15984600000000002,21828.46541,-13870.113655307361,-20.65993527
4142,4142,26.15,0.15527800000000005,21197.91718,-13472.721930615366,-20.658373600000004
4143,4143,26.33333333,0.14978,20442.32596,-12995.47529639352,-20.65803702
4144,4144,26.51666667,0.14135899999999998,19306.9189,-12266.537205977336,-20.66089953
4145,4145,26.7,0.13633900000000002,18624.98943,-11834.029845573137,-20.66632551
4146,4146,26.88333333,0.13123200000000002,17930.66191,-11395.042588927874,-20.67411438
4147,4147,27.06666667,0.126432,17277.67957,-10983.511365378048,-20.68401792
4148,4148,27.25,0.121608,16626.86718,-10570.234312014049,-20.69536918
4149,4149,27.43333333,0.118038,16152.64386,-10266.07160275376,-20.70776159
4150,4150,27.61666667,0.111927499,15343.05808,-9741.044661965854,-20.72141671
4151,4151,27.8,0.108254,14843.44863,-9427.94673565962,-20.73594715
4152,4152,27.89166667,0.10265899999999999,14085.43929,-8947.019451857635,-20.75066703
4153,4153,27.98333333,0.099517,13660.57374,-8679.37772950479,-20.76548235
4154,4154,28.075,0.094042,12912.67032,-8207.736466319206,-20.78032122
4155,4155,28.16666667,0.091446,12561.29749,-7987.198442320443,-20.796031700000007
4156,4156,28.25833333,0.088344,12152.98018,-7722.541152016994,-20.812961540000003
4157,4157,28.35,0.084226386,11613.06646,-7369.020716041427,-20.83110561
4158,4158,28.44166667,0.080815,11137.35989,-7077.1213942732775,-20.85044736
4159,4159,28.53333333,0.077,10629.09167,-6749.587778934001,-20.87071051
4160,4160,28.625,0.07338700000000001,10134.65486,-6439.382514784084,-20.89179709
4161,4161,28.71666667,0.071393,9873.279625,-6270.866623446641,-20.91330357
4162,4162,28.80833333,0.06585741,9109.131587,-5790.780986191685,-20.93549348
4163,4163,28.9,0.06275399999999999,8703.535564,-5523.910348620133,-20.958293490000006
4164,4164,29.04166667,0.059638,8285.117793000001,-5255.407008581858,-20.981377360000003
4165,4165,29.18333333,0.057335000000000004,7655.714234,-5058.002948327281,-21.004385040000006
4166,4166,29.325,0.05410799999999999,5845.185342,-4778.549953387055,-21.02738946
4167,4167,29.46666667,0.052599,7047.99036,-4650.145495606548,-21.04940206
4168,4168,29.60833333,0.049069,5315.708487,-4342.674342406847,-21.07175776
4169,4169,29.75,0.048659,6210.44366,-4310.917016242746,-21.09391507
4170,4170,29.89166667,0.045673000000000005,4962.386953,-4050.584951561274,-21.11586689
4171,4171,30.03333333,0.045987,6176.3544200000015,-4082.509321197048,-21.13697412
4172,4172,30.175,0.043341000000000005,4712.197225,-3851.489197722474,-21.15828517
4173,4173,30.31666667,0.044549,4851.488312,-3962.8408036198384,-21.17967911
4174,4174,30.45833333,0.043592,4747.1475329999985,-3881.599583044848,-21.200917070000006
4175,4175,30.6,0.043039,6032.350035,-3836.160007265713,-21.221948240000003
4176,4176,30.69166667,0.043345000000000015,5107.235427000001,-3867.2329111697413,-21.24281326
4177,4177,30.78333333,0.043672,4776.587801,-3900.21076822608,-21.2635467
4178,4178,30.875,0.043512,4757.341904999998,-3889.6792798832644,-21.28410816
4179,4179,30.96666667,0.04415999999999999,6221.251392,-3951.38691085824,-21.30449292
4180,4180,31.05833333,0.043557,5619.761045,-3901.152991982652,-21.32483758
4181,4181,31.15,0.044479999999999985,5244.007879,-3987.573366819839,-21.34492424
4182,4182,31.24166667,0.044461,4885.08911,-3989.651300526528,-21.36517344
4183,4183,31.33333333,0.045454395,5384.913354,-4082.588470314707,-21.38505801
4184,4184,31.425,0.044368000000000005,4891.9824549999985,-3988.74535468752,-21.40509545
4185,4185,31.51666667,0.044653000000000005,4917.408774,-4018.136228182609,-21.42519208
4186,4186,31.60833333,0.045415,5444.322504,-4090.40126072802,-21.44456814
4187,4187,31.7,0.044312,4887.439297999998,-3994.732321097953,-21.46431538
4188,4188,31.7,0.045542,5031.188704,-4109.424021225264,-21.48421876
4189,4189,31.7,0.045834,5614.9006439999985,-4139.610518840832,-21.50415744
4190,4190,31.7,0.046829,6664.949653,-4233.4066989597195,-21.52414051
4191,4191,31.7,0.048233,5750.541824,-4364.376557701272,-21.54411452
4192,4192,31.7,0.049633,5499.810034,-4495.204844226263,-21.56401724
4193,4193,31.7,0.050222,6865.521169,-4552.744381002889,-21.583902620000003
4194,4194,31.7,0.051006,6663.028205,-4628.048504198112,-21.60366056
4195,4195,31.7,0.052613,5862.786868,-4778.198424128977,-21.623292560000003
4196,4196,31.7,0.054513000000000006,7809.6034709999985,-4955.204591121204,-21.64273874
4197,4197,31.7,0.0553,7612.002020999998,-5031.168195471601,-21.66179366
4198,4198,31.7,0.0572,8205.583585,-5208.5237260056,-21.68050169
4199,4199,31.7,0.058596,8415.916234,-5340.16069121052,-21.69886735
4200,4200,31.7,0.017783,1987.143358,-1621.862364188262,-21.71499217
4201,4201,31.7,0.01782,1991.652826,-1626.2904604438793,-21.72906927
4202,4202,31.7,0.018363,2056.014607,-1676.9419331071679,-21.74328208
4203,4203,31.7,0.019038,2126.612199,-1739.7167143638242,-21.75744644
4204,4204,31.7,0.020419999999999997,2497.758437,-1867.1959824806406,-21.771325760000003
4205,4205,31.7,0.020630000000000003,2308.737564,-1887.6665838899398,-21.78596339
4206,4206,31.7,0.02288,3294.536704,-2094.96920496864,-21.80079509
4207,4207,31.7,0.02358,2642.113142,-2160.5568637917604,-21.81587366
4208,4208,31.7,0.025467000000000004,3682.472609,-2335.0199303192585,-21.83049147
4209,4209,31.7,0.026629000000000003,3845.699474,-2443.2233249061537,-21.84535053
4210,4210,31.7,0.028117000000000003,4065.899525,-2581.5060672402965,-21.86023764
4211,4211,31.7,0.02939,4253.162979,-2700.2412755325,-21.87528375
4212,4212,31.74166667,0.003697,416.0622428,-339.813352240152,-21.884755480000006
4213,4213,31.78333333,0.003655,411.3898423,-336.01501684863,-21.88880313
4214,4214,31.825,0.004640999999999999,523.0710994,-426.7446961000859,-21.89310063
4215,4215,31.86666667,0.0049380000000000005,555.7396516,-454.153474673892,-21.89788977
4216,4216,31.90833333,0.006137999999999999,691.7952301,-564.6504037565161,-21.90299321
4217,4217,31.95,0.006588499999999999,743.0391568,-606.248257535928,-21.908601840000006
4218,4218,31.99166667,0.008017700000000001,904.0843994,-737.9616805072638,-21.91465907
4219,4219,32.03333333,0.0086491,975.9410525,-796.3077733486681,-21.9210194
4220,4220,32.075,0.0096786,1091.865754,-891.3609469120609,-21.92763384
4221,4221,32.11666667,0.0106196,1200.089674,-978.3300902621232,-21.93451126
4222,4222,32.15833333,0.01170327,1325.715738,-1078.5087435946948,-21.9415425
4223,4223,32.2,0.0131131,1660.197847,-1208.8166710541925,-21.94854711
4224,4224,32.2,0.0138,1908.005049,-1272.5553517236,-21.95575141
4225,4225,32.2,0.0148,2148.496009,-1365.2208252983999,-21.96301199
4226,4226,32.2,0.015700324999999998,1987.561968,-1448.749003702747,-21.97026106
4227,4227,32.2,0.0166,2418.634365,-1532.2571572979998,-21.97729715
4228,4228,32.2,0.0169,2454.4800760000007,-1560.4519120553998,-21.98438873
4229,4229,32.2,0.018000000000000002,2618.943995,-1662.5525169960001,-21.99143541
4230,4230,32.2,0.018900306999999998,2748.45949,-1746.2520707137262,-21.99828302
4231,4231,32.2,0.0195,2831.146819,-1802.212267401,-22.00503379
4232,4232,32.2,0.0208,3028.006894,-1922.9326255776,-22.01159141
4233,4233,32.2,0.0212,3087.416344,-1960.4798431176,-22.01796769
4234,4234,32.2,0.0224,3255.127713,-2072.0281192127995,-22.02410841
4235,4235,32.2,0.0232,3373.11604,-2146.5998061648,-22.02996517
4236,4236,31.96666667,0.0216,3139.71281,-1999.0955080656,-22.03588523
4237,4237,31.73333333,0.0224,3257.769227,-2073.7067811264,-22.041951330000003
4238,4238,31.5,0.0232,3375.845795,-2148.33504984,-22.0477735
4239,4239,31.26666667,0.024,3502.724332,-2222.971952544,-22.05329318
4240,4240,31.03333333,0.0249,3635.501082,-2306.8865453004,-22.05858238
4241,4241,30.8,0.0253,3683.2501,-2344.478211444601,-22.063600710000006
