,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
1735,1735,-2.96666666667,0.0,910.589141162,24.4916449078,24.4895860952,24.491794247,24.489702685,23.9332596168,24.49,4.80537793874,118584.295839
1736,1736,-2.925,0.0,910.589141162,24.4889842984,24.4906941544,24.491459071,24.4895780582,23.9304271926,24.49,4.79457526949,118057.811961
1737,1737,-2.88333333333,0.0,910.589141162,24.4886417761,24.4910937285,24.4908412539,24.4900275076,23.9270613086,24.49,4.82677306692,118828.957576
1738,1738,-2.84166666667,0.0,910.589141162,24.4886381114,24.4885568888,24.4916499731,24.4905447424,23.9233026038,24.49,4.82664149261,118827.825108
1739,1739,-2.8,0.0,910.589141162,24.4916271354,24.4891962445,24.4902547614,24.4897156726,23.9192433232,24.49,4.83597529148,119336.305526
1740,1740,-2.8,0.0,910.589141162,24.0350157153,24.0413808079,24.0429041474,24.0433378642,23.9505506885,24.03,4.64380563731,140812.386698
1741,1741,-2.8,0.0,910.589141162,24.0288379772,24.0328372122,24.0307657225,24.0306920385,23.9181215083,24.03,5.00445015213,123286.665762
1742,1742,-2.8,0.0,910.589141162,24.0296853757,24.0294789195,24.0293749526,24.0299818971,23.8563060118,24.03,3.62238856394,89234.8645992
1743,1743,-2.8,0.0,910.589141162,24.0283343506,24.0308810768,24.0311341872,24.0296800085,23.8018747453,24.03,3.94248772364,97067.520796
1744,1744,-2.8,0.0,910.589141162,24.0288790535,24.0306966466,24.0303442276,24.0301899491,23.7666403995,24.03,3.97407959431,97839.9324179
1745,1745,-2.8,0.0,910.589141162,24.0303789191,24.0299195174,24.0298525147,24.02968114,23.7467214553,24.03,3.98042607583,98130.4417479
1746,1746,-2.8,0.0,910.589141162,24.0294980731,24.0302566452,24.0317593335,24.0300226538,23.7352743262,24.03,3.98686401579,98202.1459724
1747,1747,-2.8,0.0,910.589141162,24.0287707036,24.0285424256,24.0316965226,24.0298423435,23.7276597392,24.03,4.00783314977,98654.8999069
1748,1748,-2.8,0.0,910.589141162,24.0295198509,24.0311756714,24.0282935305,24.0299769891,23.7215959678,24.03,4.01880970365,98996.3195255
1749,1749,-2.8,0.0,910.589141162,24.031416179,24.0292356878,24.0312089559,24.0302198688,23.7163738636,24.03,4.02242581212,99254.858833
1750,1750,-2.8,0.0,910.589141162,24.0314131714,24.0305055423,24.0300440793,24.0303707898,23.7118407141,24.03,4.02303610752,99261.6586856
1751,1751,-2.8,0.0,910.589141162,24.0293930994,24.0277877442,24.029024451,24.0304233716,23.7078745584,24.03,4.03676823395,99415.000877
1752,1752,-2.89166666667,0.0,910.589141162,24.2377543082,24.2311123299,24.2288187003,24.2448650779,23.7058134206,24.25,5.24028587431,129098.740349
1753,1753,-2.98333333333,0.0,910.589141162,24.2479384509,24.2479850838,24.2469709518,24.2498381237,23.7220925998,24.25,4.00937904928,98678.2914093
1754,1754,-3.075,0.0,910.589141162,24.2490349844,24.2488725297,24.2505584865,24.2504055363,23.7439429786,24.25,4.60844928914,113487.616471
1755,1755,-3.16666666667,0.0,910.589141162,24.2500566371,24.2481774242,24.2508767144,24.2502810692,23.7610874634,24.25,4.47726787251,110341.024666
1756,1756,-3.25833333333,0.0,910.589141162,24.2501213919,24.2494952193,24.251683593,24.2504751342,23.7716376,24.25,4.46188793082,109956.208868
1757,1757,-3.35,0.0,910.589141162,24.2482408899,24.2516177488,24.2527959114,24.2501406531,23.7776402375,24.25,4.45942455168,109718.990833
1758,1758,-3.44166666667,0.0,910.589141162,24.2516929072,24.2502030468,24.2497236703,24.2500679178,23.7814012649,24.25,4.46622439058,110212.588193
1759,1759,-3.53333333333,0.0,910.589141162,24.2516728491,24.2508615854,24.2494984775,24.2500350243,23.7841409591,24.25,4.43620635677,109455.845667
1760,1760,-3.625,0.0,910.589141162,24.2503604673,24.2526344136,24.250878598,24.2497982957,23.7864243854,24.25,4.44553021781,109560.804233
1761,1761,-3.71666666667,0.0,910.589141162,24.249964533,24.2479151404,24.2518415153,24.2499313502,23.7884515844,24.25,4.44791882504,109587.742859
1762,1762,-3.80833333333,0.0,910.589141162,24.250591194,24.2481633683,24.2518275255,24.2500207198,23.7902609308,24.25,4.4435034426,109537.544453
1763,1763,-3.9,0.0,910.589141162,24.2515668363,24.2510926318,24.2511953902,24.2504208225,23.7918966248,24.25,4.4370098759,109463.610458
1764,1764,-3.80833333333,0.0,910.589141162,24.2328547344,24.2318696204,24.2332897304,24.2301658662,23.7895568325,24.23,4.37192951019,107890.153803
1765,1765,-3.71666666667,0.0,910.589141162,24.2311528421,24.2312320599,24.2311313781,24.2300333864,23.7808849216,24.23,4.53481455449,111817.513763
1766,1766,-3.625,0.0,910.589141162,24.2312227156,24.2319339703,24.2324783048,24.2299018652,23.7680660595,24.23,4.53328486416,111802.807335
1767,1767,-3.53333333333,0.0,910.589141162,24.2299582438,24.2304186592,24.23075446,24.2304754676,23.7535582382,24.23,4.58892423533,113053.785429
1768,1768,-3.44166666667,0.0,910.589141162,24.2285124754,24.2281031786,24.2293967727,24.2296411404,23.7385588562,24.23,4.64508200295,114309.571585
1769,1769,-3.35,0.0,910.589141162,24.2299660428,24.2290693954,24.2305058125,24.2304593309,23.723369129,24.23,4.69610722677,115709.274164
1770,1770,-3.25833333333,0.0,910.589141162,24.2296361144,24.22803323,24.230170315,24.2298645566,23.7081143483,24.23,4.72964648913,116499.559426
1771,1771,-3.16666666667,0.0,910.589141162,24.2308403873,24.2285775645,24.2305291261,24.2300796546,23.69279238,24.23,4.7824047722,117912.663764
1772,1772,-3.075,0.0,910.589141162,24.2302287793,24.2321079329,24.2326645939,24.2298947272,23.6774404099,24.23,4.81765006532,118719.971399
1773,1773,-2.98333333333,0.0,910.589141162,24.2315273582,24.2324031625,24.232806637,24.2297632271,23.6621623926,24.23,4.86917369265,120113.314825
1774,1774,-2.89166666667,0.0,910.589141162,24.2312486143,24.2285489822,24.2299967281,24.2300764352,23.6469220485,24.23,4.90190552183,120889.337486
1775,1775,-2.8,0.0,910.589141162,24.2286235175,24.2291548935,24.2319579002,24.2295767359,23.6316744962,24.23,4.95073901416,121849.080611
1776,1776,-2.8,0.0,910.589141162,24.2504939957,24.2481438758,24.2460715981,24.2496915144,23.6209671693,24.25,5.04948729293,124568.416448
1777,1777,-2.8,0.0,910.589141162,24.2489817882,24.2496276695,24.2503222586,24.250166428,23.6171928096,24.25,4.88668836174,120318.413985
1778,1778,-2.8,0.0,910.589141162,24.2499237464,24.2485826764,24.2515910731,24.2495850796,23.6180709271,24.25,4.94077827728,121734.372753
1779,1779,-2.8,0.0,910.589141162,24.2487426977,24.2500217845,24.249713574,24.2499449679,23.6209054132,24.25,4.88852228094,120337.418045
1780,1780,-2.8,0.0,910.589141162,24.2507810157,24.2475658156,24.2515762307,24.2499776076,23.6243883327,24.25,4.87375996821,120167.267145
1781,1781,-2.8,0.0,910.589141162,24.2482200117,24.2482273464,24.2520086251,24.2500551956,23.6282057836,24.25,4.83160840448,118881.217858
1782,1782,-2.8,0.0,910.589141162,24.2485339117,24.2513386528,24.2485062523,24.2499137878,23.6323348857,24.25,4.82856591935,118845.725274
1783,1783,-2.8,0.0,910.589141162,24.2494284357,24.2526983438,24.2487218237,24.2500338663,23.6367669404,24.25,4.79170639019,118020.910377
1784,1784,-2.8,0.0,910.589141162,24.2490737889,24.2513988341,24.2480615169,24.2500179301,23.6415238981,24.25,4.76392077969,117298.287896
1785,1785,-2.8,0.0,910.589141162,24.2519786805,24.2484636316,24.2507391894,24.2502505395,23.6465028565,24.25,4.74332550406,117062.290574
1786,1786,-2.8,0.0,910.589141162,24.2496806965,24.2504486929,24.2510332364,24.2502931759,23.6516075618,24.25,4.69904179315,115744.605278
1787,1787,-2.8,0.0,910.589141162,24.2498961926,24.2525081636,24.250357411,24.2499167356,23.6568818672,24.25,4.69682423256,115718.554701
1788,1788,-2.8,0.0,910.589141162,24.2133808873,24.2109608883,24.215079234,24.2110252733,23.6619212947,24.21,4.43667833148,109464.279235
1789,1789,-2.8,0.0,910.589141162,24.2111020402,24.209914441,24.2112454827,24.2103827533,23.6640691152,24.21,4.62844071631,114117.901423
1790,1790,-2.8,0.0,910.589141162,24.2114616022,24.2089860944,24.2088158401,24.2099970649,23.6653841716,24.21,4.49995957462,111012.287404
