,tout,m,gas,q,dt
29,-11.4,10.977806776,481433.7544,-403664.45575503533,-8.754989649999999
30,-11.35,11.062996474,485147.1228,-406886.2864202138,-8.756912059999998
31,-11.3,11.053196738999999,484747.1907,-406464.34041326103,-8.75558684
32,-11.25,10.915958778999999,477780.2899,-400739.521013149,-8.740796260000003
33,-11.2,10.990047731,481280.9817,-403527.8214133832,-8.74227802
34,-11.15,10.930627518999998,478767.2272,-401293.7644442911,-8.741138990000003
35,-11.1,10.923677884000002,477747.70200000005,-400658.9706548916,-8.732863969999997
36,-11.1,10.895466763000002,476205.5599,-399390.56263279304,-8.727757439999998
37,-11.1,10.857942768,473873.0191,-397524.90130296134,-8.71700911
38,-11.1,11.042943827,482955.4094,-405062.59795899224,-8.733493279999998
39,-11.1,10.873217754,475648.1956,-398814.7399114213,-8.73300734
40,-11.1,10.954427848,479521.359,-402089.0611518842,-8.739433230000003
41,-11.1,10.959967261999997,479876.1445,-402396.56026058074,-8.741696259999998
42,-11.1,11.007280426,482388.9931,-404471.5460598726,-8.74900478
43,-11.1,10.846623086,474330.2667,-397794.51574497006,-8.732024629999998
44,-11.1,10.978359635999999,480898.4294,-403014.0306440357,-8.740442539999997
45,-11.1,11.064792283,484974.3792,-406773.495845871,-8.753063760000003
46,-11.1,11.067817215000002,485598.0697,-407215.8803494163,-8.760188220000003
47,-11.1,10.989194582,482240.2288,-404254.38190360845,-8.758698610000003
48,-11.05833333,10.850088996999999,474734.2636,-398192.38450855593,-8.73796617
49,-11.01666667,11.014935741,482392.1967,-404527.51176953927,-8.744134010000003
50,-10.975,10.954402001,480121.7606,-402486.3618973618,-8.748089229999998
51,-10.93333333,10.900648415000001,476727.0281,-399788.8889238978,-8.732309039999997
52,-10.89166667,11.064686081,484406.4511,-406237.28446788434,-8.741609320000002
53,-10.85,10.858199883,474335.2973,-397827.85036407347,-8.723445669999997
54,-10.80833333,11.013760942000001,481522.4124,-403797.1573326459,-8.729277930000002
55,-10.76666667,10.900582963999996,476866.7675,-399606.297444361,-8.728373230000003
56,-10.725,10.899515427999999,475846.2171,-399031.79145384434,-8.716678279999996
57,-10.68333333,10.942181133,477949.9518,-400675.66502999427,-8.718459940000002
58,-10.64166667,10.822704648,471707.2703,-395588.6251123339,-8.702793890000002
59,-10.6,10.979245430999999,478920.5569,-401643.0874469671,-8.710007179999998
60,-10.6,10.803511452,470207.425,-394397.2691802722,-8.691999090000003
61,-10.6,10.996014127999999,479425.4707,-402084.3012048978,-8.706278140000002
62,-10.6,11.025585822999998,481416.7905,-403732.9540409806,-8.718529369999999
63,-10.6,10.920214376,476626.1403,-399669.99005659384,-8.714070820000003
64,-10.6,10.620050995,466407.6557,-387053.3285808412,-8.677505830000001
65,-10.6,11.028566289999999,480474.1888,-403020.34897237614,-8.700788789999997
66,-10.6,10.988761153999999,479858.2729,-402392.37556082814,-8.718699690000001
67,-10.6,10.953992167000001,478405.42100000003,-401108.72688644554,-8.718472349999999
68,-10.6,11.000567016,480600.1336,-402964.5010778486,-8.721725769999999
69,-10.6,10.516619910000001,464575.482,-382497.84471778246,-8.659713500000002
70,-10.6,10.984574846,478327.4115,-401149.50971952686,-8.695082820000003
71,-10.6,10.897827247999999,474999.2963,-398389.01556157967,-8.703985240000002
