,z0,tout,s,i,t1,t2,sp0,m,rh
1755,23.8677844109,-3.16666666667,0.0,8075.34156938,23.8677844109,24.2501109025,24.25,0.0,0.0
1756,23.864371901,-3.25833333333,0.0,8075.34156938,23.864371901,24.2498346109,24.25,0.0,0.0
1757,23.8609848638,-3.35,0.0,8075.34156938,23.8609848638,24.2504765318,24.25,0.0,0.0
1758,23.8576233957,-3.44166666667,0.0,8075.34156938,23.8576233957,24.250287094,24.25,0.0,0.0
1759,23.8542875082,-3.53333333333,0.0,8075.34156938,23.8542875082,24.2501731184,24.25,0.0,0.0
1760,23.8509764021,-3.625,0.0,8075.34156938,23.8509764021,24.250394688,24.25,0.0,0.0
1761,23.8476888082,-3.71666666667,0.0,8075.34156938,23.8476888082,24.2503932127,24.25,0.0,0.0
1762,23.8444230778,-3.80833333333,0.0,8075.34156938,23.8444230778,24.2502274711,24.25,0.0,0.0
1763,23.841177676,-3.9,0.0,8075.34156938,23.841177676,24.2503115427,24.25,0.0,0.0
1764,23.8379510996,-3.80833333333,0.0,8075.34156938,23.8379510996,24.2308992783,24.23,0.0,0.0
1765,23.8347421418,-3.71666666667,0.0,8075.34156938,23.8347421418,24.2295618633,24.23,0.0,0.0
1766,23.8315496479,-3.625,0.0,8075.34156938,23.8315496479,24.2300205179,24.23,0.0,0.0
1767,23.8283726274,-3.53333333333,0.0,8075.34156938,23.8283726274,24.2304846871,24.23,0.0,0.0
1768,23.825210041,-3.44166666667,0.0,8075.34156938,23.825210041,24.2302341515,24.23,0.0,0.0
1769,23.8220611065,-3.35,0.0,8075.34156938,23.8220611065,24.2299279383,24.23,0.0,0.0
1770,23.8189251744,-3.25833333333,0.0,8075.34156938,23.8189251744,24.229611468,24.23,0.0,0.0
1771,23.8158019122,-3.16666666667,0.0,8075.34156938,23.8158019122,24.2296037222,24.23,0.0,0.0
1772,23.8126910443,-3.075,0.0,8075.34156938,23.8126910443,24.2296934347,24.23,0.0,0.0
1773,23.8095924741,-2.98333333333,0.0,8075.34156938,23.8095924741,24.2304782327,24.23,0.0,0.0
1774,23.8065060537,-2.89166666667,0.0,8075.34156938,23.8065060537,24.2298619268,24.23,0.0,0.0
1775,23.8034317528,-2.8,0.0,8075.34156938,23.8034317528,24.2294753683,24.23,0.0,0.0
1776,23.8003695823,-2.8,0.0,8075.34156938,23.8003695823,24.248606584,24.25,0.0,0.0
1777,23.7973195722,-2.8,0.0,8075.34156938,23.7973195722,24.2497374534,24.25,0.0,0.0
1778,23.7942816224,-2.8,0.0,8075.34156938,23.7942816224,24.2499213563,24.25,0.0,0.0
1779,23.7912558144,-2.8,0.0,8075.34156938,23.7912558144,24.2504513757,24.25,0.0,0.0
1780,23.7882422503,-2.8,0.0,8075.34156938,23.7882422503,24.2500722827,24.25,0.0,0.0
