,t1,w1,i,s,tout,hsp,m0,csp0
31,23.4496403795402,24.151004968285466,0.0,0.0,16.5,15.6,8.76493794727949,0.0
32,23.4787385030587,24.106990214585636,0.0,0.0,16.475,15.6,5.23580631656933,0.0
33,23.484968571603602,24.116464863562996,0.0,0.0,16.45,15.6,4.28928075658274,0.0
34,23.402900706291398,24.131502378384184,0.0,0.0,16.425,15.6,9.13889037362167,0.0
35,23.379622209807405,24.07298402124622,0.0,0.0,16.4,15.6,5.879791676254441,0.0
36,23.3962214082164,24.06924957388425,0.0,0.0,16.375,15.6,4.96516065111259,0.0
37,23.461263437838998,24.08397808342683,0.0,0.0,16.35,15.6,4.0135086584428,0.0
38,23.536020358021197,24.118942760816886,0.0,0.0,16.325,15.6,4.9099874677895405,0.0
39,23.5885219981546,24.143204564239262,0.0,0.0,16.3,15.6,4.0135086584428,0.0
40,23.6330804527815,24.171710799327432,0.0,0.0,16.275,15.6,4.72208509480982,0.0
41,23.6409663869628,24.188741923803068,0.0,0.0,16.25,15.6,6.85989258239711,0.0
42,23.611581228118897,24.173463105044206,0.0,0.0,16.225,15.6,5.454838011261491,0.0
43,23.601959866477102,24.17047622148527,0.0,0.0,16.2,15.6,5.36099724848488,0.0
44,23.606976656039,24.166866435857585,0.0,0.0,16.175,15.6,4.0135086584428,0.0
45,23.6150362623316,24.17737633352985,0.0,0.0,16.15,15.6,4.75050564848157,0.0
46,23.6244753876997,24.181361971420408,0.0,0.0,16.125,15.6,4.0937864082105,0.0
47,23.6165093242343,24.18824754403214,0.0,0.0,16.1,15.6,4.889115204597321,0.0
48,23.625122883046398,24.196183545782265,0.0,0.0,16.1,20.0,4.19963832161882,0.0
49,23.6457577331208,24.210968730689295,0.0,0.0,16.1,20.0,5.08294125863859,0.0
50,23.643228913145,24.21528393359406,0.0,0.0,16.1,20.0,4.3511387110943,0.0
51,23.660301405144402,24.223856219959945,0.0,0.0,16.1,20.0,4.89970650474885,0.0
52,23.6775390302179,24.22992152078073,0.0,10.0833333333333,16.1,20.0,4.16229124293103,0.0
53,23.652680723707398,24.243277242214894,0.0,11.0,16.1,20.0,8.21801219753674,0.0
54,23.6424843756435,24.19585325503726,0.0,13.916666666666698,16.1,20.0,4.01350865844279,0.0
55,23.6352661262048,24.20650546895676,0.0,16.8333333333333,16.1,20.0,5.01811930862175,0.0
56,23.638044731124502,24.207575209839206,0.0,19.75,16.1,20.0,4.27591790402664,0.0
57,23.648537285893504,24.216576845905845,0.0,22.6666666666667,16.1,20.0,4.73763808768764,0.0
58,23.636414210973,24.225218423676676,0.0,25.5833333333333,16.1,20.0,7.23282408188795,0.0
59,23.634957006823,24.202674929924633,0.0,28.5,16.1,20.0,4.91452419942615,0.0
60,23.646455938484102,24.21144028754373,0.0,31.4166666666667,16.1,21.0,4.0135086584428,0.0
61,23.6983663298531,24.233567978652253,0.0,34.3333333333333,16.1,21.0,4.0135086584428,0.0
62,23.686784219594603,24.26152148717432,0.0,37.25,16.1,21.0,7.3537074986654405,0.0
63,23.660012524636898,24.237165840138484,0.0,40.1666666666667,16.1,21.0,4.0135086584428,0.0
64,23.6660350250776,24.228769033360845,0.0,43.0833333333333,16.1,21.0,4.07413655352502,0.0
65,23.6784487253898,24.2476857002292,0.0,46.0,16.1,21.0,4.25549138211627,0.0
66,23.700306803404697,24.262645109071958,0.0,55.1666666666667,16.1,21.0,4.01350865844279,0.0
67,23.755625659286398,24.279610102719733,0.0,64.3333333333333,16.1,21.0,4.56958720567717,0.0
68,23.7492764580318,24.299205184558655,0.0,73.5,16.1,21.0,5.0208992090848,0.0
69,23.751869823617202,24.308567913366627,0.0,82.6666666666667,16.1,21.0,4.05042129684852,0.0
70,23.74099591859,24.33110610823866,0.0,91.8333333333333,16.1,21.0,9.903615112066788,0.0
71,23.7332714449067,24.275486050790214,0.0,101.0,16.1,21.0,4.0135086584428,0.0
