,t41,t42,t43,t44,t45,t5
28,23.6501592489,23.6503704523,23.6508507114,23.6492215425,23.649501233,21.8714544196
29,23.6495257097,23.6518220489,23.6503088772,23.6514455664,23.6508866786,21.8993251424
30,23.6503532988,23.6508972867,23.650543722,23.6508185883,23.6498615671,21.9264292084
31,23.6498226638,23.6490338581,23.6511566253,23.6522776465,23.65031027,21.9526559076
32,23.341225309,23.3380767181,23.3346442883,23.338729837,23.340347259,22.0850976948
33,23.3299282178,23.3301219616,23.3302618131,23.3280406357,23.3305977187,22.0939733588
34,23.3298826681,23.3290718238,23.3293255644,23.3288335422,23.329806274,22.0780026819
35,23.3298323308,23.3314620208,23.3315686651,23.3296924706,23.3297361878,22.0702195567
36,23.3298385939,23.3298462145,23.3311516246,23.3301885215,23.3297405118,22.0818687215
37,23.3298341084,23.3294985941,23.3296615332,23.3305992698,23.3297358605,22.1061328489
38,23.3298368941,23.3297579853,23.3293768905,23.3315705946,23.3297307787,22.1332704163
39,23.3298430079,23.330961105,23.3303991216,23.3302670167,23.329727011,22.1584841258
40,23.3298546358,23.3290272238,23.3310776371,23.3302300251,23.3297231594,22.1801766088
41,23.329862493,23.3299510104,23.3314558849,23.3285552541,23.3297211167,22.1991266861
42,23.3298680042,23.3291687969,23.3305581576,23.3292217476,23.3297187778,22.2160267418
43,23.3298728595,23.3291967506,23.330849224,23.3307056957,23.3297164373,22.2308427907
44,23.7625567427,23.7593187466,23.763131883,23.7569460469,23.763901268,22.2716338112
45,23.7709956807,23.7692475446,23.7711026494,23.7695090125,23.769532374,22.3634437725
46,23.7701664724,23.7707210189,23.7718468042,23.770261175,23.7707103662,22.4142583745
47,23.7704220186,23.7717671527,23.7705379634,23.7704546086,23.7708227896,22.4293819585
48,23.7699460883,23.7713056342,23.7704619766,23.7704244712,23.7702721913,22.4338676492
49,23.7716087039,23.7719200473,23.7711276931,23.7706824684,23.7699551794,22.4407411777
50,23.7695566296,23.7721023968,23.7700182388,23.7698506377,23.7699430318,22.4511024715
51,23.7700746641,23.7712751204,23.7705207158,23.7721301099,23.7700983659,22.4620813427
52,23.7703817722,23.7698982175,23.7715056499,23.7708933239,23.7701901299,22.4718642318
53,23.7694066982,23.7686205679,23.7705154219,23.7686229296,23.7699750123,22.4802127161
54,23.7711409878,23.7704869494,23.7701975902,23.7699518272,23.7708668453,22.4875915384
55,23.7708224182,23.7706370899,23.7695740371,23.7703100057,23.7705127515,22.494725041
56,23.5639322225,23.5676185475,23.5597475726,23.5703063027,23.5634433843,22.5294550869
57,23.5508261466,23.5521613963,23.5511552108,23.5509703689,23.5511094443,22.5113845118
58,23.5494706955,23.5505459685,23.5497319557,23.552408152,23.5496695128,22.4687181498
59,23.551704896,23.5501571992,23.5502979242,23.5515746405,23.5508217469,22.4334294199
60,23.5505637147,23.5520050587,23.5499095985,23.5497222868,23.5498557348,22.4133649002
61,23.5514910172,23.5498449538,23.550630046,23.550848288,23.5504654391,22.4024561797
62,23.5502906342,23.549136083,23.5508748176,23.5524286695,23.5505724827,22.3940040552
63,23.5511692354,23.5506052821,23.5502974825,23.5506408084,23.5502528679,22.3849963312
64,23.5516574723,23.5508647148,23.5516572874,23.5504408069,23.5501095561,22.3753945987
65,23.5507091832,23.5514853996,23.5513045723,23.5517144272,23.5502407161,22.3660413508
66,23.5505306234,23.5510952807,23.5500788712,23.5483814317,23.5506109886,22.3574956336
67,23.5491959554,23.5493410015,23.5514758597,23.5494456218,23.5499369618,22.3498489362
68,23.5311812175,23.5316863259,23.5317479681,23.530202959,23.5308138647,22.3578421615
69,23.5295920448,23.5320638685,23.5295635378,23.5319107691,23.5297332905,22.3621450931
