,b0,b1,b2,b3,b4,b5
97,34.8348408695,35.3657827472,32.5574980764,32.087961844,31.5823071832,-0.0375711247472
98,34.834814033,35.3658034914,32.5574727358,32.0879429659,31.5823095657,-0.0376962882799
99,34.8347945759,35.3664419206,32.5578781879,32.0879314508,31.5823117352,-0.03782266663
100,34.8350783993,35.3664333122,32.5578751464,32.0881457138,31.5823115078,-0.0379627180733
101,34.8350490882,35.3664394099,32.5578496978,32.0881341811,31.5823115977,-0.0381009598559
102,34.8350246934,35.3664454642,32.5578522336,32.088129984,31.5823109655,-0.0382433205318
103,34.835005156,35.3664514773,32.5578324858,32.0881111706,31.5823090604,-0.038392942833
104,34.9231830397,35.4561537071,32.639804604,32.1689896392,31.6625416017,-0.035272534365
105,34.9233594091,35.4558405919,32.640046428,32.1693838271,31.6618368749,-0.0394010628562
106,34.9233862394,35.4560228669,32.6398989534,32.1692746533,31.6621774573,-0.0375665759838
107,34.9233445001,35.4559836127,32.6399165231,32.1692845263,31.6620930484,-0.0381564717416
108,34.9233221039,35.4566229186,32.6398907321,32.1692646407,31.6620870457,-0.0382990956315
109,34.9232948831,35.4566423642,32.6402929365,32.1692592329,31.6620805856,-0.0384443293943
110,34.9232732756,35.4566214639,32.6402763341,32.1692389489,31.6620734524,-0.0384925752075
111,34.9235556373,35.4566431192,32.6402703635,32.1692329059,31.6620651325,-0.0385475908404
112,34.9235293407,35.4566505423,32.6402538114,32.1694449017,31.662056711,-0.0386031859697
113,34.9235077518,35.4566438448,32.6402425628,32.1694459937,31.6620496279,-0.0386511461208
114,34.9234814546,35.4566652837,32.6402260829,32.1694328085,31.6620415894,-0.0387045564753
115,34.9234784174,35.4566585787,32.6402148731,32.1694267632,31.6620331084,-0.0387604908413
116,34.8184818049,35.3479604601,32.5412250226,32.0731747106,31.5671710186,-0.0331584191778
117,34.8185760331,35.34832414,32.5409300133,32.0730104454,31.5675771044,-0.0330570050201
118,34.8184874922,35.3481558109,32.5410478488,32.073054702,31.5674475156,-0.0339194026092
119,34.8184951773,35.3482049416,32.5410234842,32.073041991,31.5674935825,-0.0339194026092
120,34.8185028094,35.3482293308,32.5410074014,32.0730419915,31.5675036421,-0.0339194026092
121,34.8185028089,35.3482049376,32.5410154295,32.0730419926,31.567518619,-0.0339194026092
122,34.8185028082,35.3482293242,32.5410074063,32.0730419941,31.567518619,-0.0339194026092
123,34.8185028074,35.3482293203,32.5410154351,32.0730356596,31.5675285311,-0.0339194026092
124,34.8185028067,35.3482293166,32.541007412,32.073041997,31.5675383869,-0.0339194026092
125,34.8185028061,35.3482049231,32.5410154404,32.0730419984,31.5675432942,-0.0339194026092
126,34.8185028055,35.3482293101,32.5410154427,32.0730483484,31.5675481879,-0.0339194026092
127,34.8184989954,35.3482049174,32.5410235021,32.0730420006,31.5675530683,-0.0339194026092
128,35.1852546393,35.7204679145,32.8814855887,32.4095299179,31.899702692,-0.0339194026092
129,35.1848934632,35.7192978957,32.8824544405,32.4100931418,31.8985087524,-0.0339194026092
130,35.1850780399,35.7199086985,32.8819566174,32.4098147979,31.8990909781,-0.0339194026092
131,35.1850499899,35.7198051103,32.8820266045,32.4098482231,31.8989714127,-0.0339194026092
132,35.1850562898,35.7198468115,32.8820385544,32.4098482245,31.898979068,-0.0339194026092
133,35.1850594245,35.7198259997,32.8820147471,32.4098370435,31.8989790678,-0.0339194026092
134,35.1850687727,35.7198675178,32.8820029682,32.4098370455,31.8989790675,-0.0339194026092
