,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
4139,1.1,588.0,0.0,21.7224345027,24.2503497011,24.2494917229,24.2489579555,24.2513379205,24.2502440965,5.14729763644,21.6956864657
4140,1.19166666667,608.666666667,0.0,21.8400291651,23.7612551746,23.7614697925,23.7555648249,23.7638422966,23.7636338643,6.74681245481,21.7744876282
4141,1.28333333333,629.333333333,0.0,21.8289927694,23.7500778105,23.7518692238,23.74897583,23.750361922,23.7498325099,5.15074496031,21.8535175765
4142,1.375,650.0,0.0,21.759156676,23.7503364315,23.7493141246,23.749730348,23.7518205872,23.7492456264,5.01075772345,21.8289927694
4143,1.46666666667,670.666666667,0.0,21.7154572109,23.7495573044,23.7506890884,23.749232934,23.7505330145,23.7502319421,5.04381611932,21.759156676
4144,1.55833333333,691.333333333,0.0,21.7162997486,23.7489363986,23.7494488796,23.750229683,23.7509664967,23.749134458,5.04514777137,21.7154572109
4145,1.65,712.0,0.0,21.7431220796,23.7492504528,23.7514116489,23.7507953068,23.7483337839,23.7493403869,5.04478645535,21.7162997486
4146,1.74166666667,721.833333333,0.0,21.7773097341,23.749175787,23.7505026061,23.7504227796,23.7503943668,23.7499911704,5.0450682461,21.7431220796
4147,1.83333333333,731.666666667,0.0,21.8112295314,23.7497135462,23.749049591,23.7497582141,23.7500426515,23.7500351417,5.04551601908,21.7773097341
4148,1.925,741.5,0.0,21.8442984277,23.7500186019,23.7488633636,23.7493556135,23.7490868313,23.7491858678,5.04576904541,21.8112295314
4149,2.01666666667,751.333333333,0.0,21.879293494,23.7499956284,23.7504423987,23.749481753,23.7497541167,23.7507611476,5.08505423543,21.8442984277
4150,2.10833333333,761.166666667,0.0,21.9178204307,23.7499935027,23.7489694723,23.7499484392,23.7474600474,23.7501636698,5.14356681451,21.879293494
4151,2.2,771.0,0.0,21.9584371583,23.7499926393,23.7509148935,23.7503850665,23.7491030808,23.7507187624,5.19325890533,21.9178204307
4152,2.25,780.833333333,0.0,21.9970596579,23.9113072283,23.9079806158,23.909095747,23.905582275,23.9115622628,5.14787389457,21.9584371583
4153,2.3,790.666666667,0.0,22.0591385304,23.9193490056,23.9196559567,23.9200064791,23.9204741649,23.9199332139,5.30162490044,21.9970596579
4154,2.35,800.5,0.0,22.1261060852,23.9199478235,23.9195905274,23.9200361417,23.9210148265,23.9197819524,5.31630924794,22.0591385304
4155,2.4,810.333333333,0.0,22.186074267,23.9199904877,23.918434291,23.9212304396,23.9216596262,23.9198297776,5.38556124271,22.1261060852
4156,2.45,820.166666667,0.0,22.2378874906,23.9199939756,23.9198762813,23.9218998847,23.9210075625,23.9200427578,5.44338063699,22.186074267
4157,2.5,830.0,0.0,22.2849817716,23.9199944451,23.9212706778,23.9204250985,23.9215756884,23.9191352179,5.50164251109,22.2378874906
4158,2.55,834.833333333,0.0,22.32983195,23.9199946866,23.9190845285,23.9199701697,23.9190198785,23.9206584285,5.55234909768,22.2849817716
4159,2.6,839.666666667,0.0,22.3733538633,23.9199949041,23.9203561642,23.9211702578,23.9212886552,23.9207516482,5.59929565204,22.32983195
4160,2.65,844.5,0.0,22.4155588572,23.9199950963,23.9210184358,23.9200669285,23.9211133924,23.9199447645,5.6446426049,22.3733538633
4161,2.7,849.333333333,0.0,22.4561774005,23.9199952585,23.9217477341,23.9192616957,23.9199113662,23.9192933129,5.69055946257,22.4155588572
4162,2.75,854.166666667,0.0,22.4950535907,23.9199953738,23.9220288513,23.9198589932,23.9193926857,23.9192100557,5.73423102466,22.4561774005
4163,2.8,859.0,0.0,22.532252635,23.9199954523,23.9207815562,23.9182352743,23.9197305807,23.9196262936,5.77611874112,22.4950535907
4164,2.84166666667,863.833333333,0.0,22.576808702,23.6092304205,23.5980324992,23.5940438752,23.5995922112,23.59616168,6.7531048546,22.551585649
4165,2.88333333333,868.666666667,0.0,22.5707567261,23.5903090198,23.5900237204,23.5909204853,23.5918224233,23.5900018428,5.91989134316,22.582698741
4166,2.925,873.5,0.0,22.5537388261,23.5900409052,23.5884639675,23.5894200772,23.5876953789,23.5900072909,6.02794982308,22.5707567261
4167,2.96666666667,878.333333333,0.0,22.5515194857,23.5900031967,23.5894447813,23.5893991605,23.5898124422,23.5898052664,6.0555620189,22.5537388261
