,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
26,26,1.925,0.0,8075.34156938,22.8785329245,23.9794741009,23.9781391432,23.9810188601,23.0861466755,23.98,0.0,0.0
27,27,1.83333333333,0.0,8075.34156938,22.8779186669,23.9805980816,23.9797802654,23.9787357117,23.0858952688,23.98,0.0,0.0
28,28,1.74166666667,0.0,8075.34156938,22.8773054237,23.9816113661,23.9803701482,23.9810592642,23.0856480033,23.98,0.0,0.0
29,29,1.65,0.0,8075.34156938,22.8766932458,23.9818266519,23.9817607307,23.9802814752,23.0854035971,23.98,0.0,0.0
30,30,1.55833333333,0.0,8075.34156938,22.8760821928,23.9811970308,23.9798330121,23.9807259101,23.0851601973,23.98,0.0,0.0
31,31,1.46666666667,0.0,8075.34156938,22.8754722391,23.9799664531,23.979007494,23.9790400429,23.0849164269,23.98,0.0,0.0
32,32,1.375,0.0,8075.34156938,22.8748633038,23.9783663785,23.9811245809,23.9814063819,23.0846715326,23.98,0.0,0.0
33,33,1.28333333333,0.0,8075.34156938,22.8742552646,23.980242554,23.9801542225,23.9801487039,23.0844251262,23.98,0.0,0.0
34,34,1.19166666667,0.0,8075.34156938,22.873648,23.9789757711,23.9795576288,23.9797698528,23.0841770887,23.98,0.0,0.0
35,35,1.1,0.0,8075.34156938,22.8730413863,23.9790783347,23.9812959259,23.9809601123,23.0839274765,23.98,0.0,0.0
36,36,1.1,0.0,8075.34156938,22.8724352523,24.0355301477,24.0358399996,24.0387392489,23.0836626992,24.04,0.0,0.0
37,37,1.1,0.0,8075.34156938,22.871829482,24.0392789481,24.0395121173,24.0400485091,23.083384655,24.04,0.0,0.0
38,38,1.1,0.0,8075.34156938,22.8712240693,24.0413284908,24.0392571113,24.0405971895,23.0831032597,24.04,0.0,0.0
39,39,1.1,0.0,8075.34156938,22.87061915,24.0418334365,24.0394318083,24.0414527698,23.0828244032,24.04,0.0,0.0
40,40,1.1,0.0,8075.34156938,22.8700149921,24.0413315988,24.0407086795,24.0396834202,23.0825528135,24.04,0.0,0.0
41,41,1.1,0.0,8075.34156938,22.8694118736,24.0403233208,24.0423860313,24.0399126434,23.0822803605,24.04,0.0,0.0
