,t41,t42,t43,t44,t45,t5,t6
116,23.2640275417,23.2659063808,23.2628782908,23.2686433035,23.2654053428,23.6152746059,23.2616373902
117,23.2616090856,23.2613126945,23.2603274299,23.2609152023,23.2601931002,23.6183179977,23.2601579361
118,23.2612150037,23.259950321,23.259664097,23.2600587589,23.2598518375,23.6161680297,23.2598178658
119,23.2600003334,23.2589741075,23.2595260551,23.2599509114,23.2598310268,23.6148438073,23.2597773425
120,23.2604235799,23.2592914905,23.2605765676,23.2599418772,23.2598395984,23.6161281589,23.2597882754
121,23.2599398308,23.2612160777,23.2596648851,23.2599363812,23.2598443476,23.6192137183,23.2597919786
122,23.2596319435,23.2614372069,23.2596665781,23.2599310985,23.2598471417,23.6229321438,23.2597951751
123,23.2605877372,23.2591812967,23.2606410159,23.2599274522,23.2598493643,23.6266724506,23.2597981561
124,23.2595827106,23.2620558719,23.2605468158,23.2599257756,23.2598515898,23.6302860197,23.2598009542
125,23.2594324276,23.2593708865,23.2606825658,23.2599254084,23.259853847,23.6338331687,23.2598035988
126,23.2599885663,23.2599968905,23.2603574995,23.2599258083,23.2598560615,23.6373187397,23.259806121
127,23.2607868734,23.2589105524,23.2593929805,23.259926476,23.2598581443,23.6407855331,23.2598085359
128,23.497461696,23.4936682238,23.4988000543,23.4861234214,23.5001843534,23.6647800486,23.5051985585
129,23.5100751404,23.5088975177,23.509186441,23.5073388672,23.5092108813,23.7054248572,23.5097247913
130,23.510480988,23.5118170137,23.5103791597,23.5096700853,23.5098442919,23.747046908,23.5098922049
131,23.5093201991,23.50993894,23.5106959937,23.5099534653,23.5099058201,23.7731147191,23.5099688981
132,23.5111842687,23.5096898384,23.5102966635,23.5099752501,23.5099080427,23.7844230775,23.5102770223
133,23.5103332993,23.5120426362,23.509720407,23.5099781061,23.5099115274,23.7876163443,23.5103181615
134,23.5101947304,23.5100660079,23.5106286474,23.5099784616,23.5099144471,23.7877424079,23.5103428159
135,23.5100109348,23.5102736511,23.5105887434,23.5099790303,23.5099171719,23.7868865028,23.5101189429
136,23.5090402189,23.5103632166,23.5112907645,23.5099800362,23.5099198104,23.7855223836,23.5105018504
137,23.5102046655,23.5113041629,23.510933471,23.5099814385,23.5099223943,23.7836672572,23.5104654883
138,23.509995369,23.5107734904,23.5101258807,23.5099829919,23.509924901,23.7813977017,23.5103895089
139,23.5111951476,23.5108353208,23.5095576917,23.5099846682,23.5099273376,23.778795202,23.5101861594
140,23.538176243,23.5372280659,23.5387774753,23.5378449367,23.5383212535,23.7785571376,23.5397240729
141,23.539309013,23.5407267009,23.5395895378,23.5397704352,23.5398360621,23.781337317,23.5402085061
142,23.5400930385,23.5394321009,23.5397095809,23.5399532502,23.5399213802,23.7854837162,23.5402385212
143,23.5396702758,23.5399875061,23.5411830157,23.5399734199,23.5399285439,23.7885110636,23.5402874751
144,23.5405216832,23.5382705017,23.5398544068,23.5399738851,23.5399295378,23.7900937721,23.5398838228
145,23.5408941846,23.5407549591,23.5398324587,23.5399732152,23.5399304213,23.7907807798,23.540162532
146,23.5398100075,23.5386422611,23.5405719915,23.5399724794,23.5399311086,23.7911486541,23.5398467576
147,23.5403142921,23.5394154715,23.5410497746,23.5399718613,23.5399316662,23.7914076215,23.5404768929
148,23.5406544098,23.5414343271,23.5409312616,23.5399713993,23.5399321357,23.7916363386,23.5401670072
149,23.5396833488,23.5397255661,23.540355071,23.5399710517,23.5399325533,23.7918559511,23.5401350627
150,23.5403169903,23.5388159552,23.5395611223,23.5399708357,23.539932947,23.7920135373,23.5403589172
151,23.5407742525,23.5385222546,23.5400823563,23.539970732,23.5399333087,23.7921171078,23.540145387
152,23.7664485857,23.7611127315,23.7691620783,23.7571218969,23.7704756418,23.7973213861,23.7754505159
153,23.7794052908,23.7783853529,23.7805298649,23.7781610274,23.7793803641,23.8261921667,23.780194936
154,23.7797472178,23.7788294968,23.7794781539,23.7791758888,23.7799164561,23.8598801423,23.7803016173
