,b0,b1,b2,b3,b4,b5,b6
21,28.7158084783,24.117302638,24.0862079699,40.107125218,27.818890978,0.0491650617596,21.435803942
22,28.7157768277,24.1177115309,24.0863656897,40.107905669,27.8219046766,0.0478173420659,21.4308324792
23,28.7157824551,24.1175341144,24.0863017978,40.107944317,27.8211198757,0.0482001898394,21.4319364757
24,28.7157806801,24.1174979307,24.0862883369,40.1069655599,27.8211177102,0.0482118857251,21.4320024691
25,28.7157794789,24.1174465521,24.0857307455,40.1071784256,27.8210740159,0.0482542296907,21.432034202
26,28.7157758883,24.117425569,24.085718569,40.1072172338,27.8210314591,0.0483241005691,21.4320762061
27,28.7157713933,24.1174449659,24.0856990941,40.107254458,27.8209894156,0.0483897121047,21.4321157218
28,28.7157666274,24.117464324,24.0856832012,40.1072914668,27.820947103,0.0484541632863,21.43215418
29,28.7157616996,24.1174836506,24.0856635699,40.1073288322,27.8209120915,0.0485150359466,21.4321916378
30,28.7157565901,24.1175029387,24.085647571,40.107366355,27.820875804,0.0485754907898,21.432228281
31,28.7157513101,24.117548775,24.0856277777,40.1074042669,27.8208400393,0.0486348658328,21.432264153
32,28.3370175211,23.7977772217,23.7671466251,39.5730422103,27.4490198226,0.0511671977576,21.1621471019
33,28.3369631659,23.8007427226,23.7696662163,39.5735631493,27.4537998502,0.0488397275425,21.1435919159
34,28.3370066915,23.7998017523,23.7692632212,39.5726128903,27.4479253782,0.0515599296116,21.1551326176
35,28.3369698643,23.8001272163,23.7693388463,39.5731238968,27.4498243978,0.0507287230006,21.1527164328
36,28.3369560025,23.8001429991,23.7693095266,39.5731484236,27.4497204567,0.0508420435641,21.1526324187
37,28.3369401397,23.8001742782,23.7692802238,39.5732205996,27.449734908,0.0508932520424,21.1526433946
38,28.3369187579,23.8002211058,23.7692677225,39.5729917477,27.4497073775,0.051004329472,21.1526602905
39,28.3368946174,23.8002652647,23.7692458083,39.5727648742,27.4496655378,0.0511072238616,21.1526816519
40,28.3368614523,23.8003614224,23.7692309433,39.5725492583,27.4496330831,0.0511614362495,21.1527042666
41,28.3368333842,23.8004128603,23.7692136843,39.5723238475,27.4495859378,0.0512472509888,21.1527276985
42,28.3368059877,23.8004357047,23.769198795,39.5721004141,27.4495396096,0.051335643277,21.1527517844
43,28.336778157,23.8004569949,23.7691767073,39.5718785211,27.4494982015,0.0514198465726,21.1527762387
44,28.857521917,24.2391058266,24.2019642898,40.3067005312,27.9633876263,0.0507747533096,21.558178675
