,Unnamed: 0,z0,z1,z2,z3,tout,s,i,t1,sp0,sp1,sp2,sp3,sp,m,rh
86,86,22.427287712,20.9543109306,22.6323253932,21.8479268883,2.2,0.0,87467.5394029,22.199356597,21.0,21.0,21.0,21.0,21.0,6.11870755911,9145.90416574
87,87,22.4519042901,20.9976009778,22.6579617838,21.8992235395,2.2,0.0,87467.5394029,22.2387004691,21.0,21.0,21.0,21.0,21.0,6.09299163816,8709.89366052
88,88,22.4642815254,20.9997528775,22.6725879786,21.9492805104,2.2,0.0,87467.5394029,22.2636870994,21.0,21.0,21.0,21.0,21.0,6.08309207297,8546.48273392
89,89,22.4746817414,20.9986260718,22.6858436972,21.999624411,2.2,0.0,87467.5394029,22.2860518831,21.0,21.0,21.0,21.0,21.0,6.08004924089,8479.04865624
90,90,22.4880232195,21.0003152899,22.7020473466,22.0782570445,2.2,94.25,87467.5394029,22.3225706457,21.0,21.0,21.0,21.0,21.0,6.05869770348,8139.1781314
91,91,22.5026654271,20.9984817595,22.719346288,22.160316183,2.2,133.5,87467.5394029,22.3597356917,21.0,21.0,21.0,21.0,21.0,6.04212634663,7833.14642769
92,92,22.516804447,20.9983942866,22.7361376738,22.2327406294,2.2,172.75,87467.5394029,22.3925470175,21.0,21.0,21.0,21.0,21.0,6.03250926403,7669.35504111
93,93,22.5295858415,20.9989499066,22.7518226075,22.3013205653,2.2,212.0,87467.5394029,22.4249753789,21.0,21.0,21.0,21.0,21.0,6.01716915461,7416.09109385
94,94,22.5413633579,20.9991261899,22.7668795056,22.371718369,2.2,251.25,87467.5394029,22.4574382748,21.0,21.0,21.0,21.0,21.0,6.00225685002,7164.77729269
95,95,22.5527023573,20.9988243259,22.7819087699,22.44363609,2.2,290.5,87467.5394029,22.4901995227,21.0,21.0,21.0,21.0,21.0,5.9878308561,6915.80146892
96,96,22.302695341,20.617358591,22.5430019257,22.5376965012,2.2,329.75,78523.748327,22.3872881933,20.5,20.5,20.5,20.5,20.5,5.8083600104,767.116334505
97,97,22.0491154369,20.4999981135,22.3090487801,22.6682652706,2.2,369.0,78523.748327,22.2304467007,20.5,20.5,20.5,20.5,20.5,5.90773343185,5565.39222896
98,98,21.9136074425,20.4999246106,22.1917297161,22.7772197211,2.2,408.25,78523.748327,22.2058549243,20.5,20.5,20.5,20.5,20.5,5.81832546063,4049.09255042
99,99,21.8778569315,20.5004222017,22.1672792533,22.8623816198,2.2,447.5,78523.748327,22.2142623232,20.5,20.5,20.5,20.5,20.5,5.8083600104,3746.19529953
100,100,21.8793726025,20.5003590614,22.1742213558,22.9433685729,2.2,486.75,78523.748327,22.2408774253,20.5,20.5,20.5,20.5,20.5,5.80945409238,3902.28388405
101,101,21.8812051707,20.49964456,22.1790731201,23.0255007698,2.2,526.0,78523.748327,22.2678633792,20.5,20.5,20.5,20.5,20.5,5.8083600104,3836.63195562
102,102,21.8769171913,20.5003191022,22.1776587016,23.098105194,2.2,533.25,78523.748327,22.2876326938,20.5,20.5,20.5,20.5,20.5,5.8083600104,3806.84073965
103,103,21.8714965204,20.5004789546,22.1753009527,23.1626613923,2.2,540.5,78523.748327,22.3042982448,20.5,20.5,20.5,20.5,20.5,5.8083600104,3745.91106996
104,104,21.8681179799,20.5004665156,22.1746132343,23.225667834,2.2,547.75,78523.748327,22.321724105,20.5,20.5,20.5,20.5,20.5,5.8083600104,3698.92702531
105,105,21.8675078446,20.4993392742,22.1758893203,23.2855695109,2.2,555.0,78523.748327,22.3397460863,20.5,20.5,20.5,20.5,20.5,5.8083600104,3634.5275504
106,106,21.8690107208,20.4994435085,22.1783979729,23.3409412257,2.2,562.25,78523.748327,22.3575720848,20.5,20.5,20.5,20.5,20.5,5.8083600104,3601.52828198
107,107,21.871791938,20.5001377647,22.1814327139,23.3913571194,2.2,569.5,78523.748327,22.3745399036,20.5,20.5,20.5,20.5,20.5,5.8083600104,3551.03911786
108,108,21.8664969845,20.4902113906,22.1757139518,23.3455908428,2.2,576.75,73825.7544131,22.3568697536,20.49,20.49,20.49,20.49,20.49,5.8083600104,3402.50800468
109,109,21.8620586926,20.4899836159,22.1705735686,23.3011229059,2.2,584.0,73702.4775523,22.3404417809,20.49,20.49,20.49,20.49,20.49,5.8083600104,3490.65693424
110,110,21.8621677726,20.4897573616,22.1697498056,23.2995055948,2.2,591.25,73702.4775523,22.3397096288,20.49,20.49,20.49,20.49,20.49,5.8083600104,3355.01352517
