,t1,w0,w1,w2,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2,m3,rh3,m4,rh4,m5,rh5,m6,rh6,m7,rh7,m8,rh8,m9,rh9,m10,rh10,m11,rh11
2207,21.228904124900087,19.462330607314957,21.44993989946153,28.922775364384766,92290.6756256,356.5,-9.4,21,24,2.261294135,5284.042415769599,2.207559924,6230.813711702886,0.241490975,4814.778230404445,1.028502405,11370.301529313623,3.794979407,10711.653012275438,1.420351088,2705.8885986215996,0.152557902,402.71261310672,0.13210839300000002,765.1858886985601,0.0961,1010.7580978529998,0.0543,804.0950917271999,1.6716511669999998,7251.4289406357875,1.7584577469999998,0.0
2208,21.228204036959305,19.441264706061258,21.306043742969532,29.16729207702971,121157.75562540001,317.9166667,-9.45,21,24,2.261294135,2046.9666776201998,2.207559924,3008.8688255261995,0.252031963,4939.659770211775,1.028502405,11348.043377231252,3.794979407,5585.279996373,1.420351088,1279.8105147072001,0.152557902,239.48226250661995,0.13210839300000002,740.24300047824,0.0961,1008.7805874930002,0.0543,799.1731885703999,1.6716511669999998,5675.382784596001,1.1128872509999999,0.0
2209,21.189011480262742,19.455897354914907,21.214407666903057,29.224260552882107,121157.75562540001,279.3333333,-9.5,21,24,2.261294135,1378.9508930189997,2.207559924,2360.5500076956005,0.259293532,5007.758680829381,1.028502405,11296.388912557117,3.794979407,4955.775656832001,1.420351088,855.2177244563402,0.152557902,203.79251400647996,0.13210839300000002,829.4608870816801,0.0961,1004.192318283,0.0543,784.3837463112002,1.6716511669999998,5561.1719675064005,2.3204629519999997,0.0
2210,21.17376336149547,19.470325792810204,21.15241059422497,29.202578930941748,121350.73232540001,240.75,-9.55,21,24,2.261294135,2640.336482259,2.207559924,3607.7330257920007,0.28970623300000004,5429.751127158888,1.028502405,11425.576365703164,3.794979407,7585.8116629176,1.420351088,1634.9307735180003,0.152557902,296.02452056058,0.13210839300000002,1022.2454632572002,0.0961,1015.6664426790002,0.0543,816.6623749200002,1.6716511669999998,6849.53265406559,0.8721680490000001,0.0
2211,21.204328981278206,19.456115706031238,21.058237930145303,29.262747216316566,121583.67122840001,202.16666669999998,-9.6,21,24,2.261294135,4313.0502924264,2.207559924,5259.6013170204005,0.34752550200000004,6136.47677478172,1.028502405,11596.068484823521,3.794979407,10858.566844345538,1.420351088,2704.2872963400005,0.152557902,416.7410325288001,0.13210839300000002,1239.197686272,0.0961,1030.808808834,0.0543,856.0144372247998,1.6716511669999998,8422.271761917002,0.838311595,0.0
2212,21.27409766151605,19.4400367086393,20.95720833333693,29.49981659245802,121788.34279340002,163.58333330000002,-9.65,21,24,2.261294135,1676.0847425280003,2.207559924,2678.1879356946006,0.309421784,5603.597152387143,1.028502405,11328.371713553983,3.794979407,6825.137910645599,1.420351088,1075.7963126484,0.152557902,243.83641886772006,0.13210839300000002,1199.4344977860003,0.0961,1007.0323238639996,0.0543,790.3276270847999,1.6716511669999998,6760.773056868369,1.801314373,0.0
2213,21.24541737989759,19.423263890502902,20.854257693516786,29.46285406337989,121993.01435740001,125.0,-9.7,21,24,2.261294135,1277.3416245912001,2.207559924,2329.1089774595994,0.318010737,5682.687525668906,1.028502405,11297.529065634499,3.794979407,6576.737267923199,1.420351088,794.93691495414,0.152557902,225.39786550721996,0.13210839300000002,1290.7281383135996,0.0961,1004.2928793869996,0.0543,782.2103812319998,1.6716511669999998,6733.961819427555,1.339519975,0.0
2214,21.19210534861062,19.39139120053207,20.726946702130117,29.321693649741604,122138.88451040002,0.0,-9.75,21,24,2.261294135,2579.3802184415995,2.207559924,3606.1454184756,0.393749684,6497.418889609696,1.028502405,11417.396710841476,3.794979407,9598.322444512474,1.420351088,1646.4439260738,0.152557902,318.65367407831997,0.13210839300000002,1615.1542450679997,0.0961,1014.9397876799994,0.0543,810.4083101772001,1.6716511669999998,8344.497187285207,2.01496646,0.0
2215,21.173638691847252,19.36313454745191,20.594337589329914,29.522833977104703,122138.88451040002,0.0,-9.8,21,24,2.261294135,1306.2806764098,2.207559924,2366.1280024074,0.373448523,6244.9808628269775,1.028502405,11301.50647591819,3.794979407,7723.8536673228,1.420351088,816.1239115969801,0.152557902,242.32118273999998,0.13210839300000002,1610.5998685979998,0.0961,1004.6460195030004,0.0543,783.1244305248,1.6716511669999998,7539.65256874212,2.082195834,0.0
2216,21.192775716352994,19.348939824645914,20.486458356908546,29.51524687400262,122138.88451040002,0.0,-9.85,21,24,2.261294135,1388.0754333600003,2.207559924,2465.2851868007997,0.387503173,6382.101552649152,1.028502405,11311.9911372185,3.794979407,8104.843552352402,1.420351088,892.9400694816001,0.152557902,257.5090633067399,0.13210839300000002,1670.9005969656002,0.0961,1005.5768907030005,0.0543,784.7769709206,1.6716511669999998,7765.113482501591,1.08794552,0.0
