,t41,t42,t43,t44,t45,t5
141,23.5409445714,23.5410202198,23.5403704645,23.5391615486,23.5398815875,23.4524357852
142,23.5386750101,23.5394510946,23.5404885524,23.540868546,23.5399159758,23.4548785919
143,23.5401204631,23.5397595187,23.540123348,23.5388400917,23.5399194293,23.4571839988
144,23.5408943275,23.5406640499,23.5407093842,23.542276856,23.5399199341,23.4587444103
145,23.5398580118,23.5407369289,23.5413469742,23.54062476,23.5399207644,23.4598564605
146,23.5412542462,23.5397569173,23.5414195421,23.5396171058,23.5399215315,23.4607638803
147,23.5392955489,23.5381515773,23.5409448,23.5396920626,23.5399222392,23.4616102869
148,23.5388530381,23.5397479402,23.5401881911,23.539981167,23.5399228779,23.462412318
149,23.5390250179,23.5384449625,23.5393565532,23.5399589076,23.5399234789,23.4632219673
150,23.5385485663,23.5420589097,23.5412193845,23.5396078159,23.539924059,23.4640324744
151,23.5408095657,23.5398911789,23.5409077241,23.5391055224,23.5399245941,23.4649002303
152,23.7665079845,23.7599236132,23.7714855277,23.757786084,23.7743896431,23.4632284531
153,23.7796128236,23.7784566836,23.7809049506,23.7786808803,23.7796989624,23.4856095927
154,23.7802609828,23.7807164282,23.7808751608,23.7805943127,23.7800707946,23.506826753
155,23.7807533391,23.7800570297,23.7790553809,23.7791656372,23.779947638,23.5199032319
156,23.7804864131,23.7808758893,23.7812366298,23.7796661143,23.7799416713,23.5254478039
157,23.7787080344,23.7813963687,23.7799477913,23.7804830957,23.7799412222,23.526545641
158,23.7787244943,23.7802775593,23.7804022782,23.780009045,23.7799411094,23.5255061302
159,23.7800147097,23.7806301963,23.781157193,23.7812090161,23.7799411962,23.5234454067
160,23.7814728404,23.7804772197,23.7807311137,23.7819521692,23.7799414253,23.5208243529
161,23.780956537,23.7816397544,23.7789757098,23.7810312596,23.7799417694,23.5177873781
162,23.7813593732,23.7817603281,23.7805273171,23.7787166478,23.7799421661,23.5143825371
163,23.7808270723,23.7799035937,23.7802442811,23.7818096439,23.7799426209,23.5106850615
164,23.3864987064,23.3902976286,23.3846032441,23.390917621,23.3925920178,23.5235533413
165,23.3796922641,23.3817254446,23.3799876417,23.3778992737,23.3803174105,23.4905701105
166,23.3797881993,23.3788183069,23.3795837992,23.3790114963,23.3799538636,23.4377511217
167,23.3806365542,23.3795160981,23.380703617,23.3810137799,23.3799332945,23.3945626107
168,23.3802125679,23.3780544425,23.3801989006,23.3791841604,23.3799386512,23.3679351649
169,23.3802123679,23.3797486942,23.378990414,23.3808010435,23.3799401646,23.3529156788
170,23.3799208029,23.3800883962,23.3810982039,23.3785146033,23.3799413525,23.343507171
171,23.3789150751,23.3802627538,23.3791263267,23.379673488,23.379942395,23.336106683
172,23.3791978846,23.3815296661,23.380000177,23.3807346134,23.3799433334,23.3293635381
173,23.3815264511,23.3806341924,23.3789924199,23.3791740299,23.3799441777,23.323056581
174,23.3800021601,23.3800681055,23.3803808756,23.3820696847,23.3799449312,23.3171336147
175,23.3800678658,23.3813329276,23.3807517529,23.3813735713,23.3799456033,23.3115534979
176,23.2569416595,23.2596344573,23.2541496735,23.2626093419,23.2564481058,23.3089607295
177,23.2502401392,23.2533499124,23.2503058946,23.2490410365,23.2501420789,23.295105628
178,23.2484660229,23.2518639243,23.2495377158,23.2492301658,23.2499592042,23.2779435583
179,23.2498834766,23.2495505511,23.2502260742,23.2503619987,23.2499497117,23.2650921018
180,23.2493616854,23.2479181374,23.2512984279,23.2482635363,23.2499522197,23.2577290525
181,23.2504904439,23.2502806388,23.2502423604,23.2517573369,23.2499535742,23.2538978655
182,23.2495137551,23.2509629029,23.2504857388,23.2516836105,23.2499546312,23.2517897335
183,23.2506350491,23.2503949855,23.2499746431,23.2498847803,23.2499555298,23.2503676463
184,23.2500639122,23.2499739677,23.2513103724,23.2490076447,23.2499563333,23.2492408081
185,23.2488415916,23.250288517,23.2499442637,23.2497982478,23.2499570734,23.2483244891
186,23.2511610218,23.2512457793,23.2498500406,23.2517950815,23.249957765,23.2475953891
187,23.2492139565,23.2496526019,23.2494455344,23.2482621107,23.2499584162,23.247088909
188,23.5311759581,23.5250597337,23.5373447185,23.5198166009,23.5425522951,23.247557014
189,23.5478511069,23.5478670296,23.5497423711,23.5483033425,23.5496291229,23.2800920415
190,23.5495294919,23.5477460334,23.5499688876,23.549134292,23.5502778665,23.3139829292
191,23.5493690707,23.5500071393,23.5508410856,23.5483634597,23.5499770547,23.3386637638
192,23.551414972,23.5486358128,23.5508506201,23.5485133385,23.5499673865,23.3544882727
193,23.5507399154,23.5504013493,23.5499456747,23.5484099246,23.5499665973,23.3652270602
194,23.550337623,23.5500845931,23.5502113519,23.5499304944,23.549966131,23.3738029784
195,23.5495287587,23.550399528,23.550340014,23.5479111097,23.5499658001,23.3815763978
196,23.5502774031,23.5503221584,23.5512458905,23.5493441417,23.5499655661,23.3889251466
197,23.5504590905,23.5491582015,23.5505485618,23.5512274801,23.5499654031,23.3960176471
198,23.5516175261,23.5497102407,23.5507847874,23.5511631163,23.5499652889,23.4029194641
199,23.5517825824,23.5500423046,23.5498872981,23.5490939346,23.5499652095,23.4097024886
200,23.2677538309,23.2723931088,23.260942138,23.2761718387,23.2685467504,23.4210269835
201,23.2514168837,23.2520206612,23.2500975329,23.251989827,23.2505384729,23.3999262272
202,23.2514924561,23.2522480145,23.2502261708,23.249864823,23.2499914925,23.3616838071
203,23.2512580404,23.2499486148,23.2495099242,23.2508632485,23.2499722832,23.327996137
204,23.2508305934,23.2501655125,23.2487983885,23.2476459983,23.2499767868,23.3050866922
205,23.2514557315,23.2497105457,23.2494217522,23.2509742946,23.2499802058,23.2904282631
206,23.2504988476,23.249716061,23.2495868533,23.2523840149,23.2499832414,23.2799439265
207,23.2499934847,23.2510387373,23.2504268471,23.2503884522,23.2499860859,23.270951016
208,23.2482912577,23.2478206998,23.2506625712,23.2496164264,23.2499888086,23.2623991512
209,23.2504941356,23.2503821909,23.2498050457,23.249005787,23.2499914366,23.2540310085
210,23.2497073096,23.2508156857,23.2500069057,23.2505964179,23.2499939817,23.2459422704
211,23.2512128225,23.2507423084,23.2502030003,23.2486257061,23.2499964514,23.238134611
212,23.6524385859,23.649794855,23.6522323215,23.6485428713,23.5394092774,23.2433384967
213,23.6596327726,23.6576947312,23.6588246687,23.6598307762,23.6599062341,23.2745054428
214,23.659819507,23.6579206992,23.6594555232,23.6616529423,23.6602942576,23.307478045
215,23.6599220999,23.6610891342,23.6593905872,23.660573199,23.6599239938,23.3299996969
216,23.6613135363,23.6616654579,23.6609546807,23.6606545019,23.6601396633,23.341983332
217,23.6586500668,23.6611328298,23.6607152881,23.6620628362,23.6600062716,23.3474700371
218,23.6591944743,23.6609994887,23.660163702,23.6586596663,23.659729178,23.3498297551
219,23.6613780074,23.6614130062,23.6603224331,23.6594361592,23.6599546069,23.3507995594
220,23.6585630125,23.6619318163,23.6610905636,23.6598884372,23.6599008355,23.3511295648
221,23.6582112142,23.6622150289,23.659040784,23.6620391974,23.6599921345,23.3509833082
222,23.659288122,23.6621729362,23.6594018877,23.6590787041,23.6600321337,23.3504505803
