,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
25,2.01666666667,0.0,910.609053019,23.9786295761,23.9803003723,23.9773842848,23.9799860442,23.2466432963,23.98,4.66452626089,68086.1134435
26,1.925,0.0,910.609053019,23.9806553707,23.9799518039,23.9776469632,23.9799509192,23.2453723591,23.98,4.66452626089,82424.4230614
27,1.83333333333,0.0,910.609053019,23.9810434004,23.9804996619,23.9791931672,23.9802381984,23.2427723368,23.98,4.66452626089,79672.4310136
28,1.74166666667,0.0,910.609053019,23.9810440808,23.9822830916,23.9790261114,23.979694256,23.238706085,23.98,4.66452626089,78975.1005618
29,1.65,0.0,910.609053019,23.981554527,23.9784071768,23.9797661479,23.9799553516,23.2336301001,23.98,4.66452626089,79672.1052023
30,1.55833333333,0.0,910.609053019,23.9789604725,23.9799383734,23.9824423802,23.9795266496,23.2279937762,23.98,4.66452626089,78975.1079739
31,1.46666666667,0.0,910.609053019,23.9792938653,23.978274011,23.9789931013,23.9798655961,23.2220873183,23.98,4.66452626089,79671.7218746
32,1.375,0.0,910.609053019,23.9812897706,23.9812962523,23.9827101258,23.9794280135,23.2159644854,23.98,4.66452626089,78975.2211949
33,1.28333333333,0.0,910.609053019,23.9795732401,23.9798734803,23.9829137389,23.9797024973,23.2098171107,23.98,4.66452626089,79671.7352328
34,1.19166666667,0.0,910.609053019,23.9794805427,23.9823004878,23.9819092604,23.9803732999,23.2035960075,23.98,4.66452626089,79672.1095424
35,1.1,0.0,910.609053019,23.9802704265,23.9802336678,23.9823610464,23.9797964053,23.1973454137,23.98,4.66452626089,78974.6432848
36,1.1,0.0,910.609053019,24.0371145539,24.0349376006,24.0328707943,24.0383896952,23.1933697711,24.04,4.66452626089,113957.958085
37,1.1,0.0,910.609053019,24.038255032,24.042320289,24.038122009,24.0400855554,23.1957701967,24.04,4.66452626089,68087.0832593
38,1.1,0.0,910.609053019,24.0386797139,24.0392403153,24.039191322,24.0404529136,23.2010790984,24.04,4.66452626089,90373.5452393
39,1.1,0.0,910.609053019,24.0403639448,24.0403383366,24.0379914533,24.0398112111,23.2058384969,24.04,4.66452626089,85127.2904058
40,1.1,0.0,910.609053019,24.039629958,24.0402352497,24.0382147668,24.0401544897,23.2091448895,24.04,4.66452626089,85793.6020334
