,b0,b1,b2,b3,b4,b5
94,27.0156721166,36.1947768051,40.3077859716,41.1622212955,38.9714800861,-0.169571769033
95,27.0156672027,36.194996694,40.3072156167,41.1616634695,38.9699635477,-0.171392880935
96,27.0156622888,36.1949801174,40.3072017731,41.1616634086,38.9698845731,-0.171468995684
97,27.015657375,36.1949908324,40.3071864617,41.1616290979,38.9698639622,-0.171474265133
98,27.0156483182,36.1949989278,40.3071627124,41.1616365849,38.9698551043,-0.171462043356
99,27.0156392615,36.1955920657,40.3074683777,41.16158083,38.9698477786,-0.171447961814
100,27.0160695224,36.1956002136,40.307465941,41.1618099696,38.9698480424,-0.171424667549
101,27.0160604657,36.1955952635,40.3074527789,41.1618174551,38.9698476901,-0.171402121293
102,27.0160514089,36.195603357,40.307428981,41.1617617023,38.969849838,-0.171376540104
103,27.0160423522,36.1956049046,40.3074052869,41.1617849607,38.9698559189,-0.171346184766
104,27.0838692269,36.2872912713,40.4090964942,41.2656243236,39.0668813543,-0.173296482989
105,27.0842990298,36.2871064226,40.4096369016,41.2663177941,39.0688199524,-0.17091678612
106,27.0842895151,36.2872060228,40.4093365536,41.2660372995,39.067867714,-0.172046152446
107,27.0842800003,36.2871873281,40.4093648576,41.266106865,39.0681098618,-0.171725704231
108,27.0842704856,36.287794028,40.4093507116,41.2660658847,39.0681209172,-0.171685769162
109,27.0842609708,36.2877889377,40.4096533775,41.2660562276,39.0681379872,-0.171638533228
110,27.0842538037,36.2877979833,40.4096484311,41.2660255684,39.06814467,-0.17160573327
111,27.0846859543,36.2877943734,40.4096229792,41.266025532,39.0681546563,-0.171568923314
112,27.0846787871,36.2877907662,40.4096180375,41.2662452188,39.0681650546,-0.171531613291
113,27.08467162,36.2878122973,40.4095824979,41.2662451689,39.0681720357,-0.17149845119
114,27.0846644529,36.2877961482,40.4095877326,41.2662451308,39.0681817991,-0.171461911835
115,27.0846572858,36.2878050812,40.4095422352,41.266229712,39.068192708,-0.17142398207
116,27.0023128331,36.1768238382,40.2877388793,41.1427387136,38.9447588446,-0.174841146251
117,27.0023084141,36.1770083051,40.287066164,41.1422563205,38.9424919091,-0.17758944276
118,27.0022857664,36.1769038355,40.2873532958,41.1424809808,38.9435343548,-0.176306434049
119,27.0022857664,36.1769380511,40.2872743863,41.1423431323,38.9432014297,-0.17671055753
120,27.0022857664,36.1769377752,40.287244657,41.1423705225,38.9431278492,-0.176799873796
121,27.0022857664,36.176937766,40.2872597451,41.1423171665,38.9430616439,-0.176880237571
122,27.0022857664,36.1769377559,40.2872446917,41.1423438337,38.9430037796,-0.17695047657
123,27.0022857664,36.1769377499,40.2872597743,41.1423438473,38.9429504006,-0.17701527108
