,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
52,1.35,0.0,0.0,23.2213105916,24.1103569436,24.110925785,24.1080660779,24.108072955,24.1104760297,34.6240998608,23.2252288542
53,1.4,0.0,0.0,23.2154885892,24.1101045405,24.1108418465,24.1089805343,24.107266352,24.1103436148,34.6468926051,23.2213105916
54,1.45,0.0,0.0,23.208667405,24.1089959597,24.1122121659,24.1106970806,24.1085030546,24.1097057398,34.6647427819,23.2154885892
55,1.5,0.0,0.0,23.2013731068,24.1113764162,24.1089741826,24.1081874055,24.1113623347,24.1101708874,34.6832353819,23.208667405
56,1.55,0.0,0.0,23.1938934297,24.1084181977,24.1121453617,24.1102493594,24.1085044371,24.1101617032,34.7268432988,23.2013731068
57,1.6,0.0,0.0,23.1862280314,24.109867177,24.1124998826,24.1097930265,24.1116921874,24.1097365727,34.7308063515,23.1938934297
58,1.65,0.0,0.0,23.1785039496,24.1103942796,24.112029213,24.1089691019,24.1118566381,24.1103526667,34.7660856163,23.1862280314
59,1.7,0.0,0.0,23.170756337,24.1097192522,24.1099862881,24.1093543062,24.1111928156,24.1103934096,34.7924264926,23.1785039496
60,1.7,0.0,0.0,23.1685890668,24.2416635555,24.2369320268,24.2413142723,24.2383313234,24.2467933008,35.5060277,23.170756337
61,1.7,0.0,0.0,23.181126995,24.2477984599,24.2510731331,24.2479695088,24.2488230264,24.2495605416,34.7081497564,23.1685890668
62,1.7,0.0,0.0,23.2005008995,24.2494068041,24.2479155118,24.2489623811,24.252321624,24.2499091169,35.0290471869,23.181126995
63,1.7,0.0,0.0,23.2186195642,24.2491590426,24.2496498248,24.2508483875,24.2500564126,24.2505159306,34.8980585838,23.2005008995
64,1.7,0.0,0.0,23.2332761854,24.2502792114,24.2519671697,24.2517540539,24.2493529327,24.2496639962,34.8339945949,23.2186195642
65,1.7,0.0,0.0,23.245439534,24.2502367641,24.249959285,24.2507240749,24.2522756857,24.2502673812,34.7830423515,23.2332761854
66,1.7,0.0,0.0,23.2565271092,24.2507071335,24.2494071451,24.2484173815,24.2511048894,24.2498694004,34.7401305611,23.245439534
67,1.7,0.0,0.0,23.2672710895,24.2494055391,24.2525254434,24.2497857844,24.2499992813,24.2498647936,34.6997964845,23.2565271092
