,t1,w1,t2
198,16.94868519,16.94317701,16.75261862
199,16.94485773,16.93936852,16.75503391
200,16.93914012,16.93617007,16.75908655
201,16.93322844,16.93347091,16.76408731
202,16.93148743,16.9311132,16.76663405
203,16.92828493,16.92927091,16.77195728
204,16.92499925,16.92741039,16.77556052
205,16.92055553,16.92553981,16.77696824
206,16.9158979,16.9235599,16.7771266
207,16.91341671,16.9215173,16.77689639
208,16.91064215,16.91950341,16.77651705
209,16.90420675,16.91750115,16.77559563
210,16.9013026,16.9153877,16.77485958
211,16.89858134,16.91331786,16.77421373
212,16.89460532,16.91135065,16.77320134
213,16.88786021,16.90925219,16.77104944
214,16.88247395,16.907115,16.76900349
215,16.87784629,16.90496281,16.76718208
216,16.85686301,16.89872418,16.76278359
217,16.82587336,16.89213845,16.75239071
218,16.81626181,16.88528559,16.74555768
219,16.80226994,16.87949752,16.73587785
220,16.77801848,16.87379533,16.71622519
221,16.75850389,16.86732148,16.69712387
222,16.7506689,16.86070353,16.68918733
223,16.73963157,16.85531916,16.67762374
224,16.72047241,16.84991226,16.65451921
225,16.71321979,16.84386396,16.645278
226,16.70261871,16.83857858,16.63204711
227,16.6926955,16.83313307,16.61960319
228,16.68340642,16.82817797,16.60733369
229,16.66827853,16.82337601,16.58516339
230,16.6646119,16.81826665,16.58014656
231,16.65825329,16.81421971,16.57184921
232,16.6533065,16.81024999,16.56566349
233,16.64765519,16.80686254,16.55864227
234,16.6431185,16.80334559,16.55332033
235,16.63367432,16.80028959,16.54154162
236,16.63014321,16.79676617,16.5372138
237,16.62288594,16.79352163,16.52800526
238,16.61817052,16.79021733,16.52064949
239,16.6156708,16.78711172,16.51486905
240,16.61427167,16.78409925,16.51306672
241,16.61420716,16.78152063,16.51621463
242,16.61475744,16.77939827,16.52235714
243,16.6158174,16.77777477,16.53036186
244,16.61681019,16.77632174,16.53519492
245,16.61826333,16.775097,16.54222116
246,16.62000647,16.77434637,16.54914018
247,16.62251547,16.7735727,16.55801358
248,16.62683742,16.77319172,16.57488753
249,16.63076855,16.77326661,16.59005195
250,16.63485412,16.77360929,16.60430751
251,16.6395847,16.77442462,16.61832564
252,16.63780642,16.77480592,16.61862032
253,16.63545355,16.77420727,16.61898328
254,16.63179987,16.7731861,16.61645299
255,16.62670957,16.77178116,16.60996515
256,16.62283194,16.77016813,16.60029817
257,16.62029683,16.76796308,16.5935136
258,16.61775891,16.76547032,16.58660826
259,16.61205277,16.76342187,16.57006521
260,16.60920837,16.760715,16.56179199
261,16.60646481,16.75802073,16.55400519
262,16.60138856,16.7556341,16.53931354
263,16.59569693,16.75312871,16.52144093
264,16.59347139,16.75001452,16.51481655
265,16.58889039,16.74667613,16.50208273
266,16.5852319,16.74332308,16.49365311
267,16.58392835,16.74022897,16.49159324
268,16.581947,16.73745394,16.48854704
269,16.57780578,16.73468034,16.48317181
270,16.57412821,16.73198979,16.47895131
271,16.57125426,16.72933799,16.47553269
272,16.56875191,16.72675698,16.47265186
273,16.56648779,16.72425249,16.47012236
274,16.56531563,16.72181617,16.46786793
275,16.56451276,16.71946563,16.46592021
276,16.5641234,16.71729813,16.46523967
277,16.56369548,16.71527133,16.46451048
278,16.5631302,16.71338896,16.46349414
279,16.5620398,16.71156757,16.46166327
280,16.56108555,16.70980413,16.46017332
281,16.56021942,16.7080491,16.45890352
282,16.55937681,16.70631686,16.45776344
283,16.55868588,16.70460936,16.45672827
284,16.55803692,16.70290688,16.45576061
285,16.55751345,16.7012386,16.45522494
286,16.55667808,16.69959027,16.45408578
287,16.55588827,16.69800426,16.45302948
288,16.56275529,16.69977814,16.4529684
289,16.56735644,16.70095043,16.45351709
290,16.57583781,16.70143223,16.45534237
291,16.57759717,16.70177902,16.45643563
292,16.58018788,16.70152132,16.45784632
293,16.58210366,16.7010639,16.45916164
294,16.58351296,16.70036363,16.46041402
295,16.58522863,16.69946763,16.46190856
296,16.58809068,16.69856948,16.46467267
297,16.58864124,16.69775638,16.46552439
298,16.58948908,16.69664369,16.46673836
299,16.59096209,16.69548155,16.46894472
300,16.59190216,16.69471855,16.46944212
301,16.59247575,16.69399094,16.46800588
302,16.59251613,16.69321808,16.46608678
303,16.59272269,16.69235117,16.46362043
304,16.59286441,16.69143667,16.46093569
305,16.59289756,16.69052169,16.45769954
306,16.59292863,16.68954168,16.45447475
307,16.59288695,16.68857413,16.45075871
308,16.59286469,16.68767339,16.44393052
309,16.5927941,16.68661488,16.43821732
310,16.59269373,16.68550555,16.43318136
311,16.59250865,16.68438652,16.42850671
312,16.59232946,16.68310324,16.42534676
313,16.59214805,16.68183803,16.42414938
314,16.59202396,16.68064326,16.42462981
315,16.59193066,16.67950791,16.42526018
316,16.59169915,16.67849546,16.42556979
317,16.59141573,16.67732352,16.4263781
318,16.59112731,16.67628657,16.42737049
319,16.59085712,16.67528043,16.42847521
320,16.59077293,16.67430218,16.42910024
321,16.59063165,16.67329853,16.42986878
322,16.59049017,16.67232767,16.43096953
323,16.59017057,16.6714474,16.43308349
324,16.5900013,16.67080993,16.43515652
325,16.58988559,16.67029002,16.43723972
326,16.58979913,16.67000059,16.43931417
327,16.58969643,16.66970161,16.44140602
328,16.58978621,16.66943436,16.44352908
329,16.58958276,16.6691278,16.44458638
330,16.5895126,16.66880975,16.44602472
331,16.58936415,16.66849185,16.44873293
332,16.58928968,16.66820897,16.44987109
333,16.58914588,16.66788476,16.45151935
334,16.58886391,16.66758257,16.45453936
335,16.58876067,16.66733919,16.45573394
336,17.56837274,16.66715696,16.49216367
337,17.79963837,16.75715084,16.65097595
338,17.80005022,16.81216295,16.69194544
339,17.79999414,16.84845707,16.73773346
340,17.79998108,16.87494446,16.80829583
341,17.79998256,16.89547905,16.81884031
342,17.79999149,16.91037303,16.85037082
343,17.79999075,16.9226329,16.85645584
344,17.79988856,16.93218942,16.85921562
345,17.79999702,16.93998819,16.86424549
346,17.79999734,16.94687685,16.86743333
347,17.80001589,16.95301725,16.87208824
348,19.03645625,16.96338483,16.99259365
349,19.84539498,17.16905684,17.28699537
350,19.90074521,17.3359495,17.47154672
351,19.91028522,17.44422385,17.49859849
352,19.92045523,17.51750478,17.52543117
353,19.93440315,17.56963579,17.56869839
354,19.95403296,17.61095649,17.63266061
355,19.96669253,17.64485218,17.66856248
356,19.97152323,17.67299443,17.67180501
357,19.98046727,17.69606432,17.68672084
358,19.99350466,17.71700467,17.71003293
359,19.99984036,17.73624298,17.72582939
360,20.5992485,17.75822184,17.88058807
361,20.90883608,17.8896867,18.05980087
362,20.91896894,17.98293346,18.09303755
363,20.92133157,18.04563998,18.10984933
364,20.9362296,18.09174944,18.1413896
365,20.94148897,18.12832803,18.15081873
366,20.95020648,18.15771776,18.16489681
