,Unnamed: 0,t1,w1,t2
159,159.0,22.39231948,22.37917749,21.92749147
160,160.0,22.39475175,22.37648652,21.9280087
161,161.0,22.40076979,22.37420769,21.79688687
162,162.0,22.40347502,22.37338264,21.82946234
163,163.0,22.40921231,22.372830399999998,21.840513199999997
164,164.0,22.41461598,22.37195149,21.88922967
165,165.0,22.41697605,22.37117217,21.90629931
166,166.0,22.420285600000003,22.36087092,21.82351377
167,167.0,22.42345076,22.36456035,21.79540622
168,168.0,22.42621338,22.36343099,21.7831143
169,169.0,22.43091619,22.36309301,21.85841621
170,170.0,22.43213792,22.36528249,21.88379941
171,171.0,22.43372878,22.36473767,21.88015601
172,172.0,22.43484679,22.36403029,21.910584
173,173.0,22.43606351,22.36303164,21.88691824
174,174.0,22.4369274,22.36077503,21.92024662
175,175.0,22.43826742,22.358400699999997,21.852772899999998
176,176.0,22.43901286,22.35009387,21.81976164
177,177.0,22.43966292,22.34985489,21.85680803
178,178.0,22.44056155,22.34722243,21.83825681
179,179.0,22.44136366,22.34491001,21.83660949
180,180.0,22.44212933,22.32861742,21.78838605
181,181.0,22.442761800000003,22.3336354,21.82097144
182,182.0,22.44340621,22.33106292,21.79240134
183,183.0,22.44397362,22.32776402,21.73138927
184,184.0,22.44451958,22.32526537,21.69050357
185,185.0,22.44546936,22.32297828,21.7582582
186,186.0,22.44615369,22.32119385,21.77196651
187,187.0,22.44667215,22.31940733,21.77549285
188,188.0,22.44687946,22.31746931,21.75051369
189,189.0,22.44714252,22.31554856,21.68546471
190,190.0,22.44761087,22.31362847,21.736234699999997
191,191.0,22.44777518,22.31147233,21.73283839
192,192.0,22.448014899999997,22.30961878,21.67774171
193,193.0,22.44861816,22.30745127,21.71636008
194,194.0,22.44945048,22.30509738,21.72117963
195,195.0,22.450042899999996,22.30273527,21.71905301
196,196.0,22.45022026,22.29836278,21.67843043
197,197.0,22.450378100000002,22.29663656,21.68551139
198,198.0,22.45061232,22.27922038,21.55833932
199,199.0,22.45079315,22.28653913,21.60979135
200,200.0,22.45108356,22.28690825,21.64552515
201,201.0,22.45140355,22.275886,21.56032164
202,202.0,22.45150716,22.27310876,21.51169207
203,203.0,22.45171797,22.2781389,21.59302061
204,204.0,22.45140621,22.2804951,21.62428272
205,205.0,22.45039665,22.28141076,21.63783799
206,206.0,22.44900441,22.28158564,21.64349146
207,207.0,22.44814634,22.28135481,21.67219255
208,208.0,22.447098399999998,22.26667662,21.61865685
209,209.0,22.44468477,22.2524938,21.53105184
210,210.0,22.44361773,22.26067959,21.48389187
211,211.0,22.4427424,22.26351212,21.51970656
212,212.0,22.44127953,22.26332336,21.5448641
213,213.0,22.43857482,22.26532878,21.58150547
214,214.0,22.43617789,22.26742256,21.59857969
215,215.0,22.43395601,22.26832391,21.60669487
216,216.0,22.42562795,22.26391176,21.591488000000002
217,217.0,22.41472732,22.25992281,21.56603363
218,218.0,22.41240338,22.25663225,21.558788800000002
219,219.0,22.40889002,22.25484935,21.50780233
220,220.0,22.4029702,22.25255456,21.49623542
221,221.0,22.39873796,22.24967445,21.50222494
222,222.0,22.39741807,22.24712978,21.45884824
223,223.0,22.39548087,22.24553076,21.44045558
224,224.0,22.39199042,22.24350048,21.42500403
225,225.0,22.39076605,22.24106539,21.44843318
226,226.0,22.38898923,22.23924404,21.43810718
227,227.0,22.38742868,22.23708282,21.40427422
228,228.0,22.38711329,22.23535493,21.36877378
229,229.0,22.38714819,22.23368787,21.41276512
