,Unnamed: 0,t1,w1,w2,i,s,tout,t2,hsp,m0,csp0
53,53,26.9999919314084,37.405067595146214,36.33285771175046,380324.229145739,11.0,16.1,15.438775081299,20.0,22.8268005723366,27.0
54,54,26.9999860456253,37.271094962155615,36.332121170478096,380324.229145739,13.916666666666698,16.1,15.4388669663321,20.0,22.8268005723366,27.0
55,55,26.9999925054868,37.38408870177352,36.33135352611375,380324.229145739,16.8333333333333,16.1,15.4389681235745,20.0,22.8268005723366,27.0
56,56,26.9999857886066,37.31091311635394,36.330473622317456,380324.229145739,19.75,16.1,15.439065787066696,20.0,22.8268005723366,27.0
57,57,26.9999915520608,37.383152174197605,36.329595769506064,380324.229145739,22.6666666666667,16.1,15.4391727119754,20.0,22.8268005723366,27.0
58,58,26.9999942238307,37.355123902160614,36.328580818230044,380324.229145739,25.5833333333333,16.1,15.4392902069765,20.0,22.8268005723366,27.0
59,59,26.9999917584158,37.350116989711424,36.3275456650385,380324.229145739,28.5,16.1,15.4394118782211,20.0,22.8268005723366,27.0
60,60,27.000102646141496,37.32362344479008,36.3260915605939,380258.932764897,31.4166666666667,16.1,15.4405517597065,21.0,22.8268005723366,27.0
61,61,27.000081946565494,37.42400017415744,36.326079393207294,380258.932764897,34.3333333333333,16.1,15.4413567335396,21.0,22.8268005723366,27.0
62,62,27.0001130456187,37.462444829364635,36.32596104908805,380258.932764897,37.25,16.1,15.4418762320825,21.0,22.8268005723366,27.0
63,63,27.000315601652797,37.296107057142294,36.3255773672657,380258.932764897,40.1666666666667,16.1,15.4426825710057,21.0,22.8268005723366,27.0
64,64,27.000181157226496,37.32528209879245,36.3250891324355,380258.932764897,43.0833333333333,16.1,15.4430779310406,21.0,22.8268005723366,27.0
65,65,27.000250268931108,37.425641289757756,36.3245994750292,380258.932764897,46.0,16.1,15.4436982777422,21.0,22.8268005723366,27.0
66,66,27.000399137483893,37.435758007198345,36.32404628928135,380258.932764897,55.1666666666667,16.1,15.444399637209196,21.0,22.8268005723366,27.0
67,67,27.000233671412307,37.45561856600571,36.323470186590065,380258.932764897,64.3333333333333,16.1,15.4451626667072,21.0,22.8268005723366,27.0
68,68,27.0002367664427,37.43176910261021,36.32278677841755,380258.932764897,73.5,16.1,15.4454758550877,21.0,22.8268005723366,27.0
69,69,27.000135911437606,37.39019837707026,36.32210128206905,380258.932764897,82.6666666666667,16.1,15.446168840972,21.0,22.8268005723366,27.0
70,70,27.000106455398907,37.48170118176688,36.321353311384456,380258.932764897,91.8333333333333,16.1,15.4466876994715,21.0,22.8268005723366,27.0
71,71,27.000317076818103,37.325738225250454,36.3205909835364,380258.932764897,101.0,16.1,15.447153271639099,21.0,22.8268005723366,27.0
72,72,27.000098268522606,37.47843657924925,36.339640411604,381511.754608886,110.166666666667,16.1,15.434717177240698,21.0,22.8268005723366,27.0
73,73,27.0000432934112,37.51633672139484,36.35038627735005,381511.754608886,119.333333333333,16.1,15.4323491717733,21.0,22.8268005723366,27.0
74,74,27.000007700109002,37.53550748260515,36.358640965235146,381511.754608886,128.5,16.1,15.4317779706302,21.0,22.8268005723366,27.0
75,75,26.999996741160498,37.555178391324546,36.365803206306246,381511.754608886,137.666666666667,16.1,15.4312044237836,21.0,22.8268005723366,27.0
